,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
33,FREM1_code_potential_somatic,ENSG00000261678,33,-1.0,6.891710551748413,-0.2251532197945991,9.972859549821972e-08,2.9430298911702693,1.4758454630781803,1.0
284,FREM1_code_potential_somatic,ENSG00000072310,284,1.0,1.41030058127595,0.23808938373702415,1.6795208407915718e-08,4.633723922771043,1.440661169142425,1.0
286,FREM1_code_potential_somatic,ENSG00000072310,286,1.0,1.41030058127595,0.35272739496612077,1.6885623802112602e-17,5.624003940687479,1.6373434524009398,1.0
2089,FREM1_code_potential_somatic,ENSG00000030419,2089,-1.0,1.371498307365402,-0.23865611061295247,1.5496989846009427e-08,7.6682769701407025,2.447668067577167,1.0
1716,FREM1_code_potential_somatic,ENSG00000170365,1716,1.0,1.532841712404582,0.2646815037979524,3.08417150033123e-10,5.643808801691126,1.8948609583247074,1.0
1706,FREM1_code_potential_somatic,ENSG00000170365,1706,1.0,1.532841712404582,0.44661548770048826,3.183146867839962e-28,4.806151168314693,1.463579013473641,1.0
1715,FREM1_code_potential_somatic,ENSG00000170365,1715,1.0,1.532841712404582,0.44415665725062947,6.747683774922753e-28,7.190421205204898,2.580570419267786,1.0
1724,FREM1_code_potential_somatic,ENSG00000170365,1724,1.0,1.532841712404582,0.1532552851546945,0.00031734351391135877,4.248984807288558,1.361284855443054,1.0
3363,FREM1_code_potential_somatic,ENSG00000105516,3363,1.0,1.9731795828783691,0.40384926552648986,6.51105186434234e-23,6.176803629905278,2.708824243113089,1.0
986,FREM1_code_potential_somatic,ENSG00000185129,986,1.0,9.353204706346768,0.3376170359907296,4.468298620083105e-16,4.1390851782068445,1.3683170886886136,1.0
3107,FREM1_code_potential_somatic,ENSG00000184486,3107,1.0,3.2478209812639736,-0.28378928523067615,1.3075652516215575e-11,-5.59309152620224,5.805429412856417,1.0
1771,FREM1_code_potential_somatic,ENSG00000116017,1771,1.0,2.867805772042326,0.46214119359884476,2.3989609470655692e-30,5.310183260872694,2.017042727021406,0.6666666666666666
1755,FREM1_code_potential_somatic,ENSG00000116017,1755,1.0,2.867805772042326,0.3221048201170832,1.075261721019302e-14,4.300602652140347,1.373626795937862,0.6666666666666666
3464,FREM1_code_potential_somatic,ENSG00000150347,3464,1.0,4.501980582801586,0.437452844160245,5.074229972271124e-27,6.353344010751589,1.859211688811203,1.0
257,FREM1_code_potential_somatic,ENSG00000177606,257,1.0,4.078105860519661,0.47048590412734237,1.5603952636220468e-31,5.936950501621255,2.1824279012399694,1.0
251,FREM1_code_potential_somatic,ENSG00000177606,251,1.0,4.078105860519661,0.7020705437872713,1.4989788859365892e-82,11.613081995894607,8.046447843206437,1.0
247,FREM1_code_potential_somatic,ENSG00000177606,247,1.0,4.078105860519661,0.5122275406948471,5.498927871433927e-38,5.101388930098333,1.5551790532237664,1.0
252,FREM1_code_potential_somatic,ENSG00000177606,252,1.0,4.078105860519661,0.4044130756403187,5.603789415599832e-23,4.452762112424387,1.886675476530669,1.0
127,FREM1_code_potential_somatic,ENSG00000196843,127,1.0,1.31491804599827,0.43323498740724425,1.76496031445562e-26,13.454040484258352,4.2196413155168155,1.0
122,FREM1_code_potential_somatic,ENSG00000196843,122,1.0,1.31491804599827,0.1970125501710426,3.367395252699869e-06,6.484885808762846,1.8452056076349836,1.0
126,FREM1_code_potential_somatic,ENSG00000196843,126,1.0,1.31491804599827,0.4051785798533263,4.568774759530043e-23,5.145838208584172,2.1142459432527523,1.0
811,FREM1_code_potential_somatic,ENSG00000126561,811,1.0,2.442738628902963,0.4894512746505592,2.3512004949770813e-34,7.008573721924952,1.996238495937506,1.0
1420,FREM1_code_potential_somatic,ENSG00000141448,1420,1.0,1.6326194785139865,0.10488064504379657,0.014035071029509717,5.584603909728202,1.7299338069878627,0.5
419,FREM1_code_potential_somatic,ENSG00000109320,419,1.0,1.4606644250940382,0.44461021375709814,5.877135336911391e-28,7.837855557518173,2.8561915030760217,1.0
422,FREM1_code_potential_somatic,ENSG00000109320,422,1.0,1.4606644250940382,0.5718680337238952,6.554258150111092e-49,5.554600760119541,1.653178787329256,1.0
404,FREM1_code_potential_somatic,ENSG00000109320,404,1.0,1.4606644250940382,0.7664641194145738,4.6585552882406054e-107,12.48941211922035,5.630936329473283,1.0
1330,FREM1_code_potential_somatic,ENSG00000116044,1330,1.0,1.3168638297027817,0.33238553148910843,1.3330057562902736e-15,11.487199053157106,3.982118575469667,1.0
1324,FREM1_code_potential_somatic,ENSG00000116044,1324,1.0,1.3168638297027817,0.5899994290438191,1.0773378209287607e-52,6.540635060059504,1.9216902902910873,1.0
1331,FREM1_code_potential_somatic,ENSG00000116044,1331,1.0,1.3168638297027817,0.4251115862030444,1.8542695957651335e-25,3.89436371346931,1.3553857454769025,1.0
381,FREM1_code_potential_somatic,ENSG00000168610,381,1.0,1.3172334188923431,0.6895553864603211,1.539030800573697e-78,5.553323121437963,1.6685701733593137,1.0
390,FREM1_code_potential_somatic,ENSG00000168610,390,1.0,1.3172334188923431,0.4318538719662096,2.644574074210169e-26,4.488992488886403,1.402643180729546,1.0
3424,FREM1_code_potential_somatic,ENSG00000105610,3424,-1.0,1.3452148248759788,-0.20123048029173637,2.0484163659216478e-06,5.478297421321822,1.7207541359353573,1.0
