,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1316,FZD10_code_potential_somatic,ENSG00000125952,1316,-1.0,1.6712095150558888,0.41974138966359315,8.47913416258375e-25,-7.8530224301883145,3.3557031554628765,1.0
1307,FZD10_code_potential_somatic,ENSG00000125952,1307,-1.0,1.6712095150558888,0.3594368228235468,3.721926650177375e-18,-3.9953163311232167,1.3664053566035892,1.0
3058,FZD10_code_potential_somatic,ENSG00000124782,3058,1.0,1.7277118789796222,-0.17469866383857413,3.923909385154898e-05,-4.837579416378178,1.5984493523806282,0.6666666666666666
3066,FZD10_code_potential_somatic,ENSG00000124782,3066,1.0,1.7277118789796222,-0.18806406988795332,9.335414502173334e-06,-5.929105524196773,2.1886992921596127,0.6666666666666666
3105,FZD10_code_potential_somatic,ENSG00000184486,3105,1.0,6.575962183665363,-0.3063553985656969,2.2632284740381152e-13,-5.403959305407283,1.8812590109699587,1.0
3113,FZD10_code_potential_somatic,ENSG00000184486,3113,1.0,6.575962183665363,0.2592803166611941,7.209895216980356e-10,3.694731379323973,1.4583412722890796,1.0
2510,FZD10_code_potential_somatic,ENSG00000128652,2510,1.0,1.8475026306818236,-0.3302851995394446,2.055269424284233e-15,-4.963392746351605,1.6045346032742749,1.0
2511,FZD10_code_potential_somatic,ENSG00000128652,2511,1.0,1.8475026306818236,-0.19095853121833672,6.7473736561759085e-06,-6.091877521324972,2.309246319219454,1.0
664,FZD10_code_potential_somatic,ENSG00000131408,664,-1.0,1.470315774081358,0.35709582956250685,6.334202219148733e-18,-4.417350670076533,1.452923861653747,1.0
3594,FZD10_code_potential_somatic,ENSG00000100219,3594,-1.0,1.8137984025160083,0.47314591824301255,6.42693368277548e-32,-4.093451391356696,1.7213448604094654,1.0
3591,FZD10_code_potential_somatic,ENSG00000100219,3591,-1.0,1.8137984025160083,0.4013364020587382,1.266475048141702e-22,-4.412692738431453,1.435490055276421,1.0
3596,FZD10_code_potential_somatic,ENSG00000100219,3596,-1.0,1.8137984025160083,-0.18950575247467213,7.946416640631212e-06,3.9695240479790956,1.3191291101889029,1.0
3299,FZD10_code_potential_somatic,ENSG00000105722,3299,-1.0,2.3758344773378237,0.394976621057987,6.65207405108731e-22,-10.321616317433335,6.256609018222804,1.0
3297,FZD10_code_potential_somatic,ENSG00000105722,3297,-1.0,2.3758344773378237,0.5392403307695723,1.1551384426226446e-42,-4.806131375710125,1.535232865410364,1.0
3298,FZD10_code_potential_somatic,ENSG00000105722,3298,-1.0,2.3758344773378237,0.4224268525285812,3.9783370195170975e-25,-7.586188136264044,2.4405374200908976,1.0
330,FZD10_code_potential_somatic,ENSG00000134532,330,1.0,2.0954297646794457,-0.26752184673042273,1.958102115724477e-10,-5.410279244210473,1.7490302157704813,1.0
392,FZD10_code_potential_somatic,ENSG00000168610,392,-1.0,1.5874912469128628,0.4967861382774592,1.7047492011622336e-35,-5.039435839615261,1.5390802755512683,1.0
394,FZD10_code_potential_somatic,ENSG00000168610,394,-1.0,1.5874912469128628,0.7253796790311073,1.3043827865767566e-90,-5.766371812990563,1.7516277380540899,1.0
381,FZD10_code_potential_somatic,ENSG00000168610,381,-1.0,1.5874912469128628,0.6895553864603211,1.539030800573697e-78,-4.481330694105511,1.4539184140962738,1.0
1843,FZD10_code_potential_somatic,ENSG00000108788,1843,-1.0,1.575240177951131,0.6953525844007042,2.2636186858614386e-80,-4.345071255584391,1.4256600164566995,1.0
