,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3750,GABRB2_code_potential_somatic,ENSG00000163666,3750,1.0,1.3930421826989652,0.19375642280129188,4.9068906131440965e-06,2.576281777193086,1.3354401693644373,1.0
960,GABRB2_code_potential_somatic,ENSG00000101412,960,-1.0,1.5329034484379502,0.6491518019355196,7.070099083657812e-67,-2.8445537829000562,1.478230101995693,1.0
2723,GABRB2_code_potential_somatic,ENSG00000130726,2723,-1.0,1.384284284478153,0.2556294784603317,1.2661576804139407e-09,-2.8915161537708576,1.4990588584410487,1.0
3613,GABRB2_code_potential_somatic,ENSG00000166478,3613,1.0,1.314476484172037,0.36513530093729424,1.0014068719590418e-18,2.825364359407976,1.4625138423935342,0.3333333333333333
1889,GABRB2_code_potential_somatic,ENSG00000185697,1889,-1.0,1.673770402487977,0.5169485389100075,8.969962979303061e-39,-3.207769708656707,1.6917418606141361,0.6666666666666666
1887,GABRB2_code_potential_somatic,ENSG00000185697,1887,-1.0,1.673770402487977,0.4812984870682071,4.036880256481482e-33,-2.563277595795265,1.3302415729867565,0.6666666666666666
1491,GABRB2_code_potential_somatic,ENSG00000129194,1491,1.0,2.101203696981412,-0.2818553261206182,1.8208992676878206e-11,-3.1042350080891827,1.6223047445064194,1.0
1493,GABRB2_code_potential_somatic,ENSG00000129194,1493,1.0,2.101203696981412,-0.2353472627682537,2.4716522554042347e-08,-2.985381740856079,1.7927971825836841,1.0
1646,GABRB2_code_potential_somatic,ENSG00000138795,1646,-1.0,1.3254370310895,0.4449703609573309,5.265831785172236e-28,-2.8597601248701294,1.513283628573705,0.5
1873,GABRB2_code_potential_somatic,ENSG00000118513,1873,-1.0,1.8588914927364788,0.42272816175969147,3.65293684676176e-25,-2.735572410600095,1.4181537645223257,0.8
1874,GABRB2_code_potential_somatic,ENSG00000118513,1874,-1.0,1.8588914927364788,0.33191440754171153,1.4693881017477678e-15,-2.863927058319081,1.4966302651408252,0.8
1880,GABRB2_code_potential_somatic,ENSG00000118513,1880,-1.0,1.8588914927364788,0.229900468955196,5.2505052470127786e-08,-3.341799443539254,1.8214201554362481,0.8
1885,GABRB2_code_potential_somatic,ENSG00000118513,1885,-1.0,1.8588914927364788,-0.43684591039046755,6.0777015077199534e-27,2.7313992227070023,1.4172461652852704,0.8
925,GABRB2_code_potential_somatic,ENSG00000106459,925,-1.0,1.3060622635725052,0.7057635292004711,8.94695227448992e-84,-2.831020268366898,1.4686144733858013,1.0
923,GABRB2_code_potential_somatic,ENSG00000106459,923,-1.0,1.3060622635725052,0.7121543007985294,6.132342355537881e-86,-3.218942032801914,1.7045174134420435,1.0
920,GABRB2_code_potential_somatic,ENSG00000106459,920,-1.0,1.3060622635725052,0.7131916472392081,2.6962513095890753e-86,-3.0735955917341755,1.6684199777586146,1.0
