,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2206,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2206,1.0,1.5700936389751636,0.20874238187314026,8.232020140103674e-07,2.352366516680683,1.6250060905243198,1.0
366,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,366,-1.0,2.8917318100083618,0.2894018731355593,4.928790824080555e-12,-4.344211752764049,4.26519825973896,1.0
889,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000139083,889,1.0,1.4775225889546844,0.37569040670382775,8.203038178775998e-20,2.125247936533565,1.3973640557715181,1.0
2103,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2103,1.0,1.554177837239289,0.24667567508641092,4.856576332122605e-09,2.3274150650233745,1.592051717964234,1.0
2095,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2095,1.0,1.554177837239289,0.305855830137109,2.4855471270809603e-13,2.082734178143254,1.3562959767041798,1.0
234,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000135363,234,1.0,1.5611976911594225,-0.31197279069307887,7.794265670481288e-14,-2.0541736870749503,1.3356568867275989,1.0
494,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,494,1.0,1.347725428009397,0.43361540610406846,1.5784080008314714e-26,2.6107858087851024,1.8941225837201792,1.0
501,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,501,1.0,1.347725428009397,-0.4576396817316701,1.0157288404906929e-29,-4.653011729232477,4.884580215710981,1.0
804,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,804,1.0,1.4171762441345344,-0.17788063253194566,2.8140438561071734e-05,-3.4148881975157113,2.913479166208219,1.0
793,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,793,1.0,1.4171762441345344,0.5292624522225253,6.913163364054204e-41,2.290826398604289,1.5574007625709283,1.0
795,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,795,1.0,1.4171762441345344,0.5945296710176737,1.119601462237606e-53,2.1091577618461215,1.3812429103877035,1.0
811,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,811,1.0,1.4171762441345344,0.4894512746505592,2.3512004949770813e-34,2.17007832305885,1.4383306336039154,1.0
3399,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3399,-1.0,3.0298118121760678,0.12252588389376366,0.004071887528659675,-3.009620387158469,2.4202370838555383,1.0
3398,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3398,-1.0,3.0298118121760678,0.19005162450158916,7.473825507774001e-06,-3.179900000304886,2.5839200705134853,1.0
693,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000188786,693,1.0,1.3692755458348986,-0.3278619251490302,3.373042685106883e-15,-4.653011729232477,4.884580215710981,1.0
851,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,851,1.0,1.7700121164967346,-0.33467030416068094,8.291506310731383e-16,-3.6768463423224254,3.322909773984613,1.0
3126,GMCSF_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000156273,3126,1.0,1.5641750428124224,0.43720630484378664,5.460383802447342e-27,2.926045516828866,2.2390758403650333,1.0
