,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2411,GPR132_code_potential_somatic,ENSG00000198815,2411,1.0,1.3697830489877647,0.22339794471817043,1.2597899026040629e-07,3.6923417236798093,1.3714685317516455,0.8333333333333334
2410,GPR132_code_potential_somatic,ENSG00000198815,2410,1.0,1.3697830489877647,0.228594156398388,6.273029267142632e-08,4.815307359158402,2.0896848773780126,0.8333333333333334
2424,GPR132_code_potential_somatic,ENSG00000198815,2424,1.0,1.3697830489877647,0.2975825073609961,1.1431495613541692e-12,3.3020350413782187,1.501123673133228,0.8333333333333334
2407,GPR132_code_potential_somatic,ENSG00000198815,2407,1.0,1.3697830489877647,0.38498795049117185,8.379973550308507e-21,3.957333429122963,1.5493771574493664,0.8333333333333334
2415,GPR132_code_potential_somatic,ENSG00000198815,2415,1.0,1.3697830489877647,0.4737380938682588,5.269654705138721e-32,3.8543938231700596,1.6214064613467936,0.8333333333333334
2206,GPR132_code_potential_somatic,ENSG00000169083,2206,1.0,2.3025204422850942,0.20874238187314026,8.232020140103674e-07,6.090524755725587,3.713145752156369,1.0
2199,GPR132_code_potential_somatic,ENSG00000169083,2199,1.0,2.3025204422850942,0.23503159619003786,2.5832830299994912e-08,7.357200999663924,5.764561451637618,1.0
2203,GPR132_code_potential_somatic,ENSG00000169083,2203,1.0,2.3025204422850942,0.4748926212262841,3.574342057785658e-32,3.8235370554602564,1.507997649870179,1.0
2202,GPR132_code_potential_somatic,ENSG00000169083,2202,1.0,2.3025204422850942,0.1842378613658599,1.423157332109844e-05,3.9880661826742103,2.788414508759881,1.0
1437,GPR132_code_potential_somatic,ENSG00000221869,1437,1.0,2.8832977307933727,0.2290011176303175,5.935437413282454e-08,9.988843148422045,3.7310478412195036,1.0
3750,GPR132_code_potential_somatic,ENSG00000163666,3750,-1.0,5.145394147366059,0.19375642280129188,4.9068906131440965e-06,-2.9686822499946772,1.3543347924606801,1.0
365,GPR132_code_potential_somatic,ENSG00000163497,365,-1.0,1.350440687986397,-0.21647528057006557,3.1079592577989785e-07,4.055004330557935,1.5810511539525194,1.0
887,GPR132_code_potential_somatic,ENSG00000139083,887,1.0,2.105454527015897,-0.2978660166370652,1.0857836483659426e-12,-4.063061737919838,1.4526917618263695,1.0
883,GPR132_code_potential_somatic,ENSG00000139083,883,1.0,2.105454527015897,-0.13297430908650876,0.0018109364947324334,-3.410631161283674,1.3027312291469393,1.0
885,GPR132_code_potential_somatic,ENSG00000139083,885,1.0,2.105454527015897,0.3774455682971878,5.362641469225887e-20,6.016391689460895,3.107198835337212,1.0
886,GPR132_code_potential_somatic,ENSG00000139083,886,1.0,2.105454527015897,-0.2569890541939503,1.027676974093145e-09,-4.388261728979512,1.5123795331789829,1.0
881,GPR132_code_potential_somatic,ENSG00000139083,881,1.0,2.105454527015897,-0.2102080548281273,6.86336995117285e-07,-4.8822323961069305,1.5295066145708922,1.0
1108,GPR132_code_potential_somatic,ENSG00000100105,1108,1.0,1.349006125346849,0.5687831932084362,2.7362525640183454e-48,4.156534555206223,1.577093277197744,1.0
1449,GPR132_code_potential_somatic,ENSG00000007372,1449,1.0,1.4193150747419838,0.2154539973021409,3.5420220929641463e-07,3.1096342133571544,1.7183971247332388,0.6666666666666666
1444,GPR132_code_potential_somatic,ENSG00000007372,1444,1.0,1.4193150747419838,0.08199419316417426,0.055075137986699246,3.7966393117570942,1.341089735240404,0.6666666666666666
1539,GPR132_code_potential_somatic,ENSG00000113916,1539,1.0,1.463817059704268,0.4378936398325283,4.449937937111878e-27,4.15861447452994,1.4628514969695396,1.0
1526,GPR132_code_potential_somatic,ENSG00000113916,1526,1.0,1.463817059704268,0.2997373382810369,7.718583792617932e-13,3.8016366217070034,1.5588480694401605,1.0
2295,GPR132_code_potential_somatic,ENSG00000118689,2295,1.0,1.648038532823915,0.5623378781591177,5.16358797112004e-47,3.525654494738968,1.4525250178211346,1.0
2282,GPR132_code_potential_somatic,ENSG00000118689,2282,1.0,1.648038532823915,0.2465471187968765,4.949360656703986e-09,3.4991272533008604,1.4033707389988876,1.0
2297,GPR132_code_potential_somatic,ENSG00000118689,2297,1.0,1.648038532823915,0.35153217877680776,2.2022956862609567e-17,6.372638619686607,2.4597040375982457,1.0
