,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1825,GRIK3_code_potential_somatic,ENSG00000096401,1825,1.0,1.7669408365890453,0.07361652322395257,0.08512020000119531,3.484177873223179,1.4762678439256107,1.0
1826,GRIK3_code_potential_somatic,ENSG00000096401,1826,1.0,1.7669408365890453,0.11792381665320947,0.005711999574591,3.6566016863339064,1.5615587206308477,1.0
1820,GRIK3_code_potential_somatic,ENSG00000096401,1820,1.0,1.7669408365890453,0.08937549717121475,0.036471025480254764,3.5172440349814322,1.466117852545018,1.0
1297,GRIK3_code_potential_somatic,ENSG00000131759,1297,1.0,2.35880607894722,0.28504961813386004,1.0522915896791589e-11,4.640864281967347,1.8176267698889859,1.0
3241,GRIK3_code_potential_somatic,ENSG00000117505,3241,1.0,2.4696974020108193,0.31129960200051965,8.867027527887206e-14,2.6634915435992714,1.3379250112981416,1.0
1070,GRIK3_code_potential_somatic,ENSG00000163848,1070,1.0,1.7961865786765787,0.24268299236748986,8.698472409267366e-09,8.942017760422925,3.321513764485853,1.0
1069,GRIK3_code_potential_somatic,ENSG00000163848,1069,1.0,1.7961865786765787,0.22986972938354164,5.272600230341453e-08,5.463856996767309,2.1641531948191597,1.0
1088,GRIK3_code_potential_somatic,ENSG00000163848,1088,1.0,1.7961865786765787,0.2502557088873085,2.854922798952659e-09,3.8868095544923342,1.6223109126438686,1.0
2183,GRIK3_code_potential_somatic,ENSG00000136997,2183,1.0,1.5718086241907228,0.3070880892050854,1.9719890040741203e-13,3.145691756387826,1.3167404276304135,1.0
2182,GRIK3_code_potential_somatic,ENSG00000136997,2182,1.0,1.5718086241907228,0.30817181216314593,1.6073541450986608e-13,8.476065299812948,4.312926138169578,1.0
894,GRIK3_code_potential_somatic,ENSG00000154727,894,1.0,2.389879894120108,0.3745957458878942,1.0679125150388243e-19,7.196700772530788,3.256315564108442,1.0
897,GRIK3_code_potential_somatic,ENSG00000154727,897,1.0,2.389879894120108,0.2641254231036872,3.3689461255496257e-10,4.900521675441131,1.899916615755786,1.0
901,GRIK3_code_potential_somatic,ENSG00000154727,901,1.0,2.389879894120108,0.27536254076813077,5.432832661131081e-11,4.014263794176734,1.5940560407923747,1.0
524,GRIK3_code_potential_somatic,ENSG00000120690,524,1.0,1.5332167987167424,0.6207065899937414,1.1183039932827503e-59,3.1984815593514693,1.341997769265918,1.0
520,GRIK3_code_potential_somatic,ENSG00000120690,520,1.0,1.5332167987167424,0.37499060255711075,9.710966326774683e-20,2.999309024565823,1.5248628874746302,1.0
519,GRIK3_code_potential_somatic,ENSG00000120690,519,1.0,1.5332167987167424,0.43115883614483685,3.239143679177495e-26,8.064293007180659,3.291908690958511,1.0
523,GRIK3_code_potential_somatic,ENSG00000120690,523,1.0,1.5332167987167424,0.40953542032036705,1.4147287578135794e-23,7.944702796933318,3.7104021160664176,1.0
522,GRIK3_code_potential_somatic,ENSG00000120690,522,1.0,1.5332167987167424,0.5149455254572445,1.9427218299118388e-38,7.124150199218973,2.7328000626173328,1.0
1179,GRIK3_code_potential_somatic,ENSG00000198911,1179,1.0,1.514677958505469,0.2602937456526573,6.157000178207064e-10,5.352935979544545,2.0424411967671277,1.0
2108,GRIK3_code_potential_somatic,ENSG00000069667,2108,1.0,1.6336121287234502,0.4641315191364751,1.2586947641370024e-30,4.514152496182894,1.7903452523268963,1.0
2106,GRIK3_code_potential_somatic,ENSG00000069667,2106,1.0,1.6336121287234502,0.32262867059014927,9.685985105170462e-15,4.508939062375863,1.815333446303532,1.0
2093,GRIK3_code_potential_somatic,ENSG00000105856,2093,1.0,1.5952879767352253,0.16447235007970418,0.00010983167865860399,7.368996170486662,2.6923661898418563,1.0
2100,GRIK3_code_potential_somatic,ENSG00000105856,2100,1.0,1.5952879767352253,0.3997436311952665,1.9251830143592888e-22,3.4144222199232837,1.427163514882937,1.0
2095,GRIK3_code_potential_somatic,ENSG00000105856,2095,1.0,1.5952879767352253,0.305855830137109,2.4855471270809603e-13,4.9516576736545375,1.8938800128494868,1.0
2096,GRIK3_code_potential_somatic,ENSG00000105856,2096,1.0,1.5952879767352253,0.3961684829708856,4.888121905985231e-22,8.7557982931961,4.465667597161433,1.0
1681,GRIK3_code_potential_somatic,ENSG00000105997,1681,-1.0,1.474572562366225,-0.29991242598512474,7.475081033269241e-13,4.981486017309409,1.9046777728476456,1.0
1684,GRIK3_code_potential_somatic,ENSG00000105997,1684,-1.0,1.474572562366225,-0.18271561042778192,1.6790985167737218e-05,4.481920794203264,1.9100543128665337,1.0
1702,GRIK3_code_potential_somatic,ENSG00000105997,1702,-1.0,1.474572562366225,-0.20144017772721945,1.9978626431559333e-06,3.902001347872753,1.6108682980334348,1.0
1693,GRIK3_code_potential_somatic,ENSG00000105997,1693,-1.0,1.474572562366225,-0.23666181614901446,2.0549527266679992e-08,5.666733333018826,2.247736170067843,1.0
1695,GRIK3_code_potential_somatic,ENSG00000105997,1695,-1.0,1.474572562366225,-0.18650682022363238,1.1094567778049381e-05,3.270665035886894,1.351334395808382,1.0
1686,GRIK3_code_potential_somatic,ENSG00000105997,1686,-1.0,1.474572562366225,-0.2283242099083921,6.507116912163731e-08,4.00105318552882,1.5990749722356403,1.0
1698,GRIK3_code_potential_somatic,ENSG00000105997,1698,-1.0,1.474572562366225,-0.19806143481493235,2.978798806657146e-06,5.089476256089601,2.0219105547269334,1.0
870,GRIK3_code_potential_somatic,ENSG00000244405,870,1.0,2.3197881927583603,0.3044180851792245,3.2516492814834757e-13,3.4960462664525966,1.4748315257893554,1.0
866,GRIK3_code_potential_somatic,ENSG00000244405,866,1.0,2.3197881927583603,0.429402653684742,5.395912682071426e-26,5.823835469488037,2.321517543279219,1.0
869,GRIK3_code_potential_somatic,ENSG00000244405,869,1.0,2.3197881927583603,0.4159063579361487,2.469353172710779e-24,5.309795156235799,2.0402857420674367,1.0
3463,GRIK3_code_potential_somatic,ENSG00000150347,3463,1.0,1.9593439028138953,0.4458585150166216,4.014154139911832e-28,3.257429665671918,1.3499413969282534,1.0
255,GRIK3_code_potential_somatic,ENSG00000177606,255,1.0,1.972728970644145,0.46501566264787897,9.438461489358275e-31,3.7152288002709053,1.5061248931255329,1.0
238,GRIK3_code_potential_somatic,ENSG00000177606,238,1.0,1.972728970644145,0.5242632678221274,5.105164133303365e-40,4.709019940412151,1.85289260071955,1.0
251,GRIK3_code_potential_somatic,ENSG00000177606,251,1.0,1.972728970644145,0.7020705437872713,1.4989788859365892e-82,5.656924769274595,2.1594522113588037,1.0
248,GRIK3_code_potential_somatic,ENSG00000177606,248,1.0,1.972728970644145,0.2025454291165923,1.7505565855919237e-06,3.7359897849865575,1.6099946777251588,1.0
236,GRIK3_code_potential_somatic,ENSG00000177606,236,1.0,1.972728970644145,0.5406569292022357,6.389904688620846e-43,4.472384739136399,1.7296153197856525,1.0
250,GRIK3_code_potential_somatic,ENSG00000177606,250,1.0,1.972728970644145,0.5698915628062372,1.6402869014388916e-48,4.099610146678352,1.671061475068173,1.0
3621,GRIK3_code_potential_somatic,ENSG00000105880,3621,-1.0,4.5998554044741615,-0.3428641451695831,1.4617775743690047e-16,3.069548959190665,1.3074649823391888,1.0
703,GRIK3_code_potential_somatic,ENSG00000168310,703,1.0,1.3170621944393996,0.588297425439722,2.4990299088819376e-52,4.529861050514705,2.3934078178906084,1.0
714,GRIK3_code_potential_somatic,ENSG00000168310,714,1.0,1.3170621944393996,0.5354803327471371,5.485993446753296e-42,4.758942972306977,2.1075241976142145,1.0
720,GRIK3_code_potential_somatic,ENSG00000168310,720,1.0,1.3170621944393996,0.4530880744754368,4.276555181063284e-29,4.594027906932617,1.8169820473519662,1.0
704,GRIK3_code_potential_somatic,ENSG00000168310,704,1.0,1.3170621944393996,0.4476039783760009,2.349242679021552e-28,3.3816492186414298,1.3915276268423886,1.0
710,GRIK3_code_potential_somatic,ENSG00000168310,710,1.0,1.3170621944393996,0.3264202425623114,4.519748871648558e-15,3.014699843876119,1.3092040655304893,1.0
723,GRIK3_code_potential_somatic,ENSG00000168310,723,1.0,1.3170621944393996,0.4062554484204531,3.424972998229437e-23,4.642930550168491,1.8838253461977388,1.0
718,GRIK3_code_potential_somatic,ENSG00000168310,718,1.0,1.3170621944393996,0.38637399584084314,5.926628586168527e-21,3.3035432238370137,1.3720329590375626,1.0
712,GRIK3_code_potential_somatic,ENSG00000168310,712,1.0,1.3170621944393996,0.6305761837478454,4.321443278227655e-62,3.9828674594811586,1.6312586601153933,1.0
3477,GRIK3_code_potential_somatic,ENSG00000107175,3477,1.0,2.6348026577594346,0.3558082978527454,8.470030614816931e-18,5.159758711127913,2.366046700058944,1.0
