,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3752,HMCN1_code_potential_somatic,ENSG00000163666,3752,-1.0,2.062418662154539,0.1961916274781449,3.7048899709859986e-06,-2.5596172503339463,1.753311687960753,1.0
366,HMCN1_code_potential_somatic,ENSG00000163497,366,-1.0,1.595729104227964,0.2894018731355593,4.928790824080555e-12,-2.1748757673523866,1.3926098490128076,1.0
363,HMCN1_code_potential_somatic,ENSG00000163497,363,-1.0,1.595729104227964,-0.26567493056812325,2.632663727496636e-10,2.5306078733595347,1.6919420824046696,1.0
1576,HMCN1_code_potential_somatic,ENSG00000105866,1576,-1.0,2.2763281008879743,-0.2080037847905003,9.017529783655651e-07,2.591173521370671,1.726325983974683,1.0
255,HMCN1_code_potential_somatic,ENSG00000177606,255,1.0,1.3174845259943744,0.46501566264787897,9.438461489358275e-31,2.7878213515392103,1.9365181008200922,1.0
236,HMCN1_code_potential_somatic,ENSG00000177606,236,1.0,1.3174845259943744,0.5406569292022357,6.389904688620846e-43,2.2535166121858907,1.4391120227502454,1.0
3636,HMCN1_code_potential_somatic,ENSG00000076604,3636,-1.0,1.6087753670912512,0.34017554678533807,2.5982388973886593e-16,-2.503027096174172,1.7430365105090178,1.0
3630,HMCN1_code_potential_somatic,ENSG00000076604,3630,-1.0,1.6087753670912512,-0.12507192553039678,0.00336031938376087,3.6458237973728824,2.7786955603535115,1.0
1427,HMCN1_code_potential_somatic,ENSG00000116035,1427,-1.0,1.5049214483602666,-0.1487223451758979,0.00047763546936537357,2.3164202760820016,1.5021327296758649,1.0
3080,HMCN1_code_potential_somatic,ENSG00000100968,3080,1.0,1.5407516589987535,0.2615669852281313,5.044484278144171e-10,2.179423286105609,1.3698429852659109,1.0
3077,HMCN1_code_potential_somatic,ENSG00000100968,3077,1.0,1.5407516589987535,0.2735208242594688,7.369346362521313e-11,2.280277493040078,1.4505132448002829,1.0
3082,HMCN1_code_potential_somatic,ENSG00000100968,3082,1.0,1.5407516589987535,-0.33790353494795083,4.206141942037205e-16,-2.5955264997055396,1.7463281252641862,1.0
1285,HMCN1_code_potential_somatic,ENSG00000118263,1285,1.0,1.4877789119573712,0.47341134359406495,5.880013452014301e-32,2.4781899012548845,1.6525194647632602,1.0
