,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1035,HOXA6_code_potential_somatic,ENSG00000137203,1035,-1.0,1.3768889344834985,0.38751189765490146,4.4541864144617496e-21,-13.611300212819007,4.717192673346575,0.5
2602,HOXA6_code_potential_somatic,ENSG00000087903,2602,1.0,2.3036241808865294,0.40086724087503744,1.433083479882713e-22,4.746866004041195,1.5228079312438636,1.0
2603,HOXA6_code_potential_somatic,ENSG00000087903,2603,1.0,2.3036241808865294,-0.24252030996139157,8.905579745819154e-09,-4.0542496686131155,1.462813253131239,1.0
1507,HOXA6_code_potential_somatic,ENSG00000165495,1507,-1.0,1.676406147504701,0.31968660557945966,1.737041989800858e-14,-7.637699151308459,2.327145852469841,1.0
960,HOXA6_code_potential_somatic,ENSG00000101412,960,1.0,1.4160795063704612,0.6491518019355196,7.070099083657812e-67,3.443518382625383,1.3072790783125465,0.2
639,HOXA6_code_potential_somatic,ENSG00000115844,639,-1.0,6.893076290195977,0.24863172866937241,3.6366861171739948e-09,-8.014170176884335,4.255420785253094,1.0
2327,HOXA6_code_potential_somatic,ENSG00000198914,2327,1.0,1.3406860893621801,-0.2746485174061789,6.116122051138937e-11,-5.152022630582845,2.0406639968926386,1.0
2344,HOXA6_code_potential_somatic,ENSG00000198914,2344,1.0,1.3406860893621801,-0.27120826942889875,1.0771475629679202e-10,-8.862921120300586,2.743215981907526,1.0
2345,HOXA6_code_potential_somatic,ENSG00000198914,2345,1.0,1.3406860893621801,-0.277794026573307,3.619916294223349e-11,-13.022829030083898,12.747952321142172,1.0
2338,HOXA6_code_potential_somatic,ENSG00000198914,2338,1.0,1.3406860893621801,-0.3351627265221251,7.481123824483948e-16,-4.7976746265926025,1.5575819540015372,1.0
2326,HOXA6_code_potential_somatic,ENSG00000198914,2326,1.0,1.3406860893621801,-0.2608419510892539,5.651452256517068e-10,-6.699631022947584,2.701056473358353,1.0
2340,HOXA6_code_potential_somatic,ENSG00000198914,2340,1.0,1.3406860893621801,-0.3652198141191266,9.819024671935763e-19,-12.877829854655019,5.695594559547963,1.0
2330,HOXA6_code_potential_somatic,ENSG00000198914,2330,1.0,1.3406860893621801,-0.19408762113768746,4.72388282780418e-06,-4.575418893613056,1.5168412019905388,1.0
1812,HOXA6_code_potential_somatic,ENSG00000281306,1812,-1.0,1.742532570670774,0.19703894686804288,3.3570467475867707e-06,-3.4139980737155877,1.3968756857257114,1.0
1815,HOXA6_code_potential_somatic,ENSG00000281306,1815,-1.0,1.742532570670774,0.3388296798335871,3.4579084076477964e-16,-6.525148192138534,1.8599097292937332,1.0
