,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2502,HSPG2_code_potential_somatic,ENSG00000184058,2502,-1.0,2.548727485589376,0.3455937492616955,8.10554305993789e-17,-3.459361491363211,2.098120868207461,0.6666666666666666
2501,HSPG2_code_potential_somatic,ENSG00000184058,2501,-1.0,2.548727485589376,-0.332835976746405,1.2142721685346405e-15,4.112796388418318,2.4970932240177475,0.6666666666666666
3241,HSPG2_code_potential_somatic,ENSG00000117505,3241,1.0,1.4909303923235984,0.31129960200051965,8.867027527887206e-14,3.673544203693238,2.190667301280982,1.0
2459,HSPG2_code_potential_somatic,ENSG00000071794,2459,1.0,1.3174983502456021,0.2560222204770262,1.1922324735613492e-09,2.4332875916996493,1.4087823431141298,1.0
894,HSPG2_code_potential_somatic,ENSG00000154727,894,1.0,1.6188483851362174,0.3745957458878942,1.0679125150388243e-19,3.905764100260037,2.380637359355998,1.0
892,HSPG2_code_potential_somatic,ENSG00000154727,892,1.0,1.6188483851362174,0.33724084659894965,4.837035515018521e-16,2.74612620897872,1.5775857384399348,1.0
1535,HSPG2_code_potential_somatic,ENSG00000113916,1535,1.0,1.5549268671358993,0.35653041522952333,7.197473117795702e-18,4.037487417079057,2.4145840033012056,1.0
1530,HSPG2_code_potential_somatic,ENSG00000113916,1530,1.0,1.5549268671358993,0.28051507393590874,2.2871989319564442e-11,2.3664824134108553,1.336335680710258,1.0
1538,HSPG2_code_potential_somatic,ENSG00000113916,1538,1.0,1.5549268671358993,0.6841581243819654,7.158883160947051e-77,2.7047017245301634,1.5603800933876277,1.0
1532,HSPG2_code_potential_somatic,ENSG00000113916,1532,1.0,1.5549268671358993,0.2540152693954289,1.6196192939160244e-09,2.7546829317534236,1.5816109528248103,1.0
2098,HSPG2_code_potential_somatic,ENSG00000105856,2098,1.0,1.3211989763335097,0.38110100039835687,2.1943428122448814e-20,2.3473313314105604,1.317415766749263,1.0
2096,HSPG2_code_potential_somatic,ENSG00000105856,2096,1.0,1.3211989763335097,0.3961684829708856,4.888121905985231e-22,2.4724852164440283,1.41297745356793,1.0
1683,HSPG2_code_potential_somatic,ENSG00000105997,1683,-1.0,1.445198802916528,-0.3613915756893783,2.3794402024027917e-18,2.318881165787814,1.3044422535313016,1.0
1688,HSPG2_code_potential_somatic,ENSG00000105997,1688,-1.0,1.445198802916528,-0.23378019919424414,3.075794675079712e-08,4.03096009654461,2.399994072927729,1.0
3474,HSPG2_code_potential_somatic,ENSG00000177463,3474,-1.0,1.3819254809498598,-0.2343347088054204,2.8472705619073543e-08,2.4194876375517924,1.359002018016925,1.0
2462,HSPG2_code_potential_somatic,ENSG00000109906,2462,-1.0,1.4321429900944846,0.36172290803806406,2.205001851954097e-18,-2.5142105064723816,1.467653117140682,0.3333333333333333
1608,HSPG2_code_potential_somatic,ENSG00000112592,1608,1.0,1.38091707335223,0.41293651076646165,5.5975170845146835e-24,3.5340957697692303,2.114706843206327,1.0
1606,HSPG2_code_potential_somatic,ENSG00000112592,1606,1.0,1.38091707335223,0.41310313080139427,5.347482013806556e-24,2.4659569807507222,1.433818853840928,1.0
545,HSPG2_code_potential_somatic,ENSG00000169136,545,1.0,1.8925508454573767,0.3903781268510046,2.1586116099870858e-21,2.4372312005488768,1.39828770905363,1.0
1058,HSPG2_code_potential_somatic,ENSG00000005889,1058,1.0,1.3566453144451354,0.23538714948996406,2.4578836068786085e-08,3.4529723596117745,2.073314300194597,1.0
2398,HSPG2_code_potential_somatic,ENSG00000092067,2398,-1.0,2.4987576595840775,-0.2348748965190853,2.6404945499979563e-08,2.8885304633751416,1.6807082973104495,1.0
2858,HSPG2_code_potential_somatic,ENSG00000116132,2858,1.0,1.3098934043628359,0.4159127018937151,2.4650185837316205e-24,2.7403837356610623,1.574353837461037,1.0
860,HSPG2_code_potential_somatic,ENSG00000084093,860,1.0,1.3139861118211953,-0.12416466667935458,0.003599783690111188,-3.2142663172484407,1.8989559066278066,1.0
1211,HSPG2_code_potential_somatic,ENSG00000172059,1211,1.0,1.3495509196284226,0.21918147342716704,2.191238192326555e-07,2.616911631142411,1.5156425027487743,1.0
1981,HSPG2_code_potential_somatic,ENSG00000179348,1981,-1.0,2.2198913174440986,-0.19839903303502882,2.863126731538309e-06,2.6623786348452985,1.5202984403196114,1.0
