,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2206,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2206,1.0,1.9198242535996197,0.20874238187314026,8.232020140103674e-07,2.1289374828339445,1.403080471233819,1.0
366,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,366,-1.0,3.563971835150743,0.2894018731355593,4.928790824080555e-12,-4.623172840220427,4.735679889910754,1.0
364,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,364,-1.0,3.563971835150743,-0.29843019019556005,9.798844265767807e-13,2.132588330540883,1.4092635561959945,1.0
363,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,363,-1.0,3.563971835150743,-0.26567493056812325,2.632663727496636e-10,2.0473560390346583,1.326085400453486,1.0
2103,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2103,1.0,1.6166256916748147,0.24667567508641092,4.856576332122605e-09,2.4353099588180354,1.706361275355894,1.0
2095,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2095,1.0,1.6166256916748147,0.305855830137109,2.4855471270809603e-13,2.2904890117791887,1.5644618477653316,1.0
2098,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2098,1.0,1.6166256916748147,0.38110100039835687,2.1943428122448814e-20,2.0759843631054133,1.3525936726260355,1.0
234,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000135363,234,1.0,1.4978796721558307,-0.31197279069307887,7.794265670481288e-14,-2.1907926391020456,1.470455280347689,1.0
54,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000125347,54,1.0,1.407176694254491,0.23473408645589128,2.6929492252057967e-08,3.0035445163556305,2.332113323247953,1.0
44,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000125347,44,1.0,1.407176694254491,0.4144791862408749,3.6628675370127346e-24,2.274950603915101,1.5502306769431942,1.0
783,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000115415,783,1.0,1.7659061933205298,0.72549804988932,1.1812802619047889e-90,2.2374742498454103,1.5074953860572968,1.0
3034,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,3034,1.0,1.5388070484303897,0.3450663734737405,9.08779205643241e-17,2.3006889321000568,1.5690086267967154,1.0
3020,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,3020,1.0,1.5388070484303897,0.31164720712372473,8.296185808036837e-14,2.4880876266499965,1.7663532335786745,1.0
3399,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3399,-1.0,3.125129462688094,0.12252588389376366,0.004071887528659675,-3.4528414787063357,3.0137809278069247,1.0
3398,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3398,-1.0,3.125129462688094,0.19005162450158916,7.473825507774001e-06,-3.2389342641142624,2.6616569866866615,1.0
3393,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3393,-1.0,3.125129462688094,0.1356500737175161,0.0014577784066699124,-2.1574683261479826,1.4450455186600857,1.0
841,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,841,1.0,2.211652573989955,0.5383941051654617,1.643079127810912e-42,2.321239484822881,1.5967770607616396,1.0
851,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,851,1.0,2.211652573989955,-0.33467030416068094,8.291506310731383e-16,-4.108794287647951,4.002367551622304,1.0
3126,IGF1_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000156273,3126,1.0,1.5171251700133561,0.43720630484378664,5.460383802447342e-27,3.417428383068006,2.830293603889006,1.0
