,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3061,IGF2BP1_code_potential_somatic,ENSG00000124782,3061,1.0,3.566280140934157,-0.24425410627237296,6.9242473473585095e-09,-4.955523341343213,3.0598010203161117,0.3333333333333333
1594,IGF2BP1_code_potential_somatic,ENSG00000185811,1594,-1.0,1.5328960216229872,0.4067356203810794,3.010990387751692e-23,-4.403374681539662,1.5642397930871899,0.5
1823,IGF2BP1_code_potential_somatic,ENSG00000096401,1823,-1.0,1.3815003536351256,0.5108129839956534,9.415499959187543e-38,-4.763447239325384,3.957402768451546,1.0
221,IGF2BP1_code_potential_somatic,ENSG00000020633,221,-1.0,1.5237423769857088,0.6379715611320159,5.8828214436437776e-64,-4.600372409876407,1.5617336906260875,0.5
344,IGF2BP1_code_potential_somatic,ENSG00000159216,344,-1.0,1.5153479712595526,0.46056329822208036,3.988216844167444e-30,-4.5702408988345535,1.5655194026624004,1.0
2186,IGF2BP1_code_potential_somatic,ENSG00000132170,2186,-1.0,1.3828333377352633,0.45265675827997665,4.895182796667773e-29,-3.5337804168688325,1.3461375943558707,1.0
2191,IGF2BP1_code_potential_somatic,ENSG00000132170,2191,-1.0,1.3828333377352633,0.41826857064146233,1.2803951378042436e-24,-4.297962381291544,1.3900883795508736,1.0
166,IGF2BP1_code_potential_somatic,ENSG00000178573,166,-1.0,1.3194886614345014,0.5169340280185626,9.020489212937334e-39,-6.098676562536476,2.2769187845858503,1.0
154,IGF2BP1_code_potential_somatic,ENSG00000178573,154,-1.0,1.3194886614345014,0.6056710459662019,3.657733594393192e-56,-5.017791585424658,1.699094820858981,1.0
954,IGF2BP1_code_potential_somatic,ENSG00000001167,954,-1.0,1.3033870267015653,0.18282184628561654,1.6599030319722517e-05,-3.9818566920757092,1.5750640027702885,1.0
951,IGF2BP1_code_potential_somatic,ENSG00000001167,951,-1.0,1.3033870267015653,0.25354275393531367,1.740094785107997e-09,-3.3773298971260397,1.8406834417052846,1.0
