,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2206,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2206,1.0,1.6887521058218908,0.20874238187314026,8.232020140103674e-07,2.614100685098695,1.8827534877896466,1.0
366,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,366,-1.0,3.015468313329108,0.2894018731355593,4.928790824080555e-12,-4.563218501264967,4.494412668088239,1.0
363,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,363,-1.0,3.015468313329108,-0.26567493056812325,2.632663727496636e-10,2.312460692308734,1.5702194796872684,1.0
889,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000139083,889,1.0,1.7059387575902554,0.37569040670382775,8.203038178775998e-20,2.178525551934659,1.4358696045498134,1.0
2103,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2103,1.0,1.3702368680718935,0.24667567508641092,4.856576332122605e-09,2.1216840689155894,1.3801581809212793,1.0
2706,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000065970,2706,1.0,1.3890115234203486,-0.3391613156842976,3.2231586294591895e-16,-3.932745246844689,3.5397903285186936,1.0
234,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000135363,234,1.0,1.4112140734632148,-0.31197279069307887,7.794265670481288e-14,-2.2597493124329584,1.5242093935157606,1.0
494,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,494,1.0,1.701230982067382,0.43361540610406846,1.5784080008314714e-26,2.4423179783074183,1.6967734662987424,1.0
501,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,501,1.0,1.701230982067382,-0.4576396817316701,1.0157288404906929e-29,-5.0053335638779775,5.381657625499449,1.0
804,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,804,1.0,1.4216455139690298,-0.17788063253194566,2.8140438561071734e-05,-3.6860231759101487,3.2144511427271008,1.0
793,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,793,1.0,1.4216455139690298,0.5292624522225253,6.913163364054204e-41,2.1370450287713987,1.3943509568118169,1.0
795,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,795,1.0,1.4216455139690298,0.5945296710176737,1.119601462237606e-53,2.4292207960928027,1.683745160358167,1.0
811,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,811,1.0,1.4216455139690298,0.4894512746505592,2.3512004949770813e-34,2.0762369010936297,1.33744195073873,1.0
3399,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3399,-1.0,3.203624723647576,0.12252588389376366,0.004071887528659675,-3.331923006870829,2.7928743706150208,1.0
3398,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3398,-1.0,3.203624723647576,0.19005162450158916,7.473825507774001e-06,-3.4932980425086,2.930987022652887,1.0
693,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000188786,693,1.0,1.8374133022997148,-0.3278619251490302,3.373042685106883e-15,-5.0053335638779775,5.381657625499449,1.0
850,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,850,1.0,2.074765560228979,0.38885484784455293,3.175065307044252e-21,2.291495482226446,1.5482662921825348,1.0
851,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,851,1.0,2.074765560228979,-0.33467030416068094,8.291506310731383e-16,-3.7681718900181917,3.3901872214768725,1.0
3126,IL1_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000156273,3126,1.0,1.4119144698901294,0.43720630484378664,5.460383802447342e-27,2.686168915924944,1.9497507413734019,1.0
