,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2200,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2200,1.0,2.58340806821356,0.4223688818818541,4.044150961655349e-25,2.3327661588913973,1.609093136423608,1.0
2207,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2207,1.0,2.58340806821356,0.40309790760966463,7.948869748237142e-23,2.167065198123038,1.442913605160682,1.0
3676,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000170370,3676,1.0,1.3997726691680163,-0.24996045964378896,2.9837283379059956e-09,-4.114296932207167,3.9948065220937794,1.0
366,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,366,-1.0,3.9823063955020443,0.2894018731355593,4.928790824080555e-12,-4.767327001550741,5.0194657597019425,1.0
364,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,364,-1.0,3.9823063955020443,-0.29843019019556005,9.798844265767807e-13,2.2188224355684185,1.5005801295468604,1.0
2103,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2103,1.0,1.6278305723656281,0.24667567508641092,4.856576332122605e-09,2.8817776669052764,2.202609271374943,1.0
2095,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2095,1.0,1.6278305723656281,0.305855830137109,2.4855471270809603e-13,2.515253442233643,1.802802785923671,1.0
703,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000168310,703,1.0,1.4709577284850401,0.588297425439722,2.4990299088819376e-52,2.0492003624300845,1.3341082030732065,1.0
708,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000168310,708,1.0,1.4709577284850401,0.569177174849023,2.2816890469102695e-48,2.2372369743220637,1.5122961048372878,1.0
709,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000168310,709,1.0,1.4709577284850401,0.3302106478296337,2.08697168480829e-15,2.2353612346736846,1.515793155200556,1.0
712,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000168310,712,1.0,1.4709577284850401,0.6305761837478454,4.321443278227655e-62,2.654026245512427,1.9544709947678667,1.0
724,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000168310,724,1.0,1.4709577284850401,0.5096017256147933,1.4892679928868209e-37,3.4509182307654425,2.889075868561892,1.0
783,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000115415,783,1.0,2.1751242887767646,0.72549804988932,1.1812802619047889e-90,2.4228402173029777,1.7028724027322335,1.0
3020,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,3020,1.0,1.8566367248109117,0.31164720712372473,8.296185808036837e-14,3.066293489636856,2.4157299332915163,1.0
3396,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3396,-1.0,2.9646538609764432,-0.17820796615855944,2.7185279708035753e-05,2.0405062620637784,1.3213060375891366,1.0
3399,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3399,-1.0,2.9646538609764432,0.12252588389376366,0.004071887528659675,-3.7703791822094592,3.4867239849836626,1.0
3398,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3398,-1.0,2.9646538609764432,0.19005162450158916,7.473825507774001e-06,-2.80580499631686,2.1375819407880368,1.0
3393,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3393,-1.0,2.9646538609764432,0.1356500737175161,0.0014577784066699124,-2.2612411305465665,1.5541487982023412,1.0
3585,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000123268,3585,1.0,1.3680677382499147,0.624735294724591,1.1859621350669256e-60,2.2908961541985944,1.5641096817945828,1.0
841,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,841,1.0,2.910532375410046,0.5383941051654617,1.643079127810912e-42,2.6138352409405807,1.9115071408162188,1.0
851,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,851,1.0,2.910532375410046,-0.33467030416068094,8.291506310731383e-16,-4.504011712212869,4.670916673740353,1.0
3126,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000156273,3126,1.0,1.5314577336902373,0.43720630484378664,5.460383802447342e-27,3.1999856992849827,2.58201744940606,1.0
3423,IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105610,3423,-1.0,3.306371766118224,-0.23174631277386304,4.075852912789024e-08,2.256967101728639,1.5317328462643487,1.0
