,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1246,IMPG1_code_potential_somatic,ENSG00000151702,1246,-1.0,1.392621681124945,0.39119708072948517,1.7527427011751133e-21,-4.089482304554009,1.333108854162712,1.0
1244,IMPG1_code_potential_somatic,ENSG00000151702,1244,-1.0,1.392621681124945,0.38109312514068827,2.1985979843151025e-20,-4.173638722872116,1.3131051938546587,1.0
2348,IMPG1_code_potential_somatic,ENSG00000198914,2348,1.0,2.1508824792100834,-0.21234327052304913,5.253908361913485e-07,-4.932118787292977,1.5889115542118204,1.0
2345,IMPG1_code_potential_somatic,ENSG00000198914,2345,1.0,2.1508824792100834,-0.277794026573307,3.619916294223349e-11,-4.05902466498488,1.3094613021239905,1.0
2338,IMPG1_code_potential_somatic,ENSG00000198914,2338,1.0,2.1508824792100834,-0.3351627265221251,7.481123824483948e-16,-7.2112824129443425,2.167503169994625,1.0
875,IMPG1_code_potential_somatic,ENSG00000132005,875,1.0,1.6697714655880487,-0.34280398695128145,1.480802640841583e-16,-5.644767718296794,1.7080879714947874,1.0
2594,IMPG1_code_potential_somatic,ENSG00000185630,2594,-1.0,1.3188557400126788,0.4522632870727573,5.53633587571199e-29,-5.654413511630072,1.7719842808324562,1.0
2596,IMPG1_code_potential_somatic,ENSG00000185630,2596,-1.0,1.3188557400126788,0.2079536894014418,9.073336116452097e-07,-5.366898201190195,1.561601766379386,1.0
2593,IMPG1_code_potential_somatic,ENSG00000185630,2593,-1.0,1.3188557400126788,0.4626175008496893,2.056643182146867e-30,-3.8824794978134127,1.3141474146945413,1.0
2220,IMPG1_code_potential_somatic,ENSG00000187140,2220,1.0,1.6697714655880487,-0.30682851893321017,2.0707013152406406e-13,-9.617044678815875,2.886447576867144,1.0
2227,IMPG1_code_potential_somatic,ENSG00000187140,2227,1.0,1.6697714655880487,-0.35768953704612905,5.5374193482385716e-18,-4.1785766020427,1.5048355484477878,1.0
1211,IMPG1_code_potential_somatic,ENSG00000172059,1211,-1.0,1.4233402881237307,0.21918147342716704,2.191238192326555e-07,-3.7201794812420195,1.3037601167510404,1.0
1978,IMPG1_code_potential_somatic,ENSG00000179348,1978,-1.0,1.452183110776306,0.16429916733004776,0.00011170574836317506,-7.0610742923795815,3.6415686106856953,0.5
