,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1596,INPP5J_code_potential_somatic,ENSG00000185811,1596,-1.0,1.631933811651155,0.29259323995173636,2.8027125371516682e-12,-7.038127477566086,2.9538830807927803,1.0
1593,INPP5J_code_potential_somatic,ENSG00000185811,1593,-1.0,1.631933811651155,0.2037166549376371,1.5205981006484998e-06,-7.8789592502272825,6.0946568147721605,1.0
1590,INPP5J_code_potential_somatic,ENSG00000185811,1590,-1.0,1.631933811651155,0.5350057755535523,6.668825680741697e-42,-4.4515003214990445,1.443023872170118,1.0
1595,INPP5J_code_potential_somatic,ENSG00000185811,1595,-1.0,1.631933811651155,0.45970832233167136,5.247039673838221e-30,-5.154668862852133,1.7309843146268107,1.0
221,INPP5J_code_potential_somatic,ENSG00000020633,221,-1.0,1.5603912738841674,0.6379715611320159,5.8828214436437776e-64,-5.219110097696077,1.5750779436922209,1.0
227,INPP5J_code_potential_somatic,ENSG00000020633,227,-1.0,1.5603912738841674,0.4475187360036436,2.4116916755157605e-28,-6.955139805496753,2.4102232853587724,1.0
224,INPP5J_code_potential_somatic,ENSG00000020633,224,-1.0,1.5603912738841674,-0.1923992533964054,5.730009813542999e-06,5.139174363981631,2.020674079843912,1.0
2956,INPP5J_code_potential_somatic,ENSG00000099326,2956,1.0,1.386981880459924,0.30407842823274045,3.463977880396004e-13,3.8201919350494626,1.6130374163785326,1.0
2957,INPP5J_code_potential_somatic,ENSG00000099326,2957,1.0,1.386981880459924,0.41592837948999983,2.4543388813726996e-24,5.33448395399382,2.2191016018847147,1.0
2959,INPP5J_code_potential_somatic,ENSG00000099326,2959,1.0,1.386981880459924,-0.17563880918228794,3.5589447386942476e-05,-6.903906259021258,2.731118641253663,1.0
3684,INPP5J_code_potential_somatic,ENSG00000106689,3684,1.0,1.4374104510532297,0.21229703984377238,5.284549734916635e-07,3.2018082145325777,1.3562680225898627,1.0
344,INPP5J_code_potential_somatic,ENSG00000159216,344,-1.0,1.5852666540888123,0.46056329822208036,3.988216844167444e-30,-4.674083324716709,1.4531654549050492,1.0
2188,INPP5J_code_potential_somatic,ENSG00000132170,2188,-1.0,1.4481923635046965,0.38661812882856933,5.574890332489311e-21,-6.435563671082153,2.0160045222683682,1.0
2195,INPP5J_code_potential_somatic,ENSG00000132170,2195,-1.0,1.4481923635046965,0.4387491990753573,3.447069013165574e-27,-4.9803510551349,1.5505011201312497,1.0
2196,INPP5J_code_potential_somatic,ENSG00000132170,2196,-1.0,1.4481923635046965,0.20977229057046545,7.245609552287564e-07,-3.7365935761486253,1.3950911112760693,1.0
1522,INPP5J_code_potential_somatic,ENSG00000113916,1522,-1.0,2.1323856119449487,0.20905214200810465,7.922529811932706e-07,-5.619968808246827,1.9016027870539916,0.3333333333333333
568,INPP5J_code_potential_somatic,ENSG00000090447,568,1.0,1.8934212732447242,-0.1485485061547691,0.00048507395933554377,-4.3600145027230965,1.5365729539056998,1.0
570,INPP5J_code_potential_somatic,ENSG00000090447,570,1.0,1.8934212732447242,0.23113932300639128,4.430855140786107e-08,6.592535488389095,4.01384833475043,1.0
567,INPP5J_code_potential_somatic,ENSG00000090447,567,1.0,1.8934212732447242,-0.23457082069737303,2.7550319609364572e-08,-6.684394055678433,1.9133909296078817,1.0
2538,INPP5J_code_potential_somatic,ENSG00000177732,2538,1.0,1.8934212732447242,-0.40340927196378373,7.318506353990884e-23,-3.9485445214435893,1.3217137735383035,1.0
2532,INPP5J_code_potential_somatic,ENSG00000177732,2532,1.0,1.8934212732447242,-0.24271463923626918,8.658729635365614e-09,-6.8396997379907685,3.9954034819095083,1.0
170,INPP5J_code_potential_somatic,ENSG00000178573,170,-1.0,1.5093729585809126,0.4816011740550803,3.6374284235023134e-33,-5.6207222481512815,2.7750069582418813,1.0
158,INPP5J_code_potential_somatic,ENSG00000178573,158,-1.0,1.5093729585809126,0.4564464343567742,1.4837418012313657e-29,-5.252757777080236,1.771112420120792,1.0
166,INPP5J_code_potential_somatic,ENSG00000178573,166,-1.0,1.5093729585809126,0.5169340280185626,9.020489212937334e-39,-5.689549535383517,1.813076535036799,1.0
154,INPP5J_code_potential_somatic,ENSG00000178573,154,-1.0,1.5093729585809126,0.6056710459662019,3.657733594393192e-56,-4.843716827692138,1.4992389548918552,1.0
172,INPP5J_code_potential_somatic,ENSG00000178573,172,-1.0,1.5093729585809126,0.3283820567504193,3.0339126838600218e-15,-4.223106598661134,1.4905450356335193,1.0
461,INPP5J_code_potential_somatic,ENSG00000172216,461,-1.0,2.9496475394934336,0.4964177421680016,1.9478677986042713e-35,-4.145212479070492,1.403843691656364,1.0
474,INPP5J_code_potential_somatic,ENSG00000172216,474,-1.0,2.9496475394934336,0.41311158941148274,5.335087311770491e-24,-5.2427639253070435,1.6781669727657937,1.0
459,INPP5J_code_potential_somatic,ENSG00000172216,459,-1.0,2.9496475394934336,0.37768933668965154,5.0541939676146437e-20,-4.548096116818207,1.4991609437451052,1.0
477,INPP5J_code_potential_somatic,ENSG00000172216,477,-1.0,2.9496475394934336,0.36306811871834266,1.617202463869498e-18,-4.490849088593857,1.5240470813726026,1.0
