,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1238,IRAK3_code_potential_somatic,ENSG00000151702,1238,1.0,3.397864759852525,0.6335156236726455,7.943540603589842e-63,5.040789987597179,2.618142901395975,1.0
3214,IRAK3_code_potential_somatic,ENSG00000171634,3214,1.0,1.4429975359248688,0.7117582774244728,8.383930012079178e-86,8.448737381724392,2.5147893782999042,1.0
703,IRAK3_code_potential_somatic,ENSG00000168310,703,-1.0,1.3763245111004885,0.588297425439722,2.4990299088819376e-52,-5.263233584731718,1.909142936627014,1.0
706,IRAK3_code_potential_somatic,ENSG00000168310,706,-1.0,1.3763245111004885,0.3914883194251179,1.6273788437504805e-21,-9.616443655545858,3.1126778316457515,1.0
714,IRAK3_code_potential_somatic,ENSG00000168310,714,-1.0,1.3763245111004885,0.5354803327471371,5.485993446753296e-42,-4.560579501613998,1.3921944328630194,1.0
1662,IRAK3_code_potential_somatic,ENSG00000143190,1662,1.0,1.4212833884647835,0.49261829493817083,7.631470075785453e-35,5.162499462295531,1.5599838362189427,1.0
1661,IRAK3_code_potential_somatic,ENSG00000143190,1661,1.0,1.4212833884647835,-0.25581979718732256,1.2297942417200733e-09,-5.528472794469743,1.7522723725954794,1.0
1676,IRAK3_code_potential_somatic,ENSG00000143190,1676,1.0,1.4212833884647835,-0.29469739213029883,1.9241898424707e-12,-4.649142524055094,1.6008233273507273,1.0
1667,IRAK3_code_potential_somatic,ENSG00000143190,1667,1.0,1.4212833884647835,0.6538399865770609,3.871989707205816e-68,4.589950990177419,2.175738801223208,1.0
1504,IRAK3_code_potential_somatic,ENSG00000185591,1504,1.0,2.8548261773261494,-0.31124775655420145,8.955403958116932e-14,-5.959926549998153,2.4488083130130165,1.0
1499,IRAK3_code_potential_somatic,ENSG00000185591,1499,1.0,2.8548261773261494,-0.16352469407358422,0.00012046067361968546,-6.2678453267050696,2.090316104851828,1.0
2825,IRAK3_code_potential_somatic,ENSG00000126456,2825,-1.0,1.7040969071745735,0.2626029462068129,4.2859941717981073e-10,-6.137477514415604,2.5744541694347864,1.0
2823,IRAK3_code_potential_somatic,ENSG00000126456,2823,-1.0,1.7040969071745735,0.4195568315417488,8.929547673661836e-25,-13.493844451788693,7.007445077900169,1.0
2824,IRAK3_code_potential_somatic,ENSG00000126456,2824,-1.0,1.7040969071745735,0.3976187700057979,3.3541140019250776e-22,-8.180955229323908,3.4022161389382406,1.0
2828,IRAK3_code_potential_somatic,ENSG00000126456,2828,-1.0,1.7040969071745735,0.38706935192535835,4.9781342622690785e-21,-7.598167093839191,6.6861889587461025,1.0
2836,IRAK3_code_potential_somatic,ENSG00000126456,2836,-1.0,1.7040969071745735,0.4748482864423721,3.628121432982349e-32,-3.160945206188021,2.021664501543124,1.0
2837,IRAK3_code_potential_somatic,ENSG00000126456,2837,-1.0,1.7040969071745735,0.4755943212683657,2.8211001466529374e-32,-5.135145724543975,1.6743926721668858,1.0
2835,IRAK3_code_potential_somatic,ENSG00000126456,2835,-1.0,1.7040969071745735,0.3527555417203807,1.6780100043281802e-17,-10.017648772973468,3.792517905358834,1.0
2156,IRAK3_code_potential_somatic,ENSG00000125798,2156,1.0,1.6628511014106333,-0.3319318379497296,1.4641064678976948e-15,-3.8805609695569148,1.3229701141343282,1.0
2153,IRAK3_code_potential_somatic,ENSG00000125798,2153,1.0,1.6628511014106333,-0.2340867080856713,2.9473693874078184e-08,-3.503146431279311,1.3605210499426048,1.0
3495,IRAK3_code_potential_somatic,ENSG00000120093,3495,-1.0,1.4673992772841236,-0.3257861384818852,5.1380715349645825e-15,5.086349953574981,2.1818309770582833,1.0
3493,IRAK3_code_potential_somatic,ENSG00000120093,3493,-1.0,1.4673992772841236,-0.2056570309243139,1.201990544132869e-06,5.568352660718288,1.6808134169124667,1.0
1152,IRAK3_code_potential_somatic,ENSG00000162702,1152,1.0,2.3811724225386466,0.668571312317625,2.976059038259947e-72,3.607960108237821,1.3226580253876734,1.0
535,IRAK3_code_potential_somatic,ENSG00000196092,535,1.0,1.6716775013168605,-0.12607364234380028,0.003112798679150661,-3.9808795801186725,1.302573574477228,1.0
533,IRAK3_code_potential_somatic,ENSG00000196092,533,1.0,1.6716775013168605,-0.1091605418459437,0.010552051279032,-3.814829566789703,1.506914939518414,1.0
530,IRAK3_code_potential_somatic,ENSG00000196092,530,1.0,1.6716775013168605,-0.20883778755202057,8.135480889585371e-07,-2.2606836677553854,1.311532264350918,1.0
3376,IRAK3_code_potential_somatic,ENSG00000137273,3376,1.0,1.935530109644183,0.4518914728241265,6.218274453371455e-29,4.053466693979509,1.5723917517061425,1.0
3378,IRAK3_code_potential_somatic,ENSG00000137273,3378,1.0,1.935530109644183,0.1909436432706616,6.7587357886437704e-06,4.28586698349446,1.4143005384127556,1.0
2473,IRAK3_code_potential_somatic,ENSG00000109906,2473,1.0,1.4885136743571552,0.21866702951187186,2.342577771898346e-07,4.972085384038685,1.573547150934976,0.5
2945,IRAK3_code_potential_somatic,ENSG00000152977,2945,-1.0,1.4584724537707259,0.16847021005135182,7.396956980775913e-05,-4.740438438807694,1.5160775566008877,1.0
2476,IRAK3_code_potential_somatic,ENSG00000106511,2476,-1.0,4.071306584745919,0.30256995179394364,4.582983422097991e-13,-3.503322019358129,1.4129732052542678,1.0
2488,IRAK3_code_potential_somatic,ENSG00000106511,2488,-1.0,4.071306584745919,0.4415516970195869,1.4857751504158297e-27,-4.792533114953968,1.9259759141307722,1.0
2486,IRAK3_code_potential_somatic,ENSG00000106511,2486,-1.0,4.071306584745919,0.2676479237721726,1.9187721407399875e-10,-15.109405033774085,16.26604470943388,1.0
