,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
525,KCNC2_code_potential_somatic,ENSG00000120690,525,-1.0,1.4960166624176445,0.26212729522744077,4.619350352113661e-10,-4.645651365551628,1.464609917940045,1.0
524,KCNC2_code_potential_somatic,ENSG00000120690,524,-1.0,1.4960166624176445,0.6207065899937414,1.1183039932827503e-59,-4.142870132301751,1.3600807891577091,1.0
508,KCNC2_code_potential_somatic,ENSG00000120690,508,-1.0,1.4960166624176445,0.20662371880313293,1.0682225059638864e-06,-6.158567127649647,1.9981928911332307,1.0
2282,KCNC2_code_potential_somatic,ENSG00000118689,2282,-1.0,1.429248626896421,0.2465471187968765,4.949360656703986e-09,-4.351537170316856,1.512510312096485,1.0
2293,KCNC2_code_potential_somatic,ENSG00000118689,2293,-1.0,1.429248626896421,0.392797362255363,1.1647381014347199e-21,-4.567848361125872,1.7331235695986875,1.0
3463,KCNC2_code_potential_somatic,ENSG00000150347,3463,-1.0,2.4315583858194945,0.4458585150166216,4.014154139911832e-28,-5.0017340028194415,2.0012185244306906,1.0
1650,KCNC2_code_potential_somatic,ENSG00000138795,1650,-1.0,2.3877374450211333,0.3354609654467966,7.028702708760385e-16,-7.204218189198839,3.9531760156943783,1.0
2917,KCNC2_code_potential_somatic,ENSG00000109381,2917,-1.0,1.875896172799322,0.3834539523840046,1.227160690870263e-20,-7.040934403520494,2.6837383330279554,1.0
2911,KCNC2_code_potential_somatic,ENSG00000109381,2911,-1.0,1.875896172799322,0.5069681811151759,4.010310061145181e-37,-5.226238247689755,1.624993713178474,1.0
2896,KCNC2_code_potential_somatic,ENSG00000109381,2896,-1.0,1.875896172799322,0.2669809331990748,2.1359413618762443e-10,-4.079660319173178,1.6256177767638795,1.0
878,KCNC2_code_potential_somatic,ENSG00000132005,878,1.0,1.9448083036104988,-0.1643523982383632,0.00011112654023269386,-5.024534694630231,1.6287513272255565,1.0
1255,KCNC2_code_potential_somatic,ENSG00000089220,1255,-1.0,3.7134957511512985,0.37219430273234255,1.8981686391929371e-19,-4.22987091292353,1.4220499182038195,1.0
1253,KCNC2_code_potential_somatic,ENSG00000089220,1253,-1.0,3.7134957511512985,0.2657955610818475,2.582430391060707e-10,-4.03040258745331,1.341636775305342,1.0
811,KCNC2_code_potential_somatic,ENSG00000126561,811,-1.0,1.8674784198770469,0.4894512746505592,2.3512004949770813e-34,-3.7510325528472284,1.6037955975640934,1.0
982,KCNC2_code_potential_somatic,ENSG00000282899,982,1.0,1.9448083036104988,0.2007361615862869,2.1724806003503496e-06,6.832641908795014,3.4441283881784437,1.0
2218,KCNC2_code_potential_somatic,ENSG00000187140,2218,1.0,1.9448083036104988,-0.33403129091008305,9.472778577955283e-16,-4.308974233251804,1.7823075794276526,1.0
2221,KCNC2_code_potential_somatic,ENSG00000187140,2221,1.0,1.9448083036104988,-0.24993891200154664,2.9933465456511736e-09,-5.802263127653876,2.4023148976578654,1.0
2209,KCNC2_code_potential_somatic,ENSG00000187140,2209,1.0,1.9448083036104988,-0.3347616488853905,8.134929841845888e-16,-7.842280926062038,3.755478889827829,1.0
2214,KCNC2_code_potential_somatic,ENSG00000187140,2214,1.0,1.9448083036104988,-0.23871089775635182,1.537676928478932e-08,-3.218768327887254,1.334021476993194,1.0
2226,KCNC2_code_potential_somatic,ENSG00000187140,2226,1.0,1.9448083036104988,-0.24477638365332186,6.416337993313395e-09,-11.702439287749446,19.061515201492128,1.0
2213,KCNC2_code_potential_somatic,ENSG00000187140,2213,1.0,1.9448083036104988,-0.32520348264683924,5.779002007452825e-15,-5.309270070500893,1.8203945326060225,1.0
2227,KCNC2_code_potential_somatic,ENSG00000187140,2227,1.0,1.9448083036104988,-0.35768953704612905,5.5374193482385716e-18,-6.801543561294237,2.587798737444629,1.0
2215,KCNC2_code_potential_somatic,ENSG00000187140,2215,1.0,1.9448083036104988,-0.2008771733455679,2.1363744063133354e-06,-10.521568258331442,15.80409333919878,1.0
916,KCNC2_code_potential_somatic,ENSG00000101057,916,1.0,2.4479407548142182,0.8137042900539069,9.46897652452271e-131,5.759950966702276,2.129158535480192,0.5
1185,KCNC2_code_potential_somatic,ENSG00000100811,1185,-1.0,1.4629040846194252,0.3996405965741025,1.9778961562326593e-22,-4.902460580484035,1.5834311691697518,1.0
1201,KCNC2_code_potential_somatic,ENSG00000100811,1201,-1.0,1.4629040846194252,0.32495500712163927,6.0756249839644116e-15,-5.822352592371283,1.855226490518299,1.0
1194,KCNC2_code_potential_somatic,ENSG00000100811,1194,-1.0,1.4629040846194252,0.17266823282207602,4.836530742436054e-05,-4.811614714876865,1.4620700404225249,1.0
