,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1927,KCNH5_code_potential_somatic,ENSG00000006468,1927,1.0,1.4172651314869102,0.4984914141826245,9.177637982013544e-36,2.8598681747600767,1.6227705483544228,1.0
1725,KCNH5_code_potential_somatic,ENSG00000170365,1725,-1.0,1.5638534490979836,0.24239941017236824,9.062583003005396e-09,-5.355964881066102,2.921909735560434,1.0
1727,KCNH5_code_potential_somatic,ENSG00000170365,1727,-1.0,1.5638534490979836,0.45551606016609364,1.9917364237164507e-29,-3.697262810200075,1.8454196364151756,1.0
1723,KCNH5_code_potential_somatic,ENSG00000170365,1723,-1.0,1.5638534490979836,0.35332022686283937,1.479504512321763e-17,-3.6919796688035302,1.6986217252838542,1.0
1705,KCNH5_code_potential_somatic,ENSG00000170365,1705,-1.0,1.5638534490979836,0.33002324586474235,2.168798463495684e-15,-3.935965293315205,2.21010862267236,1.0
560,KCNH5_code_potential_somatic,ENSG00000181449,560,1.0,1.4596294989374599,0.7759856705311577,2.31757765165303e-111,3.7056278197369767,1.6011532398762576,0.5
3104,KCNH5_code_potential_somatic,ENSG00000184486,3104,1.0,1.5157009117975329,0.5073930075149646,3.4200584568360427e-37,3.932899001306563,1.6448168167560129,1.0
3108,KCNH5_code_potential_somatic,ENSG00000184486,3108,1.0,1.5157009117975329,0.3355158005742668,6.94849595439125e-16,3.532737258289483,1.4993994887958277,1.0
1754,KCNH5_code_potential_somatic,ENSG00000116017,1754,-1.0,1.5347240161605662,0.4625951147005758,2.071590374736229e-30,-5.524953554213183,3.843646817826471,1.0
1764,KCNH5_code_potential_somatic,ENSG00000116017,1764,-1.0,1.5347240161605662,0.1869322932743039,1.0584889123044665e-05,-3.7552596585107434,1.6240604662143048,1.0
1759,KCNH5_code_potential_somatic,ENSG00000116017,1759,-1.0,1.5347240161605662,0.2528376266977652,1.9362221070023887e-09,-3.0118613098263953,1.306513793286501,1.0
956,KCNH5_code_potential_somatic,ENSG00000129173,956,1.0,1.3109728369681408,0.7719811749257338,1.5861341031969156e-109,3.4230201738808885,1.4492360267263582,1.0
3707,KCNH5_code_potential_somatic,ENSG00000122592,3707,1.0,1.3905914978733926,0.3274069567135064,3.700010469127915e-15,3.21279890742,1.3519106355855912,1.0
3708,KCNH5_code_potential_somatic,ENSG00000122592,3708,1.0,1.3905914978733926,0.30019115007390157,7.10287710032287e-13,4.329369768726182,1.9463337797918738,1.0
3748,KCNH5_code_potential_somatic,ENSG00000128713,3748,1.0,1.4888970356487563,0.38202481270608896,1.7476344049928133e-20,3.523440221209928,1.4329345347663764,1.0
69,KCNH5_code_potential_somatic,ENSG00000166888,69,-1.0,1.4697467472724333,0.39603540570009693,5.059529347962473e-22,-3.151077667168857,1.3583943385991426,1.0
71,KCNH5_code_potential_somatic,ENSG00000166888,71,-1.0,1.4697467472724333,-0.3451919400821229,8.843804960801743e-17,5.432719021527677,2.2552751707081575,1.0
67,KCNH5_code_potential_somatic,ENSG00000166888,67,-1.0,1.4697467472724333,0.22734286545771254,7.431307884206914e-08,-2.6470505396811004,1.597263581823249,1.0
3638,KCNH5_code_potential_somatic,ENSG00000076604,3638,1.0,1.5961605212650343,-0.32362707825680004,7.932812879565234e-15,-4.334643071983381,1.775464063155926,1.0
810,KCNH5_code_potential_somatic,ENSG00000126561,810,-1.0,1.4166182811290136,0.5407267856545183,6.205581202352399e-43,-3.052255185466835,1.3362723505055614,1.0
802,KCNH5_code_potential_somatic,ENSG00000126561,802,-1.0,1.4166182811290136,-0.1737755815531423,4.316510851674963e-05,3.196538659790436,1.3830636832189416,1.0
1839,KCNH5_code_potential_somatic,ENSG00000112658,1839,-1.0,1.4732131627215705,0.43930433182194023,2.919581539654522e-27,-3.6919796688035302,1.6986217252838542,1.0
1830,KCNH5_code_potential_somatic,ENSG00000112658,1830,-1.0,1.4732131627215705,0.26864421678630135,1.6339068208860545e-10,-2.8297483757594772,1.309395034839135,1.0
916,KCNH5_code_potential_somatic,ENSG00000101057,916,1.0,1.4760714257506766,0.8137042900539069,9.46897652452271e-131,3.105866009486402,1.3326773133548089,1.0
415,KCNH5_code_potential_somatic,ENSG00000109320,415,-1.0,1.4482980659809088,0.16685811563897107,8.684656697485438e-05,-2.8843928387358684,1.3750508090431404,1.0
411,KCNH5_code_potential_somatic,ENSG00000109320,411,-1.0,1.4482980659809088,0.7727425956718023,7.149457807593363e-110,-3.043139820605413,1.352797589427336,1.0
686,KCNH5_code_potential_somatic,ENSG00000188786,686,-1.0,2.675356836421417,0.38035270508173613,2.637218332487282e-20,-3.351815940022156,1.494088445359981,0.5
696,KCNH5_code_potential_somatic,ENSG00000188786,696,-1.0,2.675356836421417,0.41171431452772844,7.820438187644113e-24,-3.6919796688035302,1.6986217252838542,0.5
3760,KCNH5_code_potential_somatic,ENSG00000103241,3760,-1.0,2.0885446740087232,0.2097084134804869,7.303331443355882e-07,-2.988133766506834,1.3264200773411055,1.0
