,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1238,KCNQ5_code_potential_somatic,ENSG00000151702,1238,-1.0,1.406077504235768,0.6335156236726455,7.943540603589842e-63,-3.1447479666215132,1.3149068533837864,1.0
1507,KCNQ5_code_potential_somatic,ENSG00000165495,1507,-1.0,1.5163261653217814,0.31968660557945966,1.737041989800858e-14,-3.1845959940515876,1.4463631839533166,1.0
366,KCNQ5_code_potential_somatic,ENSG00000163497,366,-1.0,1.3916665890343132,0.2894018731355593,4.928790824080555e-12,-3.6745008918096986,3.0245432547216926,1.0
3264,KCNQ5_code_potential_somatic,ENSG00000184481,3264,-1.0,1.4658404931299214,0.25129859717597636,2.44176272655712e-09,-4.786985102167555,1.9870359603427414,1.0
3259,KCNQ5_code_potential_somatic,ENSG00000184481,3259,-1.0,1.4658404931299214,-0.22017601638403608,1.9249384956311133e-07,3.712687513205198,1.577112962003421,1.0
3266,KCNQ5_code_potential_somatic,ENSG00000184481,3266,-1.0,1.4658404931299214,0.4451406269448879,4.99915639417556e-28,-5.904476652416811,2.5889688396764066,1.0
3265,KCNQ5_code_potential_somatic,ENSG00000184481,3265,-1.0,1.4658404931299214,0.3577604138068726,5.449156345779989e-18,-3.9639271367359092,2.3603698815886336,1.0
1485,KCNQ5_code_potential_somatic,ENSG00000129194,1485,1.0,1.7619459081421325,-0.2637203577671224,3.5923392638003295e-10,-4.593668355201767,2.389936262850485,0.6666666666666666
1494,KCNQ5_code_potential_somatic,ENSG00000129194,1494,1.0,1.7619459081421325,-0.21446623581715313,4.016987531438759e-07,-2.8681570664207365,1.5616830906529915,0.6666666666666666
3744,KCNQ5_code_potential_somatic,ENSG00000089225,3744,-1.0,1.5045063363460134,-0.24378082761132747,7.418027583680572e-09,5.819528028412902,2.207498788353087,1.0
2912,KCNQ5_code_potential_somatic,ENSG00000109381,2912,-1.0,4.026140558508481,0.28459905130854335,1.1373979078807612e-11,-4.111250655309918,1.8056967812410216,1.0
2909,KCNQ5_code_potential_somatic,ENSG00000109381,2909,-1.0,4.026140558508481,0.16654602209432706,8.957196838137522e-05,-2.9224426387787945,1.4328959797723355,1.0
2513,KCNQ5_code_potential_somatic,ENSG00000128652,2513,-1.0,1.5211344903070485,0.2976693980399551,1.1252597729420222e-12,-3.465625216255107,1.5511550830403356,1.0
3476,KCNQ5_code_potential_somatic,ENSG00000177463,3476,-1.0,1.7612640425382375,-0.2645210818824812,3.1638269667626865e-10,3.2805955736802637,1.4024395430301415,1.0
1153,KCNQ5_code_potential_somatic,ENSG00000162702,1153,-1.0,1.6266394687447219,0.5253982528740864,3.2518881955657156e-40,-3.27136828434105,1.3901561212428184,1.0
1168,KCNQ5_code_potential_somatic,ENSG00000162702,1168,-1.0,1.6266394687447219,0.5055624476213332,6.780820177135276e-37,-3.7920003794439774,1.683330909684016,1.0
1513,KCNQ5_code_potential_somatic,ENSG00000177426,1513,1.0,1.5841411707178337,0.3842106333916613,1.0169407469529677e-20,3.5533874740241234,1.5066462426902694,0.5
1206,KCNQ5_code_potential_somatic,ENSG00000172059,1206,-1.0,3.5201266010725902,0.27754427881853927,3.7747665833542725e-11,-3.3800070355492196,1.390914881094304,1.0
1978,KCNQ5_code_potential_somatic,ENSG00000179348,1978,-1.0,1.3614378248331045,0.16429916733004776,0.00011170574836317506,-4.135194966964379,1.6934091751732496,1.0
1977,KCNQ5_code_potential_somatic,ENSG00000179348,1977,-1.0,1.3614378248331045,-0.27773576425036994,3.655476434820277e-11,4.578903081876909,1.8160442823647442,1.0
