,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,KIAA1211_code_potential_somatic,ENSG00000125952,1313,-1.0,2.039892498860517,0.6383058949876683,4.830752998599309e-64,-10.054207186607107,5.78395909528606,1.0
3516,KIAA1211_code_potential_somatic,ENSG00000105991,3516,1.0,1.5678409927425407,0.204880772040821,1.320900086403999e-06,3.7415055318689867,2.0562363424168426,1.0
2053,KIAA1211_code_potential_somatic,ENSG00000054598,2053,-1.0,1.8029480996476217,0.40809315438122823,2.089500644179491e-23,-5.566119948291928,2.203944757820984,1.0
2039,KIAA1211_code_potential_somatic,ENSG00000054598,2039,-1.0,1.8029480996476217,0.4104257619512322,1.1109781326525633e-23,-5.595256590221139,2.162620107089496,1.0
2052,KIAA1211_code_potential_somatic,ENSG00000054598,2052,-1.0,1.8029480996476217,0.381412073076266,2.0326045000750028e-20,-3.5526557595965844,1.7763118448088797,1.0
3577,KIAA1211_code_potential_somatic,ENSG00000134138,3577,1.0,2.676856625738675,0.6019454657365405,2.5430605829568647e-55,3.3951395114473586,1.5425419731314662,1.0
1479,KIAA1211_code_potential_somatic,ENSG00000087510,1479,-1.0,4.637518227303009,0.15526243868235676,0.0002638283067216797,-3.765942812666494,1.6548604792924284,1.0
1839,KIAA1211_code_potential_somatic,ENSG00000112658,1839,-1.0,3.8040260497410663,0.43930433182194023,2.919581539654522e-27,-5.566119948291928,2.203944757820984,1.0
1830,KIAA1211_code_potential_somatic,ENSG00000112658,1830,-1.0,3.8040260497410663,0.26864421678630135,1.6339068208860545e-10,-6.707353217339108,2.8788922533231025,1.0
334,KIAA1211_code_potential_somatic,ENSG00000134532,334,1.0,2.6541167873568026,0.6472405935698375,2.2767547765862564e-66,5.635199162764707,6.0430358593306925,1.0
326,KIAA1211_code_potential_somatic,ENSG00000134532,326,1.0,2.6541167873568026,-0.29560581768618077,1.6342432170611825e-12,-6.176285200591475,8.531482989185559,1.0
3758,KIAA1211_code_potential_somatic,ENSG00000135373,3758,-1.0,3.01371918288545,-0.07318378082806833,0.08697554691999376,3.8997763876437523,1.3324539232171169,1.0
