,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2358,KIF4B_code_potential_somatic,ENSG00000148516,2358,1.0,1.451431474478794,-0.47289697259782226,6.985546911952625e-32,-2.614294013485501,1.4166416650611757,1.0
214,KIF4B_code_potential_somatic,ENSG00000136826,214,-1.0,1.6500347835894558,0.2645969906161201,3.1258888782178924e-10,-2.9963457973941865,1.683115903437107,1.0
639,KIF4B_code_potential_somatic,ENSG00000115844,639,1.0,2.24581841343215,0.24863172866937241,3.6366861171739948e-09,2.9319217117632523,1.5399649395602,1.0
1577,KIF4B_code_potential_somatic,ENSG00000105866,1577,1.0,2.025462347586985,0.37185151026660157,2.0597864056495832e-19,2.8318092634621808,1.496451369976775,1.0
1443,KIF4B_code_potential_somatic,ENSG00000007372,1443,1.0,1.666957860573793,-0.27238496417888014,8.883658235944623e-11,-4.289986441552547,2.7828155856494057,1.0
3269,KIF4B_code_potential_somatic,ENSG00000118922,3269,1.0,1.4010771849889008,0.3254074698423206,5.546153376746925e-15,2.8787033371404696,1.5546434055171603,1.0
1100,KIF4B_code_potential_somatic,ENSG00000176887,1100,1.0,1.7862557736942941,0.5747518364116476,1.6996917970202137e-49,2.675225319477711,1.3990059197259204,1.0
564,KIF4B_code_potential_somatic,ENSG00000181449,564,1.0,1.5667789114731252,0.20745062085833454,9.652454875272727e-07,2.7210657972272823,1.4407481963219921,1.0
560,KIF4B_code_potential_somatic,ENSG00000181449,560,1.0,1.5667789114731252,0.7759856705311577,2.31757765165303e-111,3.324921578261707,1.8142660967664124,1.0
550,KIF4B_code_potential_somatic,ENSG00000181449,550,1.0,1.5667789114731252,-0.5315766841913027,2.708812111714531e-41,-2.719707599036232,1.4728663094101666,1.0
196,KIF4B_code_potential_somatic,ENSG00000125820,196,1.0,1.8471170794213743,0.6110351173052444,2.1427077529094173e-57,2.8367444757308085,1.4773234298706832,1.0
1548,KIF4B_code_potential_somatic,ENSG00000123364,1548,1.0,2.7265717454252463,0.45285051907844587,4.607026336387008e-29,7.4266173830292646,6.373740749951944,1.0
2158,KIF4B_code_potential_somatic,ENSG00000124766,2158,1.0,1.5005439205483602,0.7488274069467211,1.3197331325854062e-99,3.3199872787029783,1.7253944679672137,1.0
2165,KIF4B_code_potential_somatic,ENSG00000124766,2165,1.0,1.5005439205483602,-0.24047478470102865,1.1954474399652276e-08,-2.415248622855858,1.3035167438927606,1.0
3707,KIF4B_code_potential_somatic,ENSG00000122592,3707,1.0,3.099432458870492,0.3274069567135064,3.700010469127915e-15,5.096052914299976,2.973788364604751,1.0
3748,KIF4B_code_potential_somatic,ENSG00000128713,3748,1.0,3.631097016008403,0.38202481270608896,1.7476344049928133e-20,2.6845642071121927,1.4189581138217235,1.0
3762,KIF4B_code_potential_somatic,ENSG00000123388,3762,1.0,2.4691766003004916,0.36996947054604434,3.2203666637106646e-19,2.6845642071121927,1.4189581138217235,1.0
3637,KIF4B_code_potential_somatic,ENSG00000076604,3637,1.0,3.2708877154373126,0.35197939132571,1.9942041758595182e-17,2.3272780369259856,1.4933883119057803,1.0
1426,KIF4B_code_potential_somatic,ENSG00000116035,1426,1.0,2.365706428987188,-0.3587185701565507,4.383513563256642e-18,-2.8926933899757756,1.5951324963126214,1.0
1552,KIF4B_code_potential_somatic,ENSG00000182568,1552,1.0,1.627870601668677,0.28307759527840387,1.477471382374854e-11,3.662402690529847,2.174981789592826,1.0
1569,KIF4B_code_potential_somatic,ENSG00000182568,1569,1.0,1.627870601668677,0.299884707686113,7.513122910910073e-13,4.127409522615968,2.2931792486343854,1.0
1565,KIF4B_code_potential_somatic,ENSG00000182568,1565,1.0,1.627870601668677,0.6586203409009456,1.8979495177804281e-69,3.123291049708139,1.7225866990024656,1.0
1566,KIF4B_code_potential_somatic,ENSG00000182568,1566,1.0,1.627870601668677,-0.24212873464953683,9.423878474541465e-09,-2.6839293218871747,1.4339056795996377,1.0
3074,KIF4B_code_potential_somatic,ENSG00000100968,3074,-1.0,1.7236464838026908,-0.26343400464800626,3.7588970020749597e-10,3.7796822891737407,2.1130349643153172,1.0
1236,KIF4B_code_potential_somatic,ENSG00000110777,1236,-1.0,1.3084224730725793,0.3683191597506944,4.753848317408781e-19,-2.6143142604132747,1.474786430606881,1.0
