,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
514,KLHL13_code_potential_somatic,ENSG00000120690,514,1.0,1.3762362245103283,0.720242482100378,9.169289141148163e-89,6.932046333080919,3.384551785673113,1.0
515,KLHL13_code_potential_somatic,ENSG00000120690,515,1.0,1.3762362245103283,0.5845918979494944,1.5342715639809988e-51,3.90043115123936,1.6285827190372835,1.0
2102,KLHL13_code_potential_somatic,ENSG00000105856,2102,1.0,1.6228832856625357,0.1128094930689347,0.008212297692751785,3.528235086419644,1.5495288300048906,1.0
2103,KLHL13_code_potential_somatic,ENSG00000105856,2103,1.0,1.6228832856625357,0.24667567508641092,4.856576332122605e-09,3.602577217436881,1.5252649564488339,1.0
2094,KLHL13_code_potential_somatic,ENSG00000105856,2094,1.0,1.6228832856625357,0.2907389084469941,3.89407002302842e-12,3.2913759909384432,1.5575703050789573,1.0
1692,KLHL13_code_potential_somatic,ENSG00000105997,1692,-1.0,1.8264046444978994,-0.19580218237023253,3.876084948608755e-06,3.2528907637014672,1.436895493134986,1.0
1686,KLHL13_code_potential_somatic,ENSG00000105997,1686,-1.0,1.8264046444978994,-0.2283242099083921,6.507116912163731e-08,6.734594042293245,2.9573123460583965,1.0
2684,KLHL13_code_potential_somatic,ENSG00000102034,2684,1.0,2.6943099011651874,0.4983912324900616,9.518575163682427e-36,7.831691408899213,2.816112887898404,0.8333333333333334
2680,KLHL13_code_potential_somatic,ENSG00000102034,2680,1.0,2.6943099011651874,0.6020812519880698,2.3705961429946867e-55,4.882918115777192,2.056386003102784,0.8333333333333334
2682,KLHL13_code_potential_somatic,ENSG00000102034,2682,1.0,2.6943099011651874,0.6909881364892289,5.475214196736149e-79,3.9144146709620684,1.88085338891294,0.8333333333333334
2688,KLHL13_code_potential_somatic,ENSG00000102034,2688,1.0,2.6943099011651874,0.5968003811916459,3.550642509905138e-54,3.0892531882670644,1.3317279731476073,0.8333333333333334
2693,KLHL13_code_potential_somatic,ENSG00000102034,2693,1.0,2.6943099011651874,0.5151152904018638,1.8199173483127427e-38,3.5647925082861747,1.4923397192508405,0.8333333333333334
68,KLHL13_code_potential_somatic,ENSG00000166888,68,1.0,1.3253052098059068,0.19233960561147112,5.769053155519461e-06,4.516817166492684,1.8912610880893819,1.0
64,KLHL13_code_potential_somatic,ENSG00000166888,64,1.0,1.3253052098059068,0.45420359014038164,3.0126871941239254e-29,3.695570396177141,1.5246846588262903,1.0
72,KLHL13_code_potential_somatic,ENSG00000166888,72,1.0,1.3253052098059068,0.554509069926965,1.6805051009123327e-45,2.939779149860177,1.3374095702832014,1.0
45,KLHL13_code_potential_somatic,ENSG00000125347,45,1.0,1.5402508893606592,0.37893216902023846,3.733769735246608e-20,7.600791186774279,2.7623068700155313,1.0
39,KLHL13_code_potential_somatic,ENSG00000125347,39,1.0,1.5402508893606592,0.48126647560416536,4.081585598377184e-33,5.753590895973967,2.4464970000362776,1.0
3398,KLHL13_code_potential_somatic,ENSG00000120149,3398,-1.0,1.6488968859556372,0.19005162450158916,7.473825507774001e-06,-5.1415507419196995,2.1342995107946368,1.0
3585,KLHL13_code_potential_somatic,ENSG00000123268,3585,1.0,1.3546573541254567,0.624735294724591,1.1859621350669256e-60,5.762455294321978,2.3872878602377763,1.0
411,KLHL13_code_potential_somatic,ENSG00000109320,411,1.0,2.353929799923499,0.7727425956718023,7.149457807593363e-110,5.1279719168820215,2.092290394988184,1.0
418,KLHL13_code_potential_somatic,ENSG00000109320,418,1.0,2.353929799923499,0.6785677123040037,3.5024457586996866e-75,3.727568848069122,1.5424612793351953,1.0
421,KLHL13_code_potential_somatic,ENSG00000109320,421,1.0,2.353929799923499,0.4586968621546253,7.251386700201355e-30,3.5647925082861747,1.4923397192508405,1.0
3123,KLHL13_code_potential_somatic,ENSG00000156273,3123,1.0,2.0784114935159455,0.46269953478373704,2.0027759435185932e-30,4.414121559629681,2.0120642332701903,1.0
3118,KLHL13_code_potential_somatic,ENSG00000156273,3118,1.0,2.0784114935159455,0.5138656672089656,2.940531147238543e-38,3.9512483581467985,1.963082593924275,1.0
3122,KLHL13_code_potential_somatic,ENSG00000156273,3122,1.0,2.0784114935159455,0.33185934760636293,1.4861951882079704e-15,3.168781238815318,1.3689825869727736,1.0
3116,KLHL13_code_potential_somatic,ENSG00000156273,3116,1.0,2.0784114935159455,0.5950714595776515,8.519642508183082e-54,5.557517604021113,2.678029178534893,1.0
