,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2418,KRTAP4-11_code_potential_somatic,ENSG00000198815,2418,1.0,1.6158347016475743,0.5605588720355945,1.1486430183478801e-46,3.9214560257618527,2.7891388457187167,1.0
2207,KRTAP4-11_code_potential_somatic,ENSG00000169083,2207,1.0,1.7330108068066905,0.40309790760966463,7.948869748237142e-23,2.5345867826938018,1.608486207558601,1.0
2599,KRTAP4-11_code_potential_somatic,ENSG00000087903,2599,1.0,1.8333630077265202,0.3299908698054381,2.183250779018185e-15,2.506090858143306,1.5795833639483126,1.0
1484,KRTAP4-11_code_potential_somatic,ENSG00000129194,1484,1.0,1.8333630077265202,0.31388042602518906,5.3988512870859237e-14,2.2140168366975987,1.335823292469396,1.0
1487,KRTAP4-11_code_potential_somatic,ENSG00000129194,1487,1.0,1.8333630077265202,-0.3026482668563146,4.5170402107734806e-13,-2.5041805778764936,1.6089961751008977,1.0
3546,KRTAP4-11_code_potential_somatic,ENSG00000167157,3546,-1.0,1.73324781985016,-0.3975925483668274,3.377087300505444e-22,2.830271798621941,1.8524631917001668,1.0
3552,KRTAP4-11_code_potential_somatic,ENSG00000167157,3552,-1.0,1.73324781985016,-0.3878530493662969,4.0877649762604634e-21,2.9928654725620154,2.00366849617605,1.0
2571,KRTAP4-11_code_potential_somatic,ENSG00000175745,2571,1.0,1.442341133634101,-0.22355851247174663,1.2332456093366572e-07,-2.623551884128423,1.6897721745048302,1.0
1476,KRTAP4-11_code_potential_somatic,ENSG00000087510,1476,-1.0,1.4629331052307244,0.22488433575678962,1.0337572531428442e-07,-2.7887687541456523,1.8645808625977722,1.0
841,KRTAP4-11_code_potential_somatic,ENSG00000113580,841,1.0,1.9206570817694288,0.5383941051654617,1.643079127810912e-42,2.3007709740413604,1.4018159089108146,1.0
849,KRTAP4-11_code_potential_somatic,ENSG00000113580,849,1.0,1.9206570817694288,0.36114101399921844,2.520312311746452e-18,2.327189893891912,1.4324879833735233,1.0
