,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1596,LAMC3_code_potential_somatic,ENSG00000185811,1596,-1.0,1.398026687698516,0.29259323995173636,2.8027125371516682e-12,-3.9941440368975765,2.1515011213353126,1.0
1594,LAMC3_code_potential_somatic,ENSG00000185811,1594,-1.0,1.398026687698516,0.4067356203810794,3.010990387751692e-23,-2.7208099702029145,1.3024708643561023,1.0
1589,LAMC3_code_potential_somatic,ENSG00000185811,1589,-1.0,1.398026687698516,0.48857770440176596,3.2002803666066633e-34,-3.7151421289188677,1.8054557344266722,1.0
1586,LAMC3_code_potential_somatic,ENSG00000185811,1586,-1.0,1.398026687698516,0.6233205921872924,2.6175272440063035e-60,-3.7166294686221417,1.8107012291959887,1.0
1591,LAMC3_code_potential_somatic,ENSG00000185811,1591,-1.0,1.398026687698516,0.5045122674274166,1.0023071857987585e-36,-5.467170281862212,2.4702163576356604,1.0
1584,LAMC3_code_potential_somatic,ENSG00000185811,1584,-1.0,1.398026687698516,-0.32656126800982105,4.392501871817817e-15,3.3566347946623205,1.6391296257629286,1.0
220,LAMC3_code_potential_somatic,ENSG00000136826,220,-1.0,1.6189833249639298,0.3135864164055618,5.714192364183687e-14,-6.72358242049185,4.044018303082081,1.0
217,LAMC3_code_potential_somatic,ENSG00000136826,217,-1.0,1.6189833249639298,0.364986254394011,1.036738802997792e-18,-4.918260183972299,2.3918126792739187,1.0
212,LAMC3_code_potential_somatic,ENSG00000136826,212,-1.0,1.6189833249639298,0.3056008322105622,2.607135085015725e-13,-3.2935607411329575,1.6256724526990036,1.0
219,LAMC3_code_potential_somatic,ENSG00000136826,219,-1.0,1.6189833249639298,0.3356352419822404,6.776890313338612e-16,-6.48026977072532,3.313523070807537,1.0
1239,LAMC3_code_potential_somatic,ENSG00000151702,1239,-1.0,1.3105433562410753,0.42951808454482876,5.218396625533201e-26,-3.0565357176159047,1.5729018698338935,1.0
636,LAMC3_code_potential_somatic,ENSG00000115844,636,1.0,1.9789534774978186,-0.2767374295027716,4.3205118507878994e-11,-2.712944339203918,1.3136773491436162,1.0
1573,LAMC3_code_potential_somatic,ENSG00000105866,1573,1.0,4.319599905992408,0.2605493998506764,5.915990779892945e-10,2.915133133943554,1.401279967750731,1.0
3646,LAMC3_code_potential_somatic,ENSG00000198353,3646,1.0,4.319599905992408,0.27271791257253536,8.410853905558882e-11,3.39940163460538,1.6902195520924759,1.0
