,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1037,LBP_code_potential_somatic,ENSG00000137203,1037,-1.0,4.2613236001672155,0.188860127183953,8.542161780917127e-06,-7.774767116113657,2.2544207067281,1.0
2362,LBP_code_potential_somatic,ENSG00000148516,2362,-1.0,2.061150705932878,0.37068159698850156,2.720307180574248e-19,-6.756540608887755,2.9926204650318047,1.0
961,LBP_code_potential_somatic,ENSG00000101412,961,-1.0,1.5342796127240543,0.49108575521205333,1.3174129972347378e-34,-3.57303818581078,1.319504926613321,1.0
965,LBP_code_potential_somatic,ENSG00000101412,965,-1.0,1.5342796127240543,0.6201656764623934,1.50771877898473e-59,-4.47782972123851,1.6579942955744118,1.0
639,LBP_code_potential_somatic,ENSG00000115844,639,-1.0,1.4400335470757442,0.24863172866937241,3.6366861171739948e-09,-5.723733951084891,2.03028261449196,1.0
1545,LBP_code_potential_somatic,ENSG00000164048,1545,-1.0,1.4386308280550053,0.2715641873240874,1.0162624710567647e-10,-4.283693818273667,1.484324465590838,1.0
2460,LBP_code_potential_somatic,ENSG00000071794,2460,-1.0,2.020859177915038,0.32226064813224775,1.042382829558717e-14,-10.946834250175728,21.947639903689918,1.0
2459,LBP_code_potential_somatic,ENSG00000071794,2459,-1.0,2.020859177915038,0.2560222204770262,1.1922324735613492e-09,-2.8543910014986094,1.84412534521753,1.0
3005,LBP_code_potential_somatic,ENSG00000077463,3005,-1.0,1.4840713832598071,0.12154614350454947,0.004380226965715431,-8.698209423829601,3.720260585307375,1.0
835,LBP_code_potential_somatic,ENSG00000152284,835,-1.0,2.5008878393557583,0.5134336947420332,3.4694159806059647e-38,-9.73961174434508,3.3747938488247136,1.0
3288,LBP_code_potential_somatic,ENSG00000275746,3288,-1.0,5.247482206857133,0.15079536091904844,0.0003967388490957721,-4.534439737787978,2.2846813651852624,1.0
1778,LBP_code_potential_somatic,ENSG00000197063,1778,-1.0,1.7579010739761267,0.09991893588935032,0.019306536740503023,-4.2606985133804764,1.6554040740867018,1.0
1104,LBP_code_potential_somatic,ENSG00000176887,1104,-1.0,1.606117889539738,0.6051891968673684,4.707148290550106e-56,-3.9962881055845227,1.3552334902690537,1.0
3256,LBP_code_potential_somatic,ENSG00000184481,3256,-1.0,1.5842843396360737,0.2812222429069268,2.028264772595174e-11,-4.010685387501198,1.4055747040807591,1.0
3264,LBP_code_potential_somatic,ENSG00000184481,3264,-1.0,1.5842843396360737,0.25129859717597636,2.44176272655712e-09,-12.519962396603258,14.130297441919698,1.0
3261,LBP_code_potential_somatic,ENSG00000184481,3261,-1.0,1.5842843396360737,-0.216595909664086,3.0602078586550607e-07,4.332597820601991,1.6009866799326702,1.0
3263,LBP_code_potential_somatic,ENSG00000184481,3263,-1.0,1.5842843396360737,0.29736046884617345,1.1901386312555334e-12,-6.257710656544529,2.4324043842739953,1.0
3577,LBP_code_potential_somatic,ENSG00000134138,3577,-1.0,1.3636195838698768,0.6019454657365405,2.5430605829568647e-55,-3.9878589696075215,1.3859678581816621,1.0
193,LBP_code_potential_somatic,ENSG00000125820,193,-1.0,1.5225652619485124,0.48643512388254295,6.791520817291902e-34,-4.9946718202609,1.6675779534195685,1.0
196,LBP_code_potential_somatic,ENSG00000125820,196,-1.0,1.5225652619485124,0.6110351173052444,2.1427077529094173e-57,-4.762424194586769,2.0916082710673303,1.0
192,LBP_code_potential_somatic,ENSG00000125820,192,-1.0,1.5225652619485124,0.3581231131739425,5.0187136753240924e-18,-5.64015801095955,1.7022624351592535,1.0
199,LBP_code_potential_somatic,ENSG00000125820,199,-1.0,1.5225652619485124,0.12462449422433708,0.003476546262367276,-3.565509600505888,2.531108271383268,1.0
1091,LBP_code_potential_somatic,ENSG00000070444,1091,-1.0,1.601933249100155,0.536417196733489,3.727865465651485e-42,-5.170007863655514,1.9048515784694768,1.0
2168,LBP_code_potential_somatic,ENSG00000124766,2168,-1.0,1.3393148565181883,0.6597120120357272,9.45871801488194e-70,-3.793555907338042,1.3106987386830562,0.75
2174,LBP_code_potential_somatic,ENSG00000124766,2174,-1.0,1.3393148565181883,0.24314187196479,8.139131158477381e-09,-2.86261321906418,2.023157754372083,0.75
2158,LBP_code_potential_somatic,ENSG00000124766,2158,-1.0,1.3393148565181883,0.7488274069467211,1.3197331325854062e-99,-5.167554117781557,1.6896705171309638,0.75
2982,LBP_code_potential_somatic,ENSG00000187079,2982,-1.0,1.468684564107075,0.33557938598803533,6.85661584693099e-16,-3.9008637841945637,1.3564104876819136,1.0
2512,LBP_code_potential_somatic,ENSG00000128652,2512,-1.0,1.6856690405353947,0.1865944325210957,1.0987742459927316e-05,-7.766060375218133,2.9336157924413255,1.0
2513,LBP_code_potential_somatic,ENSG00000128652,2513,-1.0,1.6856690405353947,0.2976693980399551,1.1252597729420222e-12,-4.23904201333225,1.4263859256953406,1.0
1371,LBP_code_potential_somatic,ENSG00000173153,1371,-1.0,1.4189541790601734,0.4110246461293073,9.438912001866733e-24,-3.690328855565657,1.476811192075351,1.0
3433,LBP_code_potential_somatic,ENSG00000172845,3433,-1.0,4.022177426746545,0.43254101678472634,2.1631187477965329e-26,-6.014862536223658,2.420230969219638,1.0
3428,LBP_code_potential_somatic,ENSG00000172845,3428,-1.0,4.022177426746545,0.25719198791702136,9.960560379428747e-10,-4.336856251903458,2.3078575507888925,1.0
1572,LBP_code_potential_somatic,ENSG00000182568,1572,-1.0,1.62321252467616,0.3595929425149213,3.591695306309245e-18,-3.941766059805017,1.485978219374178,1.0
1570,LBP_code_potential_somatic,ENSG00000182568,1570,-1.0,1.62321252467616,0.5369513287929557,2.989233645983186e-42,-3.981510960061746,1.340555041673873,1.0
1559,LBP_code_potential_somatic,ENSG00000182568,1559,-1.0,1.62321252467616,0.4311016676076871,3.2935593248948073e-26,-9.085508593497018,3.1188937752598034,1.0
2594,LBP_code_potential_somatic,ENSG00000185630,2594,-1.0,1.4686799072386325,0.4522632870727573,5.53633587571199e-29,-5.97222098684181,2.3937941773760674,1.0
2588,LBP_code_potential_somatic,ENSG00000185630,2588,-1.0,1.4686799072386325,0.3432166358693049,1.3550368369007922e-16,-5.156945127629322,2.2339774347553694,1.0
2593,LBP_code_potential_somatic,ENSG00000185630,2593,-1.0,1.4686799072386325,0.4626175008496893,2.056643182146867e-30,-3.828370527577474,1.3179536776238303,1.0
1158,LBP_code_potential_somatic,ENSG00000162702,1158,-1.0,1.3861794790421778,0.3524230308410404,1.806924640884381e-17,-9.199799157515924,5.994132787149007,1.0
1153,LBP_code_potential_somatic,ENSG00000162702,1153,-1.0,1.3861794790421778,0.5253982528740864,3.2518881955657156e-40,-7.6973075604633,3.0950233271746384,1.0
1175,LBP_code_potential_somatic,ENSG00000162702,1175,-1.0,1.3861794790421778,0.2678348882227491,1.8618615356228404e-10,-7.207158792796132,6.677860177655491,1.0
