,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
885,LINGO2_code_potential_somatic,ENSG00000139083,885,-1.0,2.0609812841306123,0.3774455682971878,5.362641469225887e-20,-12.963956698408872,9.715626354728078,1.0
2728,LINGO2_code_potential_somatic,ENSG00000130726,2728,-1.0,1.7177438959843938,0.4123955972351137,6.4915270866524605e-24,-5.533366584663713,1.7805060608765264,1.0
2722,LINGO2_code_potential_somatic,ENSG00000130726,2722,-1.0,1.7177438959843938,0.32474915663646875,6.332640457795363e-15,-4.7285602610017685,1.5645825283839077,1.0
2297,LINGO2_code_potential_somatic,ENSG00000118689,2297,-1.0,1.783299728845383,0.35153217877680776,2.2022956862609567e-17,-6.211387926952496,1.834664915781706,1.0
2289,LINGO2_code_potential_somatic,ENSG00000118689,2289,-1.0,1.783299728845383,0.6409212826432166,1.0255208479425349e-64,-6.478560279054858,2.7212496290016457,1.0
1771,LINGO2_code_potential_somatic,ENSG00000116017,1771,-1.0,1.3688074098665552,0.46214119359884476,2.3989609470655692e-30,-5.261692718269997,1.6733652843443312,1.0
1765,LINGO2_code_potential_somatic,ENSG00000116017,1765,-1.0,1.3688074098665552,0.2838979346188817,1.283365584896435e-11,-6.836229218874159,2.1435258947943057,1.0
1763,LINGO2_code_potential_somatic,ENSG00000116017,1763,-1.0,1.3688074098665552,0.10612682650377135,0.012929118521684267,-3.8905323400589062,1.4762401853297011,1.0
1768,LINGO2_code_potential_somatic,ENSG00000116017,1768,-1.0,1.3688074098665552,0.33234491557687323,1.3442560533141814e-15,-3.699031722830845,1.4617858701239377,1.0
775,LINGO2_code_potential_somatic,ENSG00000115415,775,-1.0,1.532460568468296,0.35632084587267593,7.54602682769132e-18,-3.701233680575309,1.3708854114361815,0.6666666666666666
782,LINGO2_code_potential_somatic,ENSG00000115415,782,-1.0,1.532460568468296,0.30686422771395055,2.0568397797644438e-13,-4.464786415805579,1.6705249625436676,0.6666666666666666
3431,LINGO2_code_potential_somatic,ENSG00000172845,3431,-1.0,3.5035421933853215,0.27490242154693834,5.864053379715429e-11,-3.977182267007218,1.3251484333841337,1.0
3430,LINGO2_code_potential_somatic,ENSG00000172845,3430,-1.0,3.5035421933853215,0.24815855693778482,3.901149788782828e-09,-4.380493531623527,1.4683627350980015,1.0
809,LINGO2_code_potential_somatic,ENSG00000126561,809,-1.0,3.8366938106581916,0.520453684844001,2.2912884763666564e-39,-4.464786415805579,1.6705249625436676,1.0
810,LINGO2_code_potential_somatic,ENSG00000126561,810,-1.0,3.8366938106581916,0.5407267856545183,6.205581202352399e-43,-4.777342789291686,1.5768695237380699,1.0
795,LINGO2_code_potential_somatic,ENSG00000126561,795,-1.0,3.8366938106581916,0.5945296710176737,1.119601462237606e-53,-13.88573143841035,14.803008162704309,1.0
811,LINGO2_code_potential_somatic,ENSG00000126561,811,-1.0,3.8366938106581916,0.4894512746505592,2.3512004949770813e-34,-5.8874872748784455,1.749187327728333,1.0
