,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2502,LMO7_code_potential_somatic,ENSG00000184058,2502,-1.0,1.530235144801753,0.3455937492616955,8.10554305993789e-17,-2.9791893382444004,1.3083360950665988,1.0
2281,LMO7_code_potential_somatic,ENSG00000118689,2281,1.0,2.473079151227883,0.6482331677122894,1.2416596535060004e-66,3.2083705701508753,1.6574735254252762,1.0
2289,LMO7_code_potential_somatic,ENSG00000118689,2289,1.0,2.473079151227883,0.6409212826432166,1.0255208479425349e-64,2.828353232050744,1.3212186054564734,1.0
2298,LMO7_code_potential_somatic,ENSG00000118689,2298,1.0,2.473079151227883,0.21912824251885157,2.2064496921916e-07,6.924208777363403,4.886520375030529,1.0
2710,LMO7_code_potential_somatic,ENSG00000065970,2710,1.0,1.3181657459376857,0.5400250126933841,8.324348036105775e-43,6.958607191276722,9.11846983857937,1.0
2705,LMO7_code_potential_somatic,ENSG00000065970,2705,1.0,1.3181657459376857,0.4718834706873066,9.800689949895056e-32,4.771891356020452,3.618376295152501,1.0
2704,LMO7_code_potential_somatic,ENSG00000065970,2704,1.0,1.3181657459376857,0.21670732997628606,3.0167299708769305e-07,3.7103483225269267,1.4143043604767498,1.0
2702,LMO7_code_potential_somatic,ENSG00000065970,2702,1.0,1.3181657459376857,0.2055092969239754,1.223799261818669e-06,6.474744344251517,2.3187371832875883,1.0
956,LMO7_code_potential_somatic,ENSG00000129173,956,1.0,1.3322479912256722,0.7719811749257338,1.5861341031969156e-109,2.616083857009788,1.3595577602832916,1.0
916,LMO7_code_potential_somatic,ENSG00000101057,916,1.0,1.46970661420045,0.8137042900539069,9.46897652452271e-131,2.638045063294091,2.035433293077927,1.0
685,LMO7_code_potential_somatic,ENSG00000188786,685,1.0,1.9768207346366782,0.34624277654751184,7.039104933911641e-17,4.148790215138287,1.6717990563244374,1.0
692,LMO7_code_potential_somatic,ENSG00000188786,692,1.0,1.9768207346366782,0.5669748007067607,6.27984484898827e-48,6.958607191276722,9.11846983857937,1.0
698,LMO7_code_potential_somatic,ENSG00000188786,698,1.0,1.9768207346366782,0.28137223739789236,1.9771428606531645e-11,3.454767328700052,1.3290494803201565,1.0
1197,LMO7_code_potential_somatic,ENSG00000100811,1197,1.0,1.412539750410372,0.485409298652157,9.718661584604942e-34,3.7117181701588953,1.5004773230372916,1.0
