,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2200,LOC440040_code_potential_somatic,ENSG00000169083,2200,1.0,2.8013094525884945,0.4223688818818541,4.044150961655349e-25,9.149164782013735,3.410503630360152,1.0
2203,LOC440040_code_potential_somatic,ENSG00000169083,2203,1.0,2.8013094525884945,0.4748926212262841,3.574342057785658e-32,4.098674346655117,1.3494263033013931,1.0
1590,LOC440040_code_potential_somatic,ENSG00000185811,1590,1.0,2.8618639480605657,0.5350057755535523,6.668825680741697e-42,6.898350260374729,2.1773870043194115,0.6666666666666666
1597,LOC440040_code_potential_somatic,ENSG00000185811,1597,1.0,2.8618639480605657,0.21535191062865922,3.5884866081187396e-07,5.025119576171886,1.7208759272843068,0.6666666666666666
2609,LOC440040_code_potential_somatic,ENSG00000196482,2609,1.0,2.5800910011927076,0.2638286425600655,3.531246385503076e-10,4.135070802664217,1.526216967367324,1.0
2607,LOC440040_code_potential_somatic,ENSG00000196482,2607,1.0,2.5800910011927076,0.4543449801831537,2.881577974829384e-29,4.112654927009001,1.3870661399130533,1.0
2614,LOC440040_code_potential_somatic,ENSG00000196482,2614,1.0,2.5800910011927076,0.028833287139113584,0.5005855220951068,12.192607235331714,4.149091414448989,1.0
73,LOC440040_code_potential_somatic,ENSG00000213928,73,1.0,2.946654863973728,0.2790187020598247,2.945960681855052e-11,3.8617782507255813,3.193868362653656,1.0
83,LOC440040_code_potential_somatic,ENSG00000213928,83,1.0,2.946654863973728,0.4298628458249869,4.7218587520052576e-26,13.766571025580573,4.811948487143259,1.0
221,LOC440040_code_potential_somatic,ENSG00000020633,221,1.0,3.478931330015911,0.6379715611320159,5.8828214436437776e-64,4.7164419864668705,5.366676850343035,1.0
289,LOC440040_code_potential_somatic,ENSG00000072310,289,1.0,3.1096688249708175,0.17706306411546235,3.0666995784152585e-05,5.776520820868632,1.9839609453993527,1.0
281,LOC440040_code_potential_somatic,ENSG00000072310,281,1.0,3.1096688249708175,0.2947514251481916,1.9056185623133723e-12,3.48704948736316,3.0560207433530477,1.0
1454,LOC440040_code_potential_somatic,ENSG00000007372,1454,1.0,2.1204543932232163,0.22650342132548315,8.321380709547795e-08,5.506691558163529,1.8540771052375764,1.0
344,LOC440040_code_potential_somatic,ENSG00000159216,344,1.0,3.0555344839888843,0.46056329822208036,3.988216844167444e-30,4.419360576477297,4.067339573259696,1.0
348,LOC440040_code_potential_somatic,ENSG00000159216,348,1.0,3.0555344839888843,0.3131232345841649,6.247962558606434e-14,5.542904348351969,2.110644610087539,1.0
