,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2946,LRP2_code_potential_somatic,ENSG00000100644,2946,1.0,1.527075644984767,0.4403489701678677,2.1341629499025122e-27,2.738755406103239,1.8851055624460824,1.0
80,LRP2_code_potential_somatic,ENSG00000213928,80,1.0,1.8887108697362274,0.3026300370931928,4.532306656935337e-13,2.180870777039515,1.3809956835200277,1.0
83,LRP2_code_potential_somatic,ENSG00000213928,83,1.0,1.8887108697362274,0.4298628458249869,4.7218587520052576e-26,2.2150199327610696,1.4116931543852451,1.0
81,LRP2_code_potential_somatic,ENSG00000213928,81,1.0,1.8887108697362274,0.27612746162871854,4.783468584944775e-11,2.3899377526698777,1.5632963998453329,1.0
2102,LRP2_code_potential_somatic,ENSG00000105856,2102,1.0,1.4789789631038381,0.1128094930689347,0.008212297692751785,2.288079777316256,1.4606486047660063,1.0
2098,LRP2_code_potential_somatic,ENSG00000105856,2098,1.0,1.4789789631038381,0.38110100039835687,2.1943428122448814e-20,2.1499165506468976,1.3485074125156757,1.0
2680,LRP2_code_potential_somatic,ENSG00000102034,2680,1.0,1.3048740851960083,0.6020812519880698,2.3705961429946867e-55,2.195328427992332,1.3885191177790575,1.0
2692,LRP2_code_potential_somatic,ENSG00000102034,2692,1.0,1.3048740851960083,0.5753680493535116,1.2716446576833584e-49,2.568284096122707,1.7165913564052742,1.0
2685,LRP2_code_potential_somatic,ENSG00000102034,2685,1.0,1.3048740851960083,0.4445374486465286,6.008913461312989e-28,2.481669837569591,1.643100754450593,1.0
2270,LRP2_code_potential_somatic,ENSG00000165030,2270,1.0,1.489399562508784,0.21792216139071804,2.579673791628369e-07,2.130485088024168,1.336560045052623,1.0
1837,LRP2_code_potential_somatic,ENSG00000112658,1837,1.0,1.5617092623385471,0.22320128203361322,1.2930528216777954e-07,2.417769506538932,1.5774670048491994,1.0
1839,LRP2_code_potential_somatic,ENSG00000112658,1839,1.0,1.5617092623385471,0.43930433182194023,2.919581539654522e-27,2.568284096122707,1.7165913564052742,1.0
1829,LRP2_code_potential_somatic,ENSG00000112658,1829,1.0,1.5617092623385471,0.20757429157135235,9.506884319138885e-07,2.178337140456596,1.3727792845084414,1.0
544,LRP2_code_potential_somatic,ENSG00000169136,544,1.0,1.332653086943615,0.2682190257912502,1.7500464503553056e-10,2.1251355038606983,1.3419245378988236,1.0
539,LRP2_code_potential_somatic,ENSG00000169136,539,1.0,1.332653086943615,0.25295954735352333,1.9008394647622057e-09,2.2727289117260208,1.4622338541369044,1.0
537,LRP2_code_potential_somatic,ENSG00000169136,537,1.0,1.332653086943615,0.34194784435603254,1.7794577420851276e-16,2.3182616348684664,1.5178824775288808,1.0
543,LRP2_code_potential_somatic,ENSG00000169136,543,1.0,1.332653086943615,0.2887632396389136,5.5135469046271824e-12,2.119609924716202,1.3167673192155935,1.0
546,LRP2_code_potential_somatic,ENSG00000169136,546,1.0,1.332653086943615,0.2601569495101918,6.289856342896742e-10,2.643008814731895,1.7805567631563288,1.0
394,LRP2_code_potential_somatic,ENSG00000168610,394,1.0,1.54382052043653,0.7253796790311073,1.3043827865767566e-90,2.318672868858805,1.5077997016862321,1.0
391,LRP2_code_potential_somatic,ENSG00000168610,391,1.0,1.54382052043653,0.579698128607226,1.6269067934269407e-50,2.3204418644487297,1.5062215883402128,1.0
390,LRP2_code_potential_somatic,ENSG00000168610,390,1.0,1.54382052043653,0.4318538719662096,2.644574074210169e-26,2.5557681417217735,1.7108446131474515,1.0
851,LRP2_code_potential_somatic,ENSG00000113580,851,1.0,1.5278333370960568,-0.33467030416068094,8.291506310731383e-16,-2.183318174360912,1.4344649787486103,1.0
1515,LRP2_code_potential_somatic,ENSG00000177426,1515,1.0,1.4979800918838806,0.38089835835149566,2.3064622756032745e-20,2.326764069702927,1.5126966687429217,1.0
3120,LRP2_code_potential_somatic,ENSG00000156273,3120,1.0,1.530307728266464,0.4947376142796506,3.570469976317986e-35,2.300922377835602,1.4872829377928605,1.0
