,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2521,LRRC55_code_potential_somatic,ENSG00000112333,2521,1.0,1.7106176657380803,-0.22798156343844547,6.816424123189805e-08,-4.120121546826957,2.1957015231583483,1.0
2525,LRRC55_code_potential_somatic,ENSG00000112333,2525,1.0,1.7106176657380803,0.4068991778158076,2.8815856743790265e-23,3.6246702387589327,1.7614206384180462,1.0
3523,LRRC55_code_potential_somatic,ENSG00000153234,3523,-1.0,1.6099063158927165,0.12843859818371767,0.0025928454275054203,-4.111729629146848,2.1692724374200583,1.0
3105,LRRC55_code_potential_somatic,ENSG00000184486,3105,1.0,1.315571314364004,-0.3063553985656969,2.2632284740381152e-13,-5.467975768630952,3.3919935292589702,1.0
3106,LRRC55_code_potential_somatic,ENSG00000184486,3106,1.0,1.315571314364004,0.2625784454051773,4.302577963020011e-10,3.669835461448328,1.8189684197376312,1.0
1645,LRRC55_code_potential_somatic,ENSG00000138795,1645,-1.0,1.463747172777388,0.29710714805783384,1.2460582843776055e-12,-3.1991092133597006,1.6850175384813528,1.0
1655,LRRC55_code_potential_somatic,ENSG00000138795,1655,-1.0,1.463747172777388,0.3996212730251935,1.9879396579161653e-22,-4.6386510172445625,2.4851628601518154,1.0
1646,LRRC55_code_potential_somatic,ENSG00000138795,1646,-1.0,1.463747172777388,0.4449703609573309,5.265831785172236e-28,-3.1114667422472335,1.6142818427466488,1.0
3717,LRRC55_code_potential_somatic,ENSG00000163435,3717,-1.0,1.7668321423182616,0.32730183390687817,3.779874815497097e-15,-4.890103385399766,3.162003158705652,1.0
1479,LRRC55_code_potential_somatic,ENSG00000087510,1479,-1.0,2.1607034917823476,0.15526243868235676,0.0002638283067216797,-2.411330736015994,1.3512723251995458,1.0
3758,LRRC55_code_potential_somatic,ENSG00000135373,3758,-1.0,1.6791402349608557,-0.07318378082806833,0.08697554691999376,3.9532353102133397,1.9886285710118292,1.0
