,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2811,MACF1_code_potential_somatic,ENSG00000277615,2811,-1.0,1.5621902941076704,0.24881767225321408,3.537595533144135e-09,-4.185424062200332,2.5171997977784852,1.0
885,MACF1_code_potential_somatic,ENSG00000139083,885,-1.0,1.9049944401890593,0.3774455682971878,5.362641469225887e-20,-3.8926857550936007,2.357244006378389,1.0
888,MACF1_code_potential_somatic,ENSG00000139083,888,-1.0,1.9049944401890593,0.2889669754715621,5.319994671720451e-12,-2.582228476912118,1.4850250527470958,1.0
889,MACF1_code_potential_somatic,ENSG00000139083,889,-1.0,1.9049944401890593,0.37569040670382775,8.203038178775998e-20,-2.3531294630405823,1.344313315870981,1.0
1396,MACF1_code_potential_somatic,ENSG00000125398,1396,-1.0,1.518045666413733,0.3393591450736945,3.0906595458958634e-16,-3.771534969383087,2.3275109209992646,1.0
1399,MACF1_code_potential_somatic,ENSG00000125398,1399,-1.0,1.518045666413733,0.4607348038335296,3.774330828148208e-30,-2.5143216565020063,1.44028971241615,1.0
1401,MACF1_code_potential_somatic,ENSG00000125398,1401,-1.0,1.518045666413733,0.3077216828521442,1.749994526371816e-13,-3.3175826075793853,2.038931649159083,1.0
2108,MACF1_code_potential_somatic,ENSG00000069667,2108,-1.0,2.5047459868334037,0.4641315191364751,1.2586947641370024e-30,-4.273429979878241,2.5799836561751857,1.0
2112,MACF1_code_potential_somatic,ENSG00000069667,2112,-1.0,2.5047459868334037,0.4309491209498844,3.443222759773247e-26,-2.664757766003551,1.5636051353684706,1.0
2106,MACF1_code_potential_somatic,ENSG00000069667,2106,-1.0,2.5047459868334037,0.32262867059014927,9.685985105170462e-15,-2.678363359034489,1.5323630610687609,1.0
2644,MACF1_code_potential_somatic,ENSG00000126767,2644,-1.0,1.3463006714861554,0.22379061381581247,1.1958274683045791e-07,-2.884554913162124,1.6983677463541629,1.0
2635,MACF1_code_potential_somatic,ENSG00000126767,2635,-1.0,1.3463006714861554,0.21146284588332206,5.867884816022567e-07,-2.9628058188131203,1.7415833895282549,1.0
3464,MACF1_code_potential_somatic,ENSG00000150347,3464,-1.0,1.438383232337591,0.437452844160245,5.074229972271124e-27,-2.9331910089720736,1.7159128801466612,1.0
3463,MACF1_code_potential_somatic,ENSG00000150347,3463,-1.0,1.438383232337591,0.4458585150166216,4.014154139911832e-28,-2.299056608059691,1.3037324028283768,1.0
258,MACF1_code_potential_somatic,ENSG00000177606,258,-1.0,1.426936632088903,0.22629086228748382,8.562599700979042e-08,-2.9982312650170106,1.74770042760929,1.0
255,MACF1_code_potential_somatic,ENSG00000177606,255,-1.0,1.426936632088903,0.46501566264787897,9.438461489358275e-31,-2.7397998149208003,1.57874112526244,1.0
251,MACF1_code_potential_somatic,ENSG00000177606,251,-1.0,1.426936632088903,0.7020705437872713,1.4989788859365892e-82,-3.0798241332813947,1.858675798449407,1.0
236,MACF1_code_potential_somatic,ENSG00000177606,236,-1.0,1.426936632088903,0.5406569292022357,6.389904688620846e-43,-3.8355914088428205,2.3845528484319605,1.0
250,MACF1_code_potential_somatic,ENSG00000177606,250,-1.0,1.426936632088903,0.5698915628062372,1.6402869014388916e-48,-2.4402105716618485,1.3859269636463352,1.0
243,MACF1_code_potential_somatic,ENSG00000177606,243,-1.0,1.426936632088903,0.5406951387857389,6.28842195941703e-43,-4.149983640572655,2.5799403369473617,1.0
3505,MACF1_code_potential_somatic,ENSG00000149948,3505,-1.0,2.3707657281388985,0.30313028389722696,4.131155459913165e-13,-3.8263515387786615,2.2838657912417286,1.0
3193,MACF1_code_potential_somatic,ENSG00000176165,3193,-1.0,1.5504896743997514,0.24634228917844073,5.100758670109762e-09,-3.8582526322786874,2.5314750169332525,1.0
3187,MACF1_code_potential_somatic,ENSG00000176165,3187,-1.0,1.5504896743997514,0.402624881716182,9.010448837223377e-23,-2.341150893205218,1.3066206069668704,1.0
3181,MACF1_code_potential_somatic,ENSG00000176165,3181,-1.0,1.5504896743997514,0.311623581350719,8.333815894908766e-14,-3.699794919244748,2.223764260286854,1.0
3179,MACF1_code_potential_somatic,ENSG00000176165,3179,-1.0,1.5504896743997514,0.5844367991248547,1.654511029519718e-51,-3.707722419617833,2.212482654675723,1.0
381,MACF1_code_potential_somatic,ENSG00000168610,381,-1.0,1.599951124884113,0.6895553864603211,1.539030800573697e-78,-2.8771577161518573,1.7041329348406158,1.0
391,MACF1_code_potential_somatic,ENSG00000168610,391,-1.0,1.599951124884113,0.579698128607226,1.6269067934269407e-50,-2.9815615133554836,1.8587630911519197,1.0
379,MACF1_code_potential_somatic,ENSG00000168610,379,-1.0,1.599951124884113,0.6432120828622232,2.60615784172202e-65,-2.424025249128176,1.382687577485928,1.0
398,MACF1_code_potential_somatic,ENSG00000168610,398,-1.0,1.599951124884113,0.604971544524183,5.274467627653219e-56,-3.623974392613566,2.419216499592132,1.0
2133,MACF1_code_potential_somatic,ENSG00000175592,2133,-1.0,1.8908865529885996,0.6836078772118992,1.0539597238896441e-76,-3.8292875158596082,2.3629585650727565,1.0
2129,MACF1_code_potential_somatic,ENSG00000175592,2129,-1.0,1.8908865529885996,0.5905505512425152,8.195221638736938e-53,-2.7799959726574155,1.6055624341000714,1.0
2477,MACF1_code_potential_somatic,ENSG00000106511,2477,-1.0,1.5297934575636334,0.25498224895045785,1.3978122286738315e-09,-3.323083205089542,1.9974525395697196,1.0
2476,MACF1_code_potential_somatic,ENSG00000106511,2476,-1.0,1.5297934575636334,0.30256995179394364,4.582983422097991e-13,-2.4778406031079125,1.4157148387261194,1.0
2488,MACF1_code_potential_somatic,ENSG00000106511,2488,-1.0,1.5297934575636334,0.4415516970195869,1.4857751504158297e-27,-2.649269396341241,1.5247175729699636,1.0
2479,MACF1_code_potential_somatic,ENSG00000106511,2479,-1.0,1.5297934575636334,0.2148087366066842,3.8457447323519043e-07,-2.8482905078182887,1.6597538556596565,1.0
2474,MACF1_code_potential_somatic,ENSG00000106511,2474,-1.0,1.5297934575636334,0.2722700437521607,9.052790659408268e-11,-4.156968962412472,2.6591445542079715,1.0
2481,MACF1_code_potential_somatic,ENSG00000106511,2481,-1.0,1.5297934575636334,0.38656628338225113,5.647822511674906e-21,-3.2576025829715287,1.9473820753775495,1.0
179,MACF1_code_potential_somatic,ENSG00000007866,179,-1.0,1.618522131048166,0.5166101945064682,1.0224439646203403e-38,-3.1849200020906627,1.9045817013230273,1.0
185,MACF1_code_potential_somatic,ENSG00000007866,185,-1.0,1.618522131048166,0.42703621167438405,1.068239312855163e-25,-3.47450879057736,2.0703493483085116,1.0
180,MACF1_code_potential_somatic,ENSG00000007866,180,-1.0,1.618522131048166,0.5138902409296537,2.9129729113115976e-38,-2.3830019933539823,1.3406009924540592,1.0
