,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1035,MAGEA6_code_potential_somatic,ENSG00000137203,1035,-1.0,4.470863393725458,0.38751189765490146,4.4541864144617496e-21,-12.676584280560602,6.3462108374453985,1.0
1505,MAGEA6_code_potential_somatic,ENSG00000165495,1505,-1.0,5.752301175681535,0.40147655247761804,1.2205230895498734e-22,-3.8336533883235244,1.3754418497805687,1.0
639,MAGEA6_code_potential_somatic,ENSG00000115844,639,-1.0,1.7512485697917748,0.24863172866937241,3.6366861171739948e-09,-4.849081263216087,1.9154935763813903,1.0
3649,MAGEA6_code_potential_somatic,ENSG00000198353,3649,-1.0,1.7679186176053623,0.3031002920626809,4.154193656006295e-13,-8.627929025622347,12.374390606888454,1.0
3363,MAGEA6_code_potential_somatic,ENSG00000105516,3363,1.0,1.4807839228360087,0.40384926552648986,6.51105186434234e-23,3.9367262505088525,1.9907106731835917,1.0
1100,MAGEA6_code_potential_somatic,ENSG00000176887,1100,-1.0,12.866056818898926,0.5747518364116476,1.6996917970202137e-49,-6.4212121771503865,2.182015675091545,1.0
3264,MAGEA6_code_potential_somatic,ENSG00000184481,3264,-1.0,1.5828934376380392,0.25129859717597636,2.44176272655712e-09,-3.9834212875502994,1.3719980079167355,1.0
3259,MAGEA6_code_potential_somatic,ENSG00000184481,3259,-1.0,1.5828934376380392,-0.22017601638403608,1.9249384956311133e-07,5.378768525602808,2.969341389663711,1.0
3266,MAGEA6_code_potential_somatic,ENSG00000184481,3266,-1.0,1.5828934376380392,0.4451406269448879,4.99915639417556e-28,-5.220925929718956,1.983556555419298,1.0
3258,MAGEA6_code_potential_somatic,ENSG00000184481,3258,-1.0,1.5828934376380392,0.3408873825757153,2.2324339101400756e-16,-5.898359274521154,3.2575571780612393,1.0
3265,MAGEA6_code_potential_somatic,ENSG00000184481,3265,-1.0,1.5828934376380392,0.3577604138068726,5.449156345779989e-18,-3.5050917780802817,1.3756032700304115,1.0
3580,MAGEA6_code_potential_somatic,ENSG00000134138,3580,-1.0,1.6425743709199911,0.2290556610815777,5.8915476780693083e-08,-4.462100124120115,4.466766099272528,1.0
3577,MAGEA6_code_potential_somatic,ENSG00000134138,3577,-1.0,1.6425743709199911,0.6019454657365405,2.5430605829568647e-55,-7.881079918535585,11.85371360383497,1.0
2449,MAGEA6_code_potential_somatic,ENSG00000160199,2449,-1.0,1.7335666188425662,0.21198261288944886,5.497555056369843e-07,-3.6037592875364064,1.6362202039540756,1.0
2452,MAGEA6_code_potential_somatic,ENSG00000160199,2452,-1.0,1.7335666188425662,-0.2776344796864656,3.718108094517221e-11,2.3999897130597208,1.3703785767425118,1.0
2173,MAGEA6_code_potential_somatic,ENSG00000124766,2173,-1.0,4.351334407558294,0.22451907515015673,1.0853689322468895e-07,-5.566953969515955,3.732098280198095,1.0
2158,MAGEA6_code_potential_somatic,ENSG00000124766,2158,-1.0,4.351334407558294,0.7488274069467211,1.3197331325854062e-99,-10.949114126675074,8.34242859979925,1.0
1840,MAGEA6_code_potential_somatic,ENSG00000112658,1840,1.0,1.779457842845252,-0.2927077957831933,2.7461294699794085e-12,-8.027094464594896,9.262639885656306,1.0
1839,MAGEA6_code_potential_somatic,ENSG00000112658,1839,1.0,1.779457842845252,0.43930433182194023,2.919581539654522e-27,5.744029045177791,1.9937888847788812,1.0
1552,MAGEA6_code_potential_somatic,ENSG00000182568,1552,-1.0,7.457405722317697,0.28307759527840387,1.477471382374854e-11,-3.886622543172825,1.38460788003943,0.6666666666666666
1569,MAGEA6_code_potential_somatic,ENSG00000182568,1569,-1.0,7.457405722317697,0.299884707686113,7.513122910910073e-13,-5.8479976698995975,2.042733027851762,0.6666666666666666
2590,MAGEA6_code_potential_somatic,ENSG00000185630,2590,-1.0,1.5822203491592752,0.38361437429947587,1.1792833659615527e-20,-4.292327629655946,1.9000385752262583,1.0
2468,MAGEA6_code_potential_somatic,ENSG00000109906,2468,1.0,1.6247311797854538,-0.22289174065580628,1.3471304769441136e-07,-3.206159931311586,1.3351103516971596,1.0
2465,MAGEA6_code_potential_somatic,ENSG00000109906,2465,1.0,1.6247311797854538,-0.2307091005967185,4.7003873834468224e-08,-3.5868880603080937,1.334715475607357,1.0
1119,MAGEA6_code_potential_somatic,ENSG00000165804,1119,1.0,1.526488498411173,0.2661530102771384,2.438999883740879e-10,5.245899464051553,1.7270979640964068,0.25
2134,MAGEA6_code_potential_somatic,ENSG00000175592,2134,1.0,1.3902017808868767,0.4621647464527981,2.3807801320330254e-30,5.669292316531416,1.911075667688657,1.0
2138,MAGEA6_code_potential_somatic,ENSG00000175592,2138,1.0,1.3902017808868767,0.6028789025274255,1.5681961555226815e-55,5.583343405129575,6.923033961090545,1.0
1192,MAGEA6_code_potential_somatic,ENSG00000100811,1192,-1.0,1.9835553955149394,0.24708701146148962,4.570898675457531e-09,-4.358919770449577,1.4758381844459263,0.5
