,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
887,MAGEB6_code_potential_somatic,ENSG00000139083,887,1.0,3.050747583303843,-0.2978660166370652,1.0857836483659426e-12,-4.019175081312744,1.402075050098719,1.0
883,MAGEB6_code_potential_somatic,ENSG00000139083,883,1.0,3.050747583303843,-0.13297430908650876,0.0018109364947324334,-5.522053843840648,1.9528732407852036,1.0
884,MAGEB6_code_potential_somatic,ENSG00000139083,884,1.0,3.050747583303843,-0.21474923465985488,3.8749813925423966e-07,-4.637904300615549,2.1864757733692644,1.0
881,MAGEB6_code_potential_somatic,ENSG00000139083,881,1.0,3.050747583303843,-0.2102080548281273,6.86336995117285e-07,-4.045931046716267,1.3722696321058896,1.0
1110,MAGEB6_code_potential_somatic,ENSG00000100105,1110,1.0,2.0726436667462833,0.5463250729901485,5.811560049819726e-44,8.513908639945281,4.014949129783818,1.0
3068,MAGEB6_code_potential_somatic,ENSG00000111206,3068,1.0,2.2201216298852082,-0.28459015518413994,1.1391442020903926e-11,-4.42100208880983,1.426782555748045,1.0
1811,MAGEB6_code_potential_somatic,ENSG00000281306,1811,-1.0,5.104210857828498,0.3486595327040857,4.150775912575143e-17,-5.2806360318926355,1.6295469869495582,1.0
1803,MAGEB6_code_potential_somatic,ENSG00000281306,1803,-1.0,5.104210857828498,0.3945743266454167,7.3790697005791225e-22,-4.505465532957015,1.5053997033846356,1.0
2891,MAGEB6_code_potential_somatic,ENSG00000125482,2891,1.0,1.7159704754702687,0.4344523709885133,1.2338505384305904e-26,3.6918843041280707,1.3155217041201888,1.0
3302,MAGEB6_code_potential_somatic,ENSG00000006704,3302,1.0,1.3131402064277795,0.560984427625908,9.491054619532947e-47,3.6179246094651947,1.3329901665125223,1.0
3113,MAGEB6_code_potential_somatic,ENSG00000184486,3113,1.0,2.624456472647926,0.2592803166611941,7.209895216980356e-10,4.83149369672063,1.8480931239702203,1.0
3202,MAGEB6_code_potential_somatic,ENSG00000171634,3202,1.0,2.1823507384689305,0.5685978329770145,2.980163628773529e-48,4.267511999452221,1.526952024883717,1.0
3214,MAGEB6_code_potential_somatic,ENSG00000171634,3214,1.0,2.1823507384689305,0.7117582774244728,8.383930012079178e-86,4.83149369672063,1.8480931239702203,1.0
956,MAGEB6_code_potential_somatic,ENSG00000129173,956,1.0,1.7569593831703465,0.7719811749257338,1.5861341031969156e-109,3.6708348876386934,1.5166252828827853,1.0
2168,MAGEB6_code_potential_somatic,ENSG00000124766,2168,1.0,1.7808356655953657,0.6597120120357272,9.45871801488194e-70,4.3965751258547145,1.6095135818100381,1.0
2160,MAGEB6_code_potential_somatic,ENSG00000124766,2160,1.0,1.7808356655953657,-0.19102319795692482,6.698232637365098e-06,-3.1635605660186776,1.5137341039678094,1.0
1671,MAGEB6_code_potential_somatic,ENSG00000143190,1671,1.0,2.030778297097771,0.6283377875936546,1.5506344681529434e-61,3.5605741265237065,1.3280001757476139,1.0
1661,MAGEB6_code_potential_somatic,ENSG00000143190,1661,1.0,2.030778297097771,-0.25581979718732256,1.2297942417200733e-09,-4.439568057898436,1.4490397494957297,1.0
1676,MAGEB6_code_potential_somatic,ENSG00000143190,1676,1.0,2.030778297097771,-0.29469739213029883,1.9241898424707e-12,-3.805471377632789,1.3733506924696588,1.0
1471,MAGEB6_code_potential_somatic,ENSG00000087510,1471,-1.0,2.7662573113709095,-0.39765858295481255,3.3195276476377145e-22,4.119213831564428,1.7563452379251714,0.5
1169,MAGEB6_code_potential_somatic,ENSG00000162702,1169,1.0,1.4999438543899963,0.2721423624912561,9.244386268136661e-11,3.9139774711537387,1.590826158751797,0.6666666666666666
1152,MAGEB6_code_potential_somatic,ENSG00000162702,1152,1.0,1.4999438543899963,0.668571312317625,2.976059038259947e-72,5.636379306031318,2.1237449233531978,0.6666666666666666
1051,MAGEB6_code_potential_somatic,ENSG00000005889,1051,1.0,1.3289918168066208,0.2938748652182464,2.229744956651044e-12,6.71756419263396,2.9519215634958496,1.0
1061,MAGEB6_code_potential_somatic,ENSG00000005889,1061,1.0,1.3289918168066208,0.321141996948046,1.3021869462851936e-14,4.147719105462172,1.5850147636940037,1.0
1059,MAGEB6_code_potential_somatic,ENSG00000005889,1059,1.0,1.3289918168066208,0.22726097736176973,7.513915354602884e-08,5.624549430566195,2.3843902499733622,1.0
1046,MAGEB6_code_potential_somatic,ENSG00000005889,1046,1.0,1.3289918168066208,0.3437857690739653,1.198652801116821e-16,3.8258061457511183,1.4105668367820066,1.0
1045,MAGEB6_code_potential_somatic,ENSG00000005889,1045,1.0,1.3289918168066208,0.24655732746422468,4.941930210497247e-09,9.075642118903879,6.358266391438366,1.0
1355,MAGEB6_code_potential_somatic,ENSG00000182944,1355,1.0,2.1010341828371444,0.23269570726267202,3.5751049855888325e-08,7.1180816057512155,6.853544807350115,1.0
1873,MAGEB6_code_potential_somatic,ENSG00000118513,1873,1.0,3.015834472031622,0.42272816175969147,3.65293684676176e-25,3.580970120837511,1.3108669480786677,1.0
1886,MAGEB6_code_potential_somatic,ENSG00000118513,1886,1.0,3.015834472031622,0.26531306054813586,2.7891316206455475e-10,3.6499247483594983,1.4506170770490785,1.0
923,MAGEB6_code_potential_somatic,ENSG00000106459,923,1.0,1.3434561349760343,0.7121543007985294,6.132342355537881e-86,5.056977820119653,1.7863540873576667,1.0
918,MAGEB6_code_potential_somatic,ENSG00000106459,918,1.0,1.3434561349760343,0.46502025654818563,9.424334020821153e-31,3.8514334833848984,2.569839738359712,1.0
