,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3756,MCOLN3_code_potential_somatic,ENSG00000176842,3756,-1.0,1.7053647939435812,0.1922083134370656,5.855888948107238e-06,-2.5786111713683497,1.6671334145241823,1.0
170,MCOLN3_code_potential_somatic,ENSG00000178573,170,-1.0,1.3137613029073159,0.4816011740550803,3.6374284235023134e-33,-6.852463772224296,3.031025439641987,1.0
160,MCOLN3_code_potential_somatic,ENSG00000178573,160,-1.0,1.3137613029073159,0.2950522891587526,1.8053731169837242e-12,-3.488526823904355,1.8023661946677805,1.0
169,MCOLN3_code_potential_somatic,ENSG00000178573,169,-1.0,1.3137613029073159,0.3551133792825451,9.902752147500087e-18,-9.241810663122186,7.951863247282627,1.0
172,MCOLN3_code_potential_somatic,ENSG00000178573,172,-1.0,1.3137613029073159,0.3283820567504193,3.0339126838600218e-15,-3.362590338989535,1.466038555701757,1.0
369,MCOLN3_code_potential_somatic,ENSG00000112561,369,-1.0,2.5191424584474094,0.2895420880385263,4.808766245088568e-12,-3.20507555325595,1.359137671516607,1.0
7,MCOLN3_code_potential_somatic,ENSG00000126351,7,-1.0,1.659280894666473,0.5924389359447688,3.1973683806405464e-53,-6.50690958288688,2.7817688602364328,0.5
8,MCOLN3_code_potential_somatic,ENSG00000126351,8,-1.0,1.659280894666473,0.21840459384197147,2.4236115008115624e-07,-2.906636219444376,1.3253718172409392,0.5
196,MCOLN3_code_potential_somatic,ENSG00000125820,196,-1.0,1.5358909536902863,0.6110351173052444,2.1427077529094173e-57,-3.5866605102451903,1.4870438701350166,1.0
200,MCOLN3_code_potential_somatic,ENSG00000125820,200,-1.0,1.5358909536902863,0.09322985244756811,0.029092849570705792,-3.6251882340384287,1.47793017554033,1.0
619,MCOLN3_code_potential_somatic,ENSG00000066336,619,-1.0,1.308723180738304,0.5144756350830187,2.3271362285454314e-38,-2.9237870595177875,1.3045054734244605,1.0
