,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1440,MDGA2_code_potential_somatic,ENSG00000221869,1440,1.0,1.4075598087892573,0.7210168824377889,4.8594174980191e-89,4.037025573947185,1.3676572603651032,1.0
1037,MDGA2_code_potential_somatic,ENSG00000137203,1037,-1.0,2.1444275838549154,0.188860127183953,8.542161780917127e-06,-5.477150628489221,1.8389152973411698,1.0
3417,MDGA2_code_potential_somatic,ENSG00000100393,3417,1.0,1.3410202999495362,0.27286666743960863,8.207630550317471e-11,3.3854791118577268,1.9990346417515916,1.0
1574,MDGA2_code_potential_somatic,ENSG00000105866,1574,-1.0,1.5508905019861323,-0.21339921132211218,4.598802402890166e-07,3.79691386605769,1.5258137971947225,1.0
3741,MDGA2_code_potential_somatic,ENSG00000010818,3741,1.0,2.1558490708885176,0.24591913991685915,5.427888107017464e-09,5.410490012126734,1.6181027364632168,1.0
1813,MDGA2_code_potential_somatic,ENSG00000281306,1813,-1.0,2.952361757339599,0.5686354592080978,2.928966155671868e-48,-8.444713870692112,3.626170601814969,1.0
1816,MDGA2_code_potential_somatic,ENSG00000281306,1816,-1.0,2.952361757339599,0.2775112464877627,3.795725456340904e-11,-5.462114695298793,2.0252012149676957,1.0
519,MDGA2_code_potential_somatic,ENSG00000120690,519,1.0,2.41136333916329,0.43115883614483685,3.239143679177495e-26,4.854530365679776,1.7021948474666837,0.5
516,MDGA2_code_potential_somatic,ENSG00000120690,516,1.0,2.41136333916329,0.31437459844389287,4.9068415127193024e-14,3.872988451424029,2.8954319696755215,0.5
1547,MDGA2_code_potential_somatic,ENSG00000173404,1547,-1.0,1.532486717346319,0.357370807309435,5.952044823480266e-18,-2.6617257756626467,1.4247991406377085,1.0
2093,MDGA2_code_potential_somatic,ENSG00000105856,2093,1.0,1.400555659974375,0.16447235007970418,0.00010983167865860399,3.6622086340932585,1.5670724169787036,0.6666666666666666
2100,MDGA2_code_potential_somatic,ENSG00000105856,2100,1.0,1.400555659974375,0.3997436311952665,1.9251830143592888e-22,3.3346323091878176,2.4317949365357463,0.6666666666666666
3605,MDGA2_code_potential_somatic,ENSG00000166478,3605,-1.0,3.2646548819305132,0.39306366263504516,1.0879228904513919e-21,-9.58126980413406,4.358510679940766,0.5
3405,MDGA2_code_potential_somatic,ENSG00000170345,3405,1.0,1.4520957606249354,0.3205029343720507,1.4781030440049208e-14,7.469524852786526,2.6548419225653053,1.0
1097,MDGA2_code_potential_somatic,ENSG00000176887,1097,-1.0,1.8611753622721285,-0.24564299546509125,5.652251202870115e-09,9.677260180701408,14.112068696760986,1.0
3574,MDGA2_code_potential_somatic,ENSG00000253293,3574,-1.0,1.348793908257549,0.29086017283127985,3.811496087124064e-12,-4.5311540380293875,1.464698961241955,1.0
3259,MDGA2_code_potential_somatic,ENSG00000184481,3259,-1.0,1.7063063383729205,-0.22017601638403608,1.9249384956311133e-07,4.937577874891673,1.8069609104045892,0.5
1548,MDGA2_code_potential_somatic,ENSG00000123364,1548,-1.0,1.4963287192640795,0.45285051907844587,4.607026336387008e-29,-5.399164042656823,1.67711725173739,1.0
1893,MDGA2_code_potential_somatic,ENSG00000109705,1893,-1.0,1.4457941651631145,0.2104670882108056,6.645416770661001e-07,-7.546963420588001,9.388708373957725,1.0
2451,MDGA2_code_potential_somatic,ENSG00000160199,2451,-1.0,1.8615368223212756,0.3312488692989424,1.6856757292169836e-15,-3.9381700196468725,1.3445338444851025,1.0
3477,MDGA2_code_potential_somatic,ENSG00000107175,3477,-1.0,1.4142755802628688,0.3558082978527454,8.470030614816931e-18,-7.7155186477157445,2.5498761176306983,1.0
3092,MDGA2_code_potential_somatic,ENSG00000119725,3092,-1.0,2.349698305593104,0.43490432327582723,1.0798985900997392e-26,-3.0852850787104975,1.3457190399493753,1.0
3088,MDGA2_code_potential_somatic,ENSG00000119725,3088,-1.0,2.349698305593104,0.36014712731382187,3.1646230020277296e-18,-6.69327665078177,2.6173038263745974,1.0
3748,MDGA2_code_potential_somatic,ENSG00000128713,3748,-1.0,1.8179534934275519,0.38202481270608896,1.7476344049928133e-20,-10.52535542921849,4.226662696143411,1.0
3762,MDGA2_code_potential_somatic,ENSG00000123388,3762,-1.0,1.788097385304497,0.36996947054604434,3.2203666637106646e-19,-10.52535542921849,4.226662696143411,1.0
3639,MDGA2_code_potential_somatic,ENSG00000076604,3639,-1.0,5.1062366887568675,-0.3930013168451689,1.1054459076174069e-21,5.396252130292037,4.45184382768187,1.0
3638,MDGA2_code_potential_somatic,ENSG00000076604,3638,-1.0,5.1062366887568675,-0.32362707825680004,7.932812879565234e-15,5.206486632303672,1.76892864877049,1.0
3576,MDGA2_code_potential_somatic,ENSG00000180818,3576,-1.0,1.360060111892667,0.2742174023630191,6.568531010436897e-11,-4.290013217280091,1.3996150290508367,1.0
