,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2609,MGAT4C_code_potential_somatic,ENSG00000196482,2609,1.0,1.4402229355975584,0.2638286425600655,3.531246385503076e-10,4.165743102846835,1.651573026968395,1.0
2607,MGAT4C_code_potential_somatic,ENSG00000196482,2607,1.0,1.4402229355975584,0.4543449801831537,2.881577974829384e-29,4.267367844853174,1.3930458784216304,1.0
2529,MGAT4C_code_potential_somatic,ENSG00000112333,2529,1.0,3.3221494560297464,-0.2800459856712603,2.476477360786239e-11,-5.696098570465162,7.385677462136452,1.0
288,MGAT4C_code_potential_somatic,ENSG00000072310,288,1.0,1.733903060838929,0.5114015136682754,7.53010353623837e-38,5.9465247405449295,2.6047068363925647,1.0
1446,MGAT4C_code_potential_somatic,ENSG00000007372,1446,1.0,1.5800932185771943,0.3243926553888602,6.803227275682828e-15,11.521180741729793,8.60490175879229,1.0
2951,MGAT4C_code_potential_somatic,ENSG00000099326,2951,1.0,1.4699842179362248,0.461927978289373,2.5699245299049342e-30,4.033540852786306,1.3714352680871977,1.0
2953,MGAT4C_code_potential_somatic,ENSG00000099326,2953,1.0,1.4699842179362248,0.25546876486865056,1.2976767642873078e-09,6.213761495740326,1.991924684855133,1.0
2952,MGAT4C_code_potential_somatic,ENSG00000099326,2952,1.0,1.4699842179362248,0.6748517573892705,4.433728282902681e-74,5.630206411913326,2.4529484663178636,1.0
902,MGAT4C_code_potential_somatic,ENSG00000105672,902,1.0,1.3021049778045513,0.20568911530740816,1.1973037297252491e-06,3.480610685474498,1.4382231649741115,0.5
3363,MGAT4C_code_potential_somatic,ENSG00000105516,3363,1.0,1.4071753679511676,0.40384926552648986,6.51105186434234e-23,3.751461704737991,1.3310825882866162,1.0
2051,MGAT4C_code_potential_somatic,ENSG00000054598,2051,1.0,3.594637018468916,-0.3056735325058917,2.571888608765702e-13,-2.6267217023026808,1.9609373151956238,1.0
2031,MGAT4C_code_potential_somatic,ENSG00000054598,2031,1.0,3.594637018468916,0.3312971417116887,1.6689884729016095e-15,5.166915843390054,2.0776912354759745,1.0
2054,MGAT4C_code_potential_somatic,ENSG00000054598,2054,1.0,3.594637018468916,0.31473190180107874,4.578765605275875e-14,5.001969841959261,1.8463584547591798,1.0
2971,MGAT4C_code_potential_somatic,ENSG00000187079,2971,1.0,3.896485860608986,0.2303913193659805,4.90958391750787e-08,4.800915914260985,1.487412860232641,1.0
2976,MGAT4C_code_potential_somatic,ENSG00000187079,2976,1.0,3.896485860608986,-0.2122105578475229,5.342331407289734e-07,-2.993425999613881,1.4107089292440382,1.0
2565,MGAT4C_code_potential_somatic,ENSG00000175745,2565,1.0,1.5089901568899928,0.4047934943371429,5.0633719300263606e-23,5.20279503627062,1.68735062738429,1.0
2558,MGAT4C_code_potential_somatic,ENSG00000175745,2558,1.0,1.5089901568899928,0.2940616109116653,2.1564585201837476e-12,4.160192613720254,1.3420961723197342,1.0
3191,MGAT4C_code_potential_somatic,ENSG00000176165,3191,1.0,1.566996773840152,0.28828343227354974,5.996967986635382e-12,5.598158934994561,1.7039686382881365,1.0
3187,MGAT4C_code_potential_somatic,ENSG00000176165,3187,1.0,1.566996773840152,0.402624881716182,9.010448837223377e-23,2.755925475339508,1.4366014606465032,1.0
3190,MGAT4C_code_potential_somatic,ENSG00000176165,3190,1.0,1.566996773840152,0.48515269650645554,1.0628112697820609e-33,8.424992904009718,3.6848543563924174,1.0
1610,MGAT4C_code_potential_somatic,ENSG00000112592,1610,1.0,2.276244042311832,0.5617391398191477,6.761613417344139e-47,8.330706223824436,2.912370571705883,1.0
1606,MGAT4C_code_potential_somatic,ENSG00000112592,1606,1.0,2.276244042311832,0.41310313080139427,5.347482013806556e-24,4.422585718473877,2.687366393522223,1.0
2104,MGAT4C_code_potential_somatic,ENSG00000183072,2104,1.0,1.4325062482613133,0.3012442204094864,5.853452871114832e-13,4.813684801536209,1.7486387971658905,1.0
