,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1809,MMRN1_code_potential_somatic,ENSG00000281306,1809,1.0,1.6297563248382907,0.22371922606342776,1.2072179843400785e-07,12.909134048487045,28.20151074973731,0.3333333333333333
3516,MMRN1_code_potential_somatic,ENSG00000105991,3516,-1.0,1.677960674485824,0.204880772040821,1.320900086403999e-06,-8.368402098018514,11.564204557581286,1.0
3517,MMRN1_code_potential_somatic,ENSG00000105991,3517,-1.0,1.677960674485824,0.11951274459379158,0.005088455975786994,-2.7276292019651485,1.4781972878857805,1.0
3252,MMRN1_code_potential_somatic,ENSG00000184481,3252,-1.0,1.442190116426973,-0.30368539453983595,3.726652938907681e-13,3.2969631952944396,1.3615519418074673,1.0
3255,MMRN1_code_potential_somatic,ENSG00000184481,3255,-1.0,1.442190116426973,-0.16601495263506488,9.439565827142555e-05,5.064182533805536,2.0097837674876273,1.0
3254,MMRN1_code_potential_somatic,ENSG00000184481,3254,-1.0,1.442190116426973,-0.2884794386866346,5.794676498562081e-12,4.574371939807182,1.7491685887342254,1.0
3551,MMRN1_code_potential_somatic,ENSG00000167157,3551,-1.0,1.702938875065988,0.23820553109920556,1.652084474045135e-08,-10.27047508070021,16.00603965065513,0.5
234,MMRN1_code_potential_somatic,ENSG00000135363,234,1.0,1.8907021628675855,-0.31197279069307887,7.794265670481288e-14,-5.675333461912024,2.312919119673962,1.0
3486,MMRN1_code_potential_somatic,ENSG00000129654,3486,-1.0,1.852242178387882,-0.2375131044652201,1.8223077992117732e-08,8.951438231939353,7.8915844873070755,1.0
1375,MMRN1_code_potential_somatic,ENSG00000173153,1375,-1.0,1.4449326422424402,0.24809205476191673,3.939783782016515e-09,-3.748547165667731,1.6278592243723056,0.6666666666666666
1360,MMRN1_code_potential_somatic,ENSG00000173153,1360,-1.0,1.4449326422424402,0.3159949327092046,3.5825086085567735e-14,-5.56858297600793,5.301720153670561,0.6666666666666666
3392,MMRN1_code_potential_somatic,ENSG00000120149,3392,-1.0,1.9233659481710046,-0.3996362943500058,1.9801279135314082e-22,9.967557686031084,12.190406712751477,1.0
3395,MMRN1_code_potential_somatic,ENSG00000120149,3395,-1.0,1.9233659481710046,-0.23399286428736177,2.986127935632948e-08,3.5679838686681484,1.326067039142391,1.0
3398,MMRN1_code_potential_somatic,ENSG00000120149,3398,-1.0,1.9233659481710046,0.19005162450158916,7.473825507774001e-06,-6.22247393145462,2.4444661475046203,1.0
3393,MMRN1_code_potential_somatic,ENSG00000120149,3393,-1.0,1.9233659481710046,0.1356500737175161,0.0014577784066699124,-14.117059228031062,32.76494911217657,1.0
2216,MMRN1_code_potential_somatic,ENSG00000187140,2216,-1.0,6.009481941464574,-0.26509930892369654,2.8857713000279834e-10,4.788221790745029,1.6962777437801395,1.0
2211,MMRN1_code_potential_somatic,ENSG00000187140,2211,-1.0,6.009481941464574,-0.23617819772077325,2.19966646431472e-08,4.557739511272067,1.5001023595193927,1.0
