,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3524,MOCS3_code_potential_somatic,ENSG00000153234,3524,-1.0,1.5430077800308555,0.1809503788035398,2.0306353461396608e-05,-6.57273205261178,2.7702372172219087,1.0
3522,MOCS3_code_potential_somatic,ENSG00000153234,3522,-1.0,1.5430077800308555,0.17118411134680978,5.626856667007211e-05,-3.313481072417941,1.4053172362028623,1.0
3463,MOCS3_code_potential_somatic,ENSG00000150347,3463,-1.0,1.8123223527897803,0.4458585150166216,4.014154139911832e-28,-6.078756705874945,2.184651751588931,1.0
1659,MOCS3_code_potential_somatic,ENSG00000138795,1659,-1.0,6.957002468803349,0.28530301184125206,1.0071960370911628e-11,-5.562114653479429,1.7655201786985808,0.6666666666666666
1641,MOCS3_code_potential_somatic,ENSG00000138795,1641,-1.0,6.957002468803349,0.42104561983637406,5.876351965027431e-25,-3.5966373016757696,1.3702567085271975,0.6666666666666666
3712,MOCS3_code_potential_somatic,ENSG00000163435,3712,-1.0,2.484738717997076,0.23974326076647987,1.3273277728038533e-08,-10.111642631029468,11.593740223095274,0.5
2974,MOCS3_code_potential_somatic,ENSG00000187079,2974,1.0,1.4449172781272073,-0.24548862583097641,5.781567959558091e-09,-3.2768722297232795,1.5105402499215568,1.0
2830,MOCS3_code_potential_somatic,ENSG00000126456,2830,1.0,2.495022867964,0.5963904193990348,4.371680359735945e-54,6.1557321632972455,1.7953351113040046,0.5
1472,MOCS3_code_potential_somatic,ENSG00000087510,1472,-1.0,4.211945551451617,0.34614519122009924,7.190152436748869e-17,-3.5887411278001013,1.4633715963982006,1.0
1839,MOCS3_code_potential_somatic,ENSG00000112658,1839,-1.0,2.9735720827218373,0.43930433182194023,2.919581539654522e-27,-5.835185945755792,3.3817508332399506,1.0
1829,MOCS3_code_potential_somatic,ENSG00000112658,1829,-1.0,2.9735720827218373,0.20757429157135235,9.506884319138885e-07,-4.9309245102362915,1.9335355653763882,1.0
1300,MOCS3_code_potential_somatic,ENSG00000197905,1300,-1.0,3.0200850720700756,0.272697349399734,8.439329743644067e-11,-3.789372822245573,1.3011630889777397,1.0
