,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2522,MPP7_code_potential_somatic,ENSG00000112333,2522,-1.0,1.416395612927811,0.4848949276559143,1.1626510343479794e-33,-4.413681725479435,1.3546545145558884,1.0
899,MPP7_code_potential_somatic,ENSG00000154727,899,-1.0,1.8175158811665022,0.3362756900202329,5.925380504056038e-16,-5.74944136157081,1.6907516120738395,1.0
895,MPP7_code_potential_somatic,ENSG00000154727,895,-1.0,1.8175158811665022,0.2739724848705727,6.839914695696494e-11,-11.885809443421987,2.7740208161513804,1.0
897,MPP7_code_potential_somatic,ENSG00000154727,897,-1.0,1.8175158811665022,0.2641254231036872,3.3689461255496257e-10,-5.5816983520759065,1.9807911606520603,1.0
893,MPP7_code_potential_somatic,ENSG00000154727,893,-1.0,1.8175158811665022,0.5249383524100513,3.9047549213421055e-40,-8.053464753125755,2.781490184497655,1.0
3525,MPP7_code_potential_somatic,ENSG00000153234,3525,-1.0,1.4028917621179786,0.18073526759870343,2.0779665810347115e-05,-4.499162345344566,1.4805745951958018,1.0
2631,MPP7_code_potential_somatic,ENSG00000143995,2631,-1.0,3.4343549263337794,0.19628190126512368,3.6662516773513055e-06,-7.50721179021174,2.05319843246773,1.0
3515,MPP7_code_potential_somatic,ENSG00000105991,3515,-1.0,1.9395880693502148,0.26456954836373886,3.139552712885348e-10,-4.18054654327968,1.355300925184615,1.0
2106,MPP7_code_potential_somatic,ENSG00000069667,2106,-1.0,2.1239774990171543,0.32262867059014927,9.685985105170462e-15,-5.631604434134181,1.697664793338253,1.0
2635,MPP7_code_potential_somatic,ENSG00000126767,2635,-1.0,2.3378154474072277,0.21146284588332206,5.867884816022567e-07,-8.360433781825137,2.2308326588874805,1.0
3363,MPP7_code_potential_somatic,ENSG00000105516,3363,-1.0,2.89701306404963,0.40384926552648986,6.51105186434234e-23,-5.122644499120639,1.489049952502312,1.0
2823,MPP7_code_potential_somatic,ENSG00000126456,2823,-1.0,4.334184248020123,0.4195568315417488,8.929547673661836e-25,-7.418357308085063,2.006373353330807,1.0
2830,MPP7_code_potential_somatic,ENSG00000126456,2830,-1.0,4.334184248020123,0.5963904193990348,4.371680359735945e-54,-15.345934073207205,3.9055697255498427,1.0
2822,MPP7_code_potential_somatic,ENSG00000126456,2822,-1.0,4.334184248020123,0.4037824716744118,6.62770910961149e-23,-6.738346184949014,1.8809663990692678,1.0
2837,MPP7_code_potential_somatic,ENSG00000126456,2837,-1.0,4.334184248020123,0.4755943212683657,2.8211001466529374e-32,-5.695532969805682,1.7931632281453111,1.0
2832,MPP7_code_potential_somatic,ENSG00000126456,2832,-1.0,4.334184248020123,0.35914966759485334,3.973716202349924e-18,-5.213839328839542,1.5661600677952077,1.0
2835,MPP7_code_potential_somatic,ENSG00000126456,2835,-1.0,4.334184248020123,0.3527555417203807,1.6780100043281802e-17,-8.901370260477668,2.5722334900674713,1.0
2821,MPP7_code_potential_somatic,ENSG00000126456,2821,-1.0,4.334184248020123,0.4121395784418322,6.962481909679917e-24,-6.2988882362568965,1.8680613915396649,1.0
2838,MPP7_code_potential_somatic,ENSG00000126456,2838,-1.0,4.334184248020123,0.36317180961097906,1.5789169727997647e-18,-4.559181702683988,1.550963899256726,1.0
2827,MPP7_code_potential_somatic,ENSG00000126456,2827,-1.0,4.334184248020123,0.5041142023198906,1.1619242553841067e-36,-5.704438751693044,1.673486917036207,1.0
