,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,MRGPRE_code_potential_somatic,ENSG00000125952,1313,-1.0,4.552058919402163,0.6383058949876683,4.830752998599309e-64,-13.159015928294256,17.010287012333723,0.3333333333333333
3754,MRGPRE_code_potential_somatic,ENSG00000177374,3754,-1.0,1.7430377572425668,-0.20892584620919735,8.047341693475429e-07,4.633493123064902,1.6047853746559302,1.0
3675,MRGPRE_code_potential_somatic,ENSG00000170370,3675,-1.0,2.0775579270992828,0.27726361338551714,3.9565054352759463e-11,-5.377749733692711,1.900021080011246,1.0
214,MRGPRE_code_potential_somatic,ENSG00000136826,214,-1.0,1.6307707690119064,0.2645969906161201,3.1258888782178924e-10,-7.489825604859563,9.467464302766421,1.0
213,MRGPRE_code_potential_somatic,ENSG00000136826,213,-1.0,1.6307707690119064,0.3375899101032046,4.493936388247156e-16,-4.105108616770691,1.4938801796475742,1.0
971,MRGPRE_code_potential_somatic,ENSG00000101412,971,1.0,2.717833949192425,0.2069537504346887,1.0259174781428825e-06,3.8863544605138935,2.0561397406077786,1.0
960,MRGPRE_code_potential_somatic,ENSG00000101412,960,1.0,2.717833949192425,0.6491518019355196,7.070099083657812e-67,3.4631055463236744,1.8361697218796427,1.0
959,MRGPRE_code_potential_somatic,ENSG00000101412,959,1.0,2.717833949192425,0.7769628587535349,8.154332160431679e-112,9.191262672816594,5.108599616474417,1.0
550,MRGPRE_code_potential_somatic,ENSG00000181449,550,1.0,1.9971202865585438,-0.5315766841913027,2.708812111714531e-41,-3.7041684683506224,1.33075571104768,1.0
956,MRGPRE_code_potential_somatic,ENSG00000129173,956,1.0,2.808030544448467,0.7719811749257338,1.5861341031969156e-109,8.869662098774874,5.583309742826614,1.0
3716,MRGPRE_code_potential_somatic,ENSG00000163435,3716,-1.0,1.8802434668172836,0.1722850432012573,5.029882446997653e-05,-9.078150145697425,2.777473799192578,1.0
2169,MRGPRE_code_potential_somatic,ENSG00000124766,2169,1.0,1.512782497202613,-0.2843591476258614,1.185418867250716e-11,-10.081572121267506,3.892624768274663,1.0
40,MRGPRE_code_potential_somatic,ENSG00000125347,40,-1.0,2.7782236735936623,0.7218787127191317,2.3911038311816783e-89,-5.512010517599613,3.305112917435738,1.0
57,MRGPRE_code_potential_somatic,ENSG00000125347,57,-1.0,2.7782236735936623,0.5910295564983017,6.458447969963658e-53,-8.134206072123705,2.8172899406448693,1.0
35,MRGPRE_code_potential_somatic,ENSG00000125347,35,-1.0,2.7782236735936623,0.5707869358517241,1.083363300896522e-48,-4.7495854580243835,1.7875483389926792,1.0
46,MRGPRE_code_potential_somatic,ENSG00000125347,46,-1.0,2.7782236735936623,0.6852481912975924,3.3187208614625384e-77,-6.186321009006457,3.0831326310367713,1.0
1256,MRGPRE_code_potential_somatic,ENSG00000073282,1256,-1.0,1.60239904477827,0.13710481131401833,0.0012934967084858022,-5.36909494994365,2.197602903935693,1.0
916,MRGPRE_code_potential_somatic,ENSG00000101057,916,1.0,5.345954679650516,0.8137042900539069,9.46897652452271e-131,9.532948297908899,5.383793132013677,1.0
3727,MRGPRE_code_potential_somatic,ENSG00000124813,3727,-1.0,1.3720301963370085,-0.441509331050092,1.504886531202862e-27,2.9360142789763968,1.8906196110377709,1.0
3735,MRGPRE_code_potential_somatic,ENSG00000124813,3735,-1.0,1.3720301963370085,0.5087771569692713,2.0327063980921514e-37,-9.961503170531149,4.628737867521371,1.0
1128,MRGPRE_code_potential_somatic,ENSG00000165804,1128,1.0,1.927890739817111,-0.17903355567081627,2.491090288370586e-05,-4.358949336792729,1.8574343803283757,1.0
915,MRGPRE_code_potential_somatic,ENSG00000189298,915,1.0,1.31227773763221,0.24889008087233355,3.49972188991028e-09,5.005825105899701,1.699835327968438,1.0
183,MRGPRE_code_potential_somatic,ENSG00000007866,183,-1.0,1.659218235746301,-0.16986697450173865,6.429015551285007e-05,3.753536207779608,1.3802229385458566,1.0
