,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2405,MRPL32_code_potential_somatic,ENSG00000198815,2405,1.0,1.4590131040966172,0.6295807657623466,7.637413688814105e-62,4.838465000834806,3.195637651131815,0.5
219,MRPL32_code_potential_somatic,ENSG00000136826,219,-1.0,2.5670493952486284,0.3356352419822404,6.776890313338612e-16,-5.8047806611260615,2.1327642828977953,1.0
1237,MRPL32_code_potential_somatic,ENSG00000151702,1237,-1.0,1.467352740213169,0.5182766865320042,5.358163944525927e-39,-3.6938622718692065,1.486789420456885,1.0
960,MRPL32_code_potential_somatic,ENSG00000101412,960,1.0,1.3869735741165272,0.6491518019355196,7.070099083657812e-67,5.0884868648490285,2.772404119794514,1.0
1108,MRPL32_code_potential_somatic,ENSG00000100105,1108,1.0,1.6778089944085033,0.5687831932084362,2.7362525640183454e-48,3.957660661888676,2.247836265113515,1.0
108,MRPL32_code_potential_somatic,ENSG00000057657,108,-1.0,1.5888020583053137,0.3942166586929683,8.09091190283462e-22,-3.9528348700140534,1.5246685392311623,1.0
107,MRPL32_code_potential_somatic,ENSG00000057657,107,-1.0,1.5888020583053137,0.4791201762132656,8.518674804720277e-33,-5.88380062760846,2.3546161464386794,1.0
3204,MRPL32_code_potential_somatic,ENSG00000171634,3204,1.0,1.8936600093775862,-0.22570123882907464,9.267593507246746e-08,-4.116483073828899,3.1185657949587524,1.0
3202,MRPL32_code_potential_somatic,ENSG00000171634,3202,1.0,1.8936600093775862,0.5685978329770145,2.980163628773529e-48,3.3590998496832727,1.372036156472952,1.0
3344,MRPL32_code_potential_somatic,ENSG00000102974,3344,1.0,3.7258099093862147,-0.17166326244070132,5.359249316019668e-05,-3.895671362019751,1.4802933915711842,1.0
3716,MRPL32_code_potential_somatic,ENSG00000163435,3716,-1.0,1.6384031593419899,0.1722850432012573,5.029882446997653e-05,-6.128408844633331,2.28355339208267,1.0
3546,MRPL32_code_potential_somatic,ENSG00000167157,3546,-1.0,11.035891481904057,-0.3975925483668274,3.377087300505444e-22,3.571594799376768,1.357579830953084,0.5
35,MRPL32_code_potential_somatic,ENSG00000125347,35,-1.0,2.2729219604289783,0.5707869358517241,1.083363300896522e-48,-3.831809590486298,1.5478262579041797,0.6666666666666666
46,MRPL32_code_potential_somatic,ENSG00000125347,46,-1.0,2.2729219604289783,0.6852481912975924,3.3187208614625384e-77,-6.3517051233815245,2.6015214563200146,0.6666666666666666
25,MRPL32_code_potential_somatic,ENSG00000196712,25,1.0,2.189191968236064,0.568410576850228,3.2484746207953633e-48,3.4669043703892197,1.3115821105355088,1.0
2944,MRPL32_code_potential_somatic,ENSG00000152977,2944,1.0,1.3941395607597875,-0.22245663266961685,1.4268474383192326e-07,-4.555907625861481,2.214674056800563,1.0
1618,MRPL32_code_potential_somatic,ENSG00000181690,1618,-1.0,3.437970730070614,0.30900316228054925,1.3732428709727968e-13,-2.659024429090672,1.3060374721126786,1.0
1615,MRPL32_code_potential_somatic,ENSG00000181690,1615,-1.0,3.437970730070614,0.18492920690248837,1.3195938131594187e-05,-3.9518497092412948,1.4083394733242824,1.0
