,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1928,MSL3_code_potential_somatic,ENSG00000006468,1928,-1.0,1.4768979995602098,0.4411584445695249,1.672807099539624e-27,-3.8107768974423495,1.3776659056085498,1.0
2359,MSL3_code_potential_somatic,ENSG00000148516,2359,-1.0,1.3560064370875349,0.48467070156951697,1.2570182182003646e-33,-5.291681781482066,1.6303035406198283,1.0
2322,MSL3_code_potential_somatic,ENSG00000135457,2322,-1.0,1.4890648408767824,0.5411807067562492,5.129900190789167e-43,-12.144827089895035,3.136162397321975,1.0
2319,MSL3_code_potential_somatic,ENSG00000135457,2319,-1.0,1.4890648408767824,0.22371980941584768,1.2071244827089224e-07,-4.205646347339734,1.5280289590603446,1.0
2321,MSL3_code_potential_somatic,ENSG00000135457,2321,-1.0,1.4890648408767824,0.43875794936165574,3.438064899905261e-27,-5.391749368504539,1.631192837157744,1.0
3599,MSL3_code_potential_somatic,ENSG00000168779,3599,-1.0,1.5215015948219754,0.4704775999320541,1.5647032113427093e-31,-6.874914718797744,1.8580731955246577,1.0
3598,MSL3_code_potential_somatic,ENSG00000168779,3598,-1.0,1.5215015948219754,0.2266405497352884,8.16925935622826e-08,-16.510628922444074,39.83249642157748,1.0
1297,MSL3_code_potential_somatic,ENSG00000131759,1297,-1.0,1.4729341057682366,0.28504961813386004,1.0522915896791589e-11,-6.773606216327268,1.957105709439727,1.0
2182,MSL3_code_potential_somatic,ENSG00000136997,2182,-1.0,1.7244913165556743,0.30817181216314593,1.6073541450986608e-13,-5.396704383418175,1.6685329226754382,1.0
1396,MSL3_code_potential_somatic,ENSG00000125398,1396,-1.0,6.497970268188659,0.3393591450736945,3.0906595458958634e-16,-10.28249098275501,3.43846340253697,1.0
1399,MSL3_code_potential_somatic,ENSG00000125398,1399,-1.0,6.497970268188659,0.4607348038335296,3.774330828148208e-30,-4.960053044297941,1.5731444055067958,1.0
1401,MSL3_code_potential_somatic,ENSG00000125398,1401,-1.0,6.497970268188659,0.3077216828521442,1.749994526371816e-13,-6.783040540218913,2.1729406597891145,1.0
2112,MSL3_code_potential_somatic,ENSG00000069667,2112,-1.0,3.8983953072722044,0.4309491209498844,3.443222759773247e-26,-5.291943933453765,1.7732391589984953,1.0
3268,MSL3_code_potential_somatic,ENSG00000118922,3268,-1.0,1.325954997141753,-0.2842981143789299,1.1979483602978354e-11,5.074561142705163,1.712312298878295,1.0
3611,MSL3_code_potential_somatic,ENSG00000166478,3611,-1.0,1.3391086191949813,0.289237578075341,5.0731571023881376e-12,-6.714564066080602,2.270545778688273,1.0
3613,MSL3_code_potential_somatic,ENSG00000166478,3613,-1.0,1.3391086191949813,0.36513530093729424,1.0014068719590418e-18,-8.163119376753366,2.656605171400884,1.0
3404,MSL3_code_potential_somatic,ENSG00000170345,3404,-1.0,1.6105455162952622,0.43853700463262035,3.6727014873598426e-27,-11.96443378652913,3.2842589377176745,1.0
866,MSL3_code_potential_somatic,ENSG00000244405,866,-1.0,2.1873534320195565,0.429402653684742,5.395912682071426e-26,-5.888955140546819,1.7038121483519009,1.0
2036,MSL3_code_potential_somatic,ENSG00000054598,2036,-1.0,1.7049418250016626,0.29412643594932625,2.131573708078404e-12,-7.2600210389363875,2.2096677931624975,1.0
2050,MSL3_code_potential_somatic,ENSG00000054598,2050,-1.0,1.7049418250016626,0.34757872650812466,5.25969528337334e-17,-4.958678352556502,1.5929115761954686,1.0
2043,MSL3_code_potential_somatic,ENSG00000054598,2043,-1.0,1.7049418250016626,0.44557682871686455,4.375383691115867e-28,-7.391076485028521,2.1983787415941154,1.0
2049,MSL3_code_potential_somatic,ENSG00000054598,2049,-1.0,1.7049418250016626,0.25671013881818777,1.072734585399716e-09,-5.328422648177651,1.7778269274788965,1.0
2033,MSL3_code_potential_somatic,ENSG00000054598,2033,-1.0,1.7049418250016626,0.37662573939007743,6.542483829647519e-20,-8.516551179608276,2.433521921146332,1.0
255,MSL3_code_potential_somatic,ENSG00000177606,255,-1.0,1.7645601348762197,0.46501566264787897,9.438461489358275e-31,-5.048350499347158,1.8478786729236527,1.0
246,MSL3_code_potential_somatic,ENSG00000177606,246,-1.0,1.7645601348762197,0.3281355903530136,3.1902171679371e-15,-3.9099590345584367,1.3634670104746671,1.0
251,MSL3_code_potential_somatic,ENSG00000177606,251,-1.0,1.7645601348762197,0.7020705437872713,1.4989788859365892e-82,-6.105536955348909,1.9280980111206572,1.0
249,MSL3_code_potential_somatic,ENSG00000177606,249,-1.0,1.7645601348762197,0.07227831277271271,0.09096297370830736,-7.354348593846613,2.6099445164982447,1.0
243,MSL3_code_potential_somatic,ENSG00000177606,243,-1.0,1.7645601348762197,0.5406951387857389,6.28842195941703e-43,-8.064466837274697,2.366683236134969,1.0
2272,MSL3_code_potential_somatic,ENSG00000165030,2272,-1.0,1.3962296474861526,0.24985640415589017,3.030454642546102e-09,-4.580869957622727,3.796300202939753,1.0
3277,MSL3_code_potential_somatic,ENSG00000137309,3277,-1.0,1.4950353431350851,0.27867693046081854,3.120616831555176e-11,-4.4253687023209105,1.5468486052473738,1.0
233,MSL3_code_potential_somatic,ENSG00000135363,233,-1.0,2.195736937694457,0.4007303718135195,1.4856415152276415e-22,-4.448772578531273,1.4875364447046424,1.0
1367,MSL3_code_potential_somatic,ENSG00000173153,1367,-1.0,3.4659345292592647,0.39739680441002767,3.5535597084755192e-22,-12.0358571989407,3.704252523539888,1.0
1368,MSL3_code_potential_somatic,ENSG00000173153,1368,-1.0,3.4659345292592647,0.23034727625827844,4.9392784591498005e-08,-10.09203449364504,3.4870262889308807,1.0
1364,MSL3_code_potential_somatic,ENSG00000173153,1364,-1.0,3.4659345292592647,0.1923991804773529,5.7300573894444355e-06,-6.37080716974239,1.8840913701499398,1.0
1370,MSL3_code_potential_somatic,ENSG00000173153,1370,-1.0,3.4659345292592647,0.5184140660268896,5.079407617554581e-39,-3.142025121312041,1.339192875025136,1.0
3502,MSL3_code_potential_somatic,ENSG00000108813,3502,1.0,1.631729428739089,-0.30112968376470695,5.978157128705841e-13,-6.844200049134011,1.8990025390011056,1.0
3193,MSL3_code_potential_somatic,ENSG00000176165,3193,-1.0,1.8067713490170116,0.24634228917844073,5.100758670109762e-09,-4.517240265978228,1.4639138359421866,1.0
3179,MSL3_code_potential_somatic,ENSG00000176165,3179,-1.0,1.8067713490170116,0.5844367991248547,1.654511029519718e-51,-4.309058621227883,1.4072811584570148,1.0
3727,MSL3_code_potential_somatic,ENSG00000124813,3727,1.0,1.3255830830208257,-0.441509331050092,1.504886531202862e-27,-4.755281682393465,1.4757384226873826,0.6666666666666666
3729,MSL3_code_potential_somatic,ENSG00000124813,3729,1.0,1.3255830830208257,-0.27541292783339927,5.387533388228765e-11,-10.522156587907066,3.2891841485598885,0.6666666666666666
1608,MSL3_code_potential_somatic,ENSG00000112592,1608,-1.0,2.6447722979126915,0.41293651076646165,5.5975170845146835e-24,-5.2363708920110446,1.5811248597906613,1.0
1600,MSL3_code_potential_somatic,ENSG00000112592,1600,-1.0,2.6447722979126915,0.19526015950167702,4.1269793144466114e-06,-7.755836955603466,2.657309944915592,1.0
541,MSL3_code_potential_somatic,ENSG00000169136,541,-1.0,2.164682807595559,0.3580383812349528,5.116172555588314e-18,-13.783378115598998,8.478749094404073,1.0
538,MSL3_code_potential_somatic,ENSG00000169136,538,-1.0,2.164682807595559,0.2994566728480148,8.125207309485456e-13,-13.056241410873943,27.538283226037212,1.0
