,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2493,MTF1_code_potential_somatic,ENSG00000184058,2493,-1.0,1.8866564282405642,-0.24809892724398988,3.935774117002259e-09,3.9467110775355945,1.5902374471363592,0.5
3709,MTF1_code_potential_somatic,ENSG00000077150,3709,-1.0,4.918933614393816,0.2757325320404494,5.1086633499228984e-11,-3.961838565031588,1.5377730355873818,1.0
960,MTF1_code_potential_somatic,ENSG00000101412,960,1.0,2.0003172769756223,0.6491518019355196,7.070099083657812e-67,5.974318940849988,1.7276237208170762,1.0
963,MTF1_code_potential_somatic,ENSG00000101412,963,1.0,2.0003172769756223,0.6513661348023898,1.8046161375597924e-67,12.05553923505346,7.7175995366496855,1.0
959,MTF1_code_potential_somatic,ENSG00000101412,959,1.0,2.0003172769756223,0.7769628587535349,8.154332160431679e-112,5.570339419400916,1.8031613053738278,1.0
2959,MTF1_code_potential_somatic,ENSG00000099326,2959,1.0,3.311965374380684,-0.17563880918228794,3.5589447386942476e-05,-5.219734199733198,1.5638995824184436,1.0
2950,MTF1_code_potential_somatic,ENSG00000099326,2950,1.0,3.311965374380684,0.3406215926294005,2.3626796039625614e-16,5.742977736068793,1.7246630021305593,1.0
3526,MTF1_code_potential_somatic,ENSG00000153234,3526,-1.0,1.5214509686705058,0.28253318163253655,1.6218199881278203e-11,-8.158518908621593,3.7861185279817384,1.0
572,MTF1_code_potential_somatic,ENSG00000090447,572,1.0,1.7232807135391472,0.1503803056722929,0.00041183508976767,4.272355240072559,1.499142644122826,1.0
2535,MTF1_code_potential_somatic,ENSG00000177732,2535,1.0,1.7232807135391472,0.2885142939937233,5.759408803257556e-12,3.6867069778772423,1.3438023579968614,1.0
3602,MTF1_code_potential_somatic,ENSG00000166478,3602,1.0,1.799138430877933,0.547348273134645,3.751574126272493e-44,3.694056645730053,1.3112224424829078,1.0
3607,MTF1_code_potential_somatic,ENSG00000166478,3607,1.0,1.799138430877933,0.4118662778331112,7.502492509060433e-24,5.196801484312434,1.6116844894143507,1.0
3606,MTF1_code_potential_somatic,ENSG00000166478,3606,1.0,1.799138430877933,0.5588034916850769,2.51626080751731e-46,3.9117637529947493,1.4879474123045222,1.0
3041,MTF1_code_potential_somatic,ENSG00000183734,3041,-1.0,1.8567961459578093,-0.3537216462467799,1.3526334008306997e-17,4.693017266106129,1.6675060391330736,1.0
3040,MTF1_code_potential_somatic,ENSG00000183734,3040,-1.0,1.8567961459578093,-0.26506586012361094,2.901186024188211e-10,10.635820368842106,3.3972559768026716,1.0
3302,MTF1_code_potential_somatic,ENSG00000006704,3302,1.0,1.4702629293039153,0.560984427625908,9.491054619532947e-47,4.1765766246074065,1.350363023526352,1.0
1887,MTF1_code_potential_somatic,ENSG00000185697,1887,1.0,1.7195982824377471,0.4812984870682071,4.036880256481482e-33,6.1838506541827645,1.823090391735429,1.0
3104,MTF1_code_potential_somatic,ENSG00000184486,3104,1.0,1.7055103119839434,0.5073930075149646,3.4200584568360427e-37,7.4223160973840825,2.04322117439028,1.0
948,MTF1_code_potential_somatic,ENSG00000001167,948,1.0,3.2238006665477217,0.33278359659663453,1.2275265310019254e-15,7.6654137460542575,2.177465101466809,1.0
946,MTF1_code_potential_somatic,ENSG00000001167,946,1.0,3.2238006665477217,0.3569742005829587,6.510849095546955e-18,6.355944599581351,2.3704742222101194,1.0
949,MTF1_code_potential_somatic,ENSG00000001167,949,1.0,3.2238006665477217,0.3478501312214809,4.9565070544709605e-17,6.484854159705641,2.5244681668342914,1.0
947,MTF1_code_potential_somatic,ENSG00000001167,947,1.0,3.2238006665477217,0.48470650482428806,1.2414565535090387e-33,5.116837041839568,1.5675071791246948,1.0
251,MTF1_code_potential_somatic,ENSG00000177606,251,1.0,3.3926165973492584,0.7020705437872713,1.4989788859365892e-82,6.952039828613958,3.0139424147115834,0.75
248,MTF1_code_potential_somatic,ENSG00000177606,248,1.0,3.3926165973492584,0.2025454291165923,1.7505565855919237e-06,5.5367624898602505,2.0351220754620347,0.75
249,MTF1_code_potential_somatic,ENSG00000177606,249,1.0,3.3926165973492584,0.07227831277271271,0.09096297370830736,4.640434277975048,1.447062935735077,0.75
3713,MTF1_code_potential_somatic,ENSG00000163435,3713,-1.0,3.497795728938755,-0.13325431824805853,0.0017706101943254795,4.91374584097197,2.0149662478960075,1.0
3717,MTF1_code_potential_somatic,ENSG00000163435,3717,-1.0,3.497795728938755,0.32730183390687817,3.779874815497097e-15,-8.06563190181358,2.3603562453022247,1.0
2948,MTF1_code_potential_somatic,ENSG00000169016,2948,1.0,5.304180007181704,0.4359093665762544,8.02340715052771e-27,6.138368086059139,3.6740605926502257,1.0
744,MTF1_code_potential_somatic,ENSG00000196628,744,1.0,1.3840562557681642,-0.03028539715033802,0.4792518301183444,-3.8122295048535952,1.6195639529174304,1.0
2972,MTF1_code_potential_somatic,ENSG00000187079,2972,1.0,1.8330995006780104,0.3553581685417437,9.372750743738827e-18,4.0242063251458635,1.4053699110470832,1.0
2970,MTF1_code_potential_somatic,ENSG00000187079,2970,1.0,1.8330995006780104,0.45223907794733165,5.578391551470065e-29,10.401452560343273,2.8502519489335074,1.0
1839,MTF1_code_potential_somatic,ENSG00000112658,1839,-1.0,4.358349730877994,0.43930433182194023,2.919581539654522e-27,-7.380640090452792,2.7058364197954723,0.5
3074,MTF1_code_potential_somatic,ENSG00000100968,3074,-1.0,3.0304013216078562,-0.26343400464800626,3.7588970020749597e-10,5.245768046958196,1.5543280475298853,1.0
