,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2408,MYH15_code_potential_somatic,ENSG00000198815,2408,1.0,1.5583570129794595,0.6558470105777108,1.0989746058201963e-68,4.300239275042251,2.0771683010291713,1.0
3239,MYH15_code_potential_somatic,ENSG00000117505,3239,-1.0,3.982108130776759,0.3595205338958018,3.6515292730432e-18,-2.8591319554694428,1.301790664223108,1.0
359,MYH15_code_potential_somatic,ENSG00000173039,359,1.0,1.3096459854626687,0.5368164285458548,3.160797124841531e-42,6.410962993156262,6.5419184400512576,1.0
3581,MYH15_code_potential_somatic,ENSG00000134138,3581,1.0,1.4959490694287945,0.35668215977774864,6.955033033573604e-18,8.450859355117464,4.299049627223813,1.0
2710,MYH15_code_potential_somatic,ENSG00000065970,2710,1.0,5.780669742278471,0.5400250126933841,8.324348036105775e-43,2.8899687260069533,1.49953949308051,0.8333333333333334
2706,MYH15_code_potential_somatic,ENSG00000065970,2706,1.0,5.780669742278471,-0.3391613156842976,3.2231586294591895e-16,-4.369736439590359,3.494126447721685,0.8333333333333334
2697,MYH15_code_potential_somatic,ENSG00000065970,2697,1.0,5.780669742278471,0.5235408587691396,6.796685341725451e-40,3.860613666983604,1.697921192763946,0.8333333333333334
2719,MYH15_code_potential_somatic,ENSG00000065970,2719,1.0,5.780669742278471,0.3324375227735316,1.3187394579292682e-15,5.092036872357653,2.369378930919785,0.8333333333333334
2698,MYH15_code_potential_somatic,ENSG00000065970,2698,1.0,5.780669742278471,0.3208602377292366,1.3770589688763898e-14,11.32794015333548,6.750547198808824,0.8333333333333334
1417,MYH15_code_potential_somatic,ENSG00000141448,1417,-1.0,1.5831893733421971,-0.192812089331174,5.466614965350945e-06,3.7289549824577812,1.3162114144765376,1.0
1423,MYH15_code_potential_somatic,ENSG00000141448,1423,-1.0,1.5831893733421971,-0.34686145935207535,6.151541869990881e-17,2.8866124064148573,1.3764300991406069,1.0
1421,MYH15_code_potential_somatic,ENSG00000141448,1421,-1.0,1.5831893733421971,-0.17144565398446926,5.4792583874736896e-05,7.169272235733096,2.880788688087046,1.0
692,MYH15_code_potential_somatic,ENSG00000188786,692,1.0,2.3875443456581746,0.5669748007067607,6.27984484898827e-48,2.8899687260069533,1.49953949308051,0.75
683,MYH15_code_potential_somatic,ENSG00000188786,683,1.0,2.3875443456581746,0.5801837953885554,1.2893418962724247e-50,4.731095789625898,3.5171209428976167,0.75
681,MYH15_code_potential_somatic,ENSG00000188786,681,1.0,2.3875443456581746,0.4554919239597204,2.006984358085897e-29,3.6474130506029985,1.6047300843645969,0.75
2849,MYH15_code_potential_somatic,ENSG00000116132,2849,1.0,2.6936719186266647,0.2183685718300429,2.43494282758526e-07,9.573091728795948,4.464138794134838,0.5
1211,MYH15_code_potential_somatic,ENSG00000172059,1211,-1.0,1.7731667067194394,0.21918147342716704,2.191238192326555e-07,-4.474843372496302,1.5271707501020078,1.0
3504,MYH15_code_potential_somatic,ENSG00000108511,3504,-1.0,1.3608453492171075,-0.27420838394764063,6.578335076091451e-11,3.8482625212039494,1.3715469308961934,1.0
