,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1586,MYO18A_code_potential_somatic,ENSG00000185811,1586,-1.0,1.3774210599037038,0.6233205921872924,2.6175272440063035e-60,-3.9629472291861494,1.319903324595402,1.0
1591,MYO18A_code_potential_somatic,ENSG00000185811,1591,-1.0,1.3774210599037038,0.5045122674274166,1.0023071857987585e-36,-6.539244187092499,1.972387795968726,1.0
1595,MYO18A_code_potential_somatic,ENSG00000185811,1595,-1.0,1.3774210599037038,0.45970832233167136,5.247039673838221e-30,-4.805854991568309,1.5627371086205941,1.0
1238,MYO18A_code_potential_somatic,ENSG00000151702,1238,-1.0,1.7442687796086775,0.6335156236726455,7.943540603589842e-63,-5.923554122160543,1.7616353681017693,1.0
221,MYO18A_code_potential_somatic,ENSG00000020633,221,-1.0,1.338078271006464,0.6379715611320159,5.8828214436437776e-64,-4.753424236874124,1.5039588242280904,1.0
227,MYO18A_code_potential_somatic,ENSG00000020633,227,-1.0,1.338078271006464,0.4475187360036436,2.4116916755157605e-28,-4.670003670860687,1.7404809039972404,1.0
344,MYO18A_code_potential_somatic,ENSG00000159216,344,-1.0,1.3583503425287287,0.46056329822208036,3.988216844167444e-30,-4.393210144057843,1.4233260421937053,1.0
3404,MYO18A_code_potential_somatic,ENSG00000170345,3404,-1.0,1.7674929424911285,0.43853700463262035,3.6727014873598426e-27,-4.2853707031029185,1.3819209251650082,1.0
468,MYO18A_code_potential_somatic,ENSG00000172216,468,-1.0,1.8257270894842887,0.3260471157707358,4.874133484092165e-15,-4.099320643959318,1.841604503038209,1.0
471,MYO18A_code_potential_somatic,ENSG00000172216,471,-1.0,1.8257270894842887,0.42785844691022656,8.430966507122299e-26,-13.778091582537565,5.968343022499617,1.0
2032,MYO18A_code_potential_somatic,ENSG00000054598,2032,-1.0,1.5254786740778936,0.29395303444251236,2.1987764799158302e-12,-4.048979743302357,1.342079619933736,1.0
2043,MYO18A_code_potential_somatic,ENSG00000054598,2043,-1.0,1.5254786740778936,0.44557682871686455,4.375383691115867e-28,-11.209189485571798,3.4636939019662556,1.0
104,MYO18A_code_potential_somatic,ENSG00000057657,104,-1.0,2.7540040628820095,0.40473180481873894,5.1473728401887207e-23,-8.326402451329447,2.4547079102866802,1.0
107,MYO18A_code_potential_somatic,ENSG00000057657,107,-1.0,2.7540040628820095,0.4791201762132656,8.518674804720277e-33,-5.571100374407267,1.6603120435118983,1.0
113,MYO18A_code_potential_somatic,ENSG00000057657,113,-1.0,2.7540040628820095,0.48237695985448864,2.783612097846488e-33,-5.913875212372019,1.8257270894842887,1.0
