,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1576,MYO9B_code_potential_somatic,ENSG00000105866,1576,1.0,1.7397420297570279,-0.2080037847905003,9.017529783655651e-07,-4.318122258026008,2.019662892896886,1.0
1578,MYO9B_code_potential_somatic,ENSG00000105866,1578,1.0,1.7397420297570279,-0.32483695117566297,6.221744664343175e-15,-3.8927634845880035,1.8886248405309536,1.0
1574,MYO9B_code_potential_somatic,ENSG00000105866,1574,1.0,1.7397420297570279,-0.21339921132211218,4.598802402890166e-07,-4.3793885792426615,2.109806181574395,1.0
1575,MYO9B_code_potential_somatic,ENSG00000105866,1575,1.0,1.7397420297570279,-0.3630196275484389,1.6354190401390349e-18,-3.634640032285825,1.7799958857805176,1.0
1550,MYO9B_code_potential_somatic,ENSG00000134323,1550,1.0,1.7397420297570279,-0.5060944650282776,5.560042287405335e-37,-3.335773465554195,1.6095533145464551,1.0
1445,MYO9B_code_potential_somatic,ENSG00000007372,1445,1.0,1.8724642984713398,-0.11901628989756842,0.005276349731374687,-4.11289682265387,2.0965714073456896,1.0
460,MYO9B_code_potential_somatic,ENSG00000172216,460,-1.0,1.9092888534569377,0.7538666239069344,1.1372637327826006e-101,-3.730597713930786,1.9408938640988729,1.0
473,MYO9B_code_potential_somatic,ENSG00000172216,473,-1.0,1.9092888534569377,0.5345396040510034,8.07633152170066e-42,-2.711017911947833,1.4534760653788432,1.0
470,MYO9B_code_potential_somatic,ENSG00000172216,470,-1.0,1.9092888534569377,0.7912697226895726,9.865638401480642e-119,-3.2156929400674117,1.5650177539805175,1.0
465,MYO9B_code_potential_somatic,ENSG00000172216,465,-1.0,1.9092888534569377,0.6702363459621111,9.855673053377899e-73,-2.7244912326668227,1.3151211114054318,1.0
478,MYO9B_code_potential_somatic,ENSG00000172216,478,-1.0,1.9092888534569377,0.5755761863000123,1.1527766325315883e-49,-7.906107027029192,6.228839128908738,1.0
466,MYO9B_code_potential_somatic,ENSG00000172216,466,-1.0,1.9092888534569377,0.5771642174250722,5.439436944656447e-50,-5.005173419760335,2.507252257568139,1.0
471,MYO9B_code_potential_somatic,ENSG00000172216,471,-1.0,1.9092888534569377,0.42785844691022656,8.430966507122299e-26,-3.4264389998105194,1.644852120137984,1.0
104,MYO9B_code_potential_somatic,ENSG00000057657,104,-1.0,1.3865190962176637,0.40473180481873894,5.1473728401887207e-23,-3.220588472278643,1.6074133274392968,1.0
108,MYO9B_code_potential_somatic,ENSG00000057657,108,-1.0,1.3865190962176637,0.3942166586929683,8.09091190283462e-22,-3.2351758520244296,1.5968454903730278,1.0
112,MYO9B_code_potential_somatic,ENSG00000057657,112,-1.0,1.3865190962176637,0.3249913208097778,6.031360266616106e-15,-3.0358836902817647,2.127868450660507,1.0
113,MYO9B_code_potential_somatic,ENSG00000057657,113,-1.0,1.3865190962176637,0.48237695985448864,2.783612097846488e-33,-3.7581903103599115,1.9092888534569377,1.0
98,MYO9B_code_potential_somatic,ENSG00000057657,98,-1.0,1.3865190962176637,0.4724170193943533,8.201656091476145e-32,-2.542874288666139,1.311413463072774,1.0
103,MYO9B_code_potential_somatic,ENSG00000057657,103,-1.0,1.3865190962176637,0.45062778564452827,9.218547571241051e-29,-3.4937557185518897,1.6497687464178485,1.0
99,MYO9B_code_potential_somatic,ENSG00000057657,99,-1.0,1.3865190962176637,0.36249089149885627,1.847643746754883e-18,-3.292516187360569,1.6600495385203435,1.0
110,MYO9B_code_potential_somatic,ENSG00000057657,110,-1.0,1.3865190962176637,0.3857823306489643,6.872456776722293e-21,-2.745850677124809,1.3607389055451906,1.0
111,MYO9B_code_potential_somatic,ENSG00000057657,111,-1.0,1.3865190962176637,0.30562263500725584,2.596515299717595e-13,-11.504004453923454,8.228742444749976,1.0
1640,MYO9B_code_potential_somatic,ENSG00000138795,1640,-1.0,1.6916675314508605,0.49156629176794214,1.1104592590630704e-34,-3.6131950738953926,1.7086251421014318,0.5
1658,MYO9B_code_potential_somatic,ENSG00000138795,1658,-1.0,1.6916675314508605,0.3525305864434585,1.7641937035158483e-17,-3.3714912357687314,1.6814503323313585,0.5
1646,MYO9B_code_potential_somatic,ENSG00000138795,1646,-1.0,1.6916675314508605,0.4449703609573309,5.265831785172236e-28,-2.9027709599242124,1.3800307822426752,0.5
2683,MYO9B_code_potential_somatic,ENSG00000102034,2683,-1.0,2.3449159714505674,0.6078213305259013,1.1804992873636761e-56,-4.048164224463822,2.6641147218226378,1.0
2686,MYO9B_code_potential_somatic,ENSG00000102034,2686,-1.0,2.3449159714505674,0.589135020875905,1.652764007935638e-52,-2.8114319250503246,1.3740583925490177,1.0
2678,MYO9B_code_potential_somatic,ENSG00000102034,2678,-1.0,2.3449159714505674,0.51862214999752,4.6843379447009314e-39,-2.7063745490081077,1.3048539892714752,1.0
2694,MYO9B_code_potential_somatic,ENSG00000102034,2694,-1.0,2.3449159714505674,0.6464928933910492,3.5893925114567785e-66,-4.023717130477791,1.93611354509316,1.0
2689,MYO9B_code_potential_somatic,ENSG00000102034,2689,-1.0,2.3449159714505674,0.3631826811705339,1.5749549717887208e-18,-2.646109426063752,1.3995628196405145,1.0
2692,MYO9B_code_potential_somatic,ENSG00000102034,2692,-1.0,2.3449159714505674,0.5753680493535116,1.2716446576833584e-49,-3.423944329572481,1.7385379216434997,1.0
2685,MYO9B_code_potential_somatic,ENSG00000102034,2685,-1.0,2.3449159714505674,0.4445374486465286,6.008913461312989e-28,-3.511403351553098,1.6991833910545626,1.0
3271,MYO9B_code_potential_somatic,ENSG00000182158,3271,-1.0,1.3178794696505742,0.47845595656416223,1.0685729429929713e-32,-3.079329036927746,1.4840560917576067,1.0
3545,MYO9B_code_potential_somatic,ENSG00000167157,3545,-1.0,1.6918466148424767,0.15623982149578777,0.00024094113892140058,-3.808309611708166,1.9099997680277656,0.6666666666666666
3552,MYO9B_code_potential_somatic,ENSG00000167157,3552,-1.0,1.6918466148424767,-0.3878530493662969,4.0877649762604634e-21,3.936254095426497,1.9298988031250635,0.6666666666666666
231,MYO9B_code_potential_somatic,ENSG00000135363,231,-1.0,1.5737978998308657,0.2710912343496572,1.0979342822017536e-10,-2.7556167718630435,1.4090187708543593,1.0
0,MYO9B_code_potential_somatic,ENSG00000147862,0,1.0,1.703118055004286,-0.26712268783710935,2.0878702336538072e-10,-2.870347507819332,1.5291944198077516,1.0
2,MYO9B_code_potential_somatic,ENSG00000147862,2,1.0,1.703118055004286,0.24885281923651273,3.5191623201939226e-09,3.2284460764291745,1.5891522781565952,1.0
59,MYO9B_code_potential_somatic,ENSG00000166888,59,-1.0,1.948530901365909,0.6505493684954838,2.99025525314678e-67,-2.7511807288033383,1.4170793473730363,1.0
71,MYO9B_code_potential_somatic,ENSG00000166888,71,-1.0,1.948530901365909,-0.3451919400821229,8.843804960801743e-17,3.5235723862471775,1.7110158814108625,1.0
66,MYO9B_code_potential_somatic,ENSG00000166888,66,-1.0,1.948530901365909,0.4593280494729521,5.9264545248030955e-30,-3.002212930601018,1.4797756649743599,1.0
65,MYO9B_code_potential_somatic,ENSG00000166888,65,-1.0,1.948530901365909,0.5148827421530532,1.99018946659297e-38,-4.111185282741722,2.21273866389517,1.0
2561,MYO9B_code_potential_somatic,ENSG00000175745,2561,1.0,1.9918631573178631,-0.24991678113134932,3.0032564263120494e-09,-3.2219953098025864,1.8339288553976358,1.0
