,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
638,NALCN_code_potential_somatic,ENSG00000115844,638,1.0,1.9507155390942188,-0.29335108766423285,2.4485398762962622e-12,-3.2102835522167075,1.3698559290939354,1.0
1581,NALCN_code_potential_somatic,ENSG00000105866,1581,1.0,1.3751029316519576,0.3174751165556365,2.683239351199029e-14,3.580003122434935,1.4650720289843344,1.0
1550,NALCN_code_potential_somatic,ENSG00000134323,1550,1.0,1.3751029316519576,-0.5060944650282776,5.560042287405335e-37,-3.5469234925018283,1.4788165013807675,1.0
2112,NALCN_code_potential_somatic,ENSG00000069667,2112,-1.0,1.5275859524079647,0.4309491209498844,3.443222759773247e-26,-3.2692009958222976,1.4026847664696098,1.0
474,NALCN_code_potential_somatic,ENSG00000172216,474,-1.0,2.7975654230541385,0.41311158941148274,5.335087311770491e-24,-3.6596441910969264,1.5725052077806392,1.0
465,NALCN_code_potential_somatic,ENSG00000172216,465,-1.0,2.7975654230541385,0.6702363459621111,9.855673053377899e-73,-3.083740415569074,1.3116742849972804,1.0
472,NALCN_code_potential_somatic,ENSG00000172216,472,-1.0,2.7975654230541385,0.7355169089438647,2.210997179429216e-94,-5.683004182245845,2.355975381853467,1.0
466,NALCN_code_potential_somatic,ENSG00000172216,466,-1.0,2.7975654230541385,0.5771642174250722,5.439436944656447e-50,-5.106357738497277,2.234621288362603,1.0
471,NALCN_code_potential_somatic,ENSG00000172216,471,-1.0,2.7975654230541385,0.42785844691022656,8.430966507122299e-26,-5.937778985563014,3.434671602579586,1.0
358,NALCN_code_potential_somatic,ENSG00000173039,358,-1.0,4.596461573585006,0.563718527498905,2.7670601494996506e-47,-3.796670728066245,1.6659257399865668,1.0
1764,NALCN_code_potential_somatic,ENSG00000116017,1764,-1.0,1.5158940041523248,0.1869322932743039,1.0584889123044665e-05,-3.147496909498257,1.3782065313562568,1.0
1765,NALCN_code_potential_somatic,ENSG00000116017,1765,-1.0,1.5158940041523248,0.2838979346188817,1.283365584896435e-11,-3.1219650494547024,1.4887546339254836,1.0
1755,NALCN_code_potential_somatic,ENSG00000116017,1755,-1.0,1.5158940041523248,0.3221048201170832,1.075261721019302e-14,-4.565975181937272,1.8646583062577722,1.0
1768,NALCN_code_potential_somatic,ENSG00000116017,1768,-1.0,1.5158940041523248,0.33234491557687323,1.3442560533141814e-15,-3.6589221228844586,1.6450784655993849,1.0
3441,NALCN_code_potential_somatic,ENSG00000140044,3441,1.0,2.9663276923134307,-0.33179875187374624,1.5049103791338916e-15,-3.112149481468784,1.3345790250584155,1.0
1548,NALCN_code_potential_somatic,ENSG00000123364,1548,1.0,2.3116082438203716,0.45285051907844587,4.607026336387008e-29,6.801376835229672,3.4809479748923264,1.0
3620,NALCN_code_potential_somatic,ENSG00000105880,3620,1.0,2.0616691110843486,-0.20213751993698048,1.8382032095394716e-06,-2.965975811692507,1.308513778088942,1.0
37,NALCN_code_potential_somatic,ENSG00000125347,37,-1.0,1.611497411513231,0.43597893135232685,7.859815539093867e-27,-5.314637552407245,2.3738769479468185,1.0
49,NALCN_code_potential_somatic,ENSG00000125347,49,-1.0,1.611497411513231,0.622341580988603,4.516402207164773e-60,-4.076186859974805,1.6931766494699336,1.0
35,NALCN_code_potential_somatic,ENSG00000125347,35,-1.0,1.611497411513231,0.5707869358517241,1.083363300896522e-48,-2.760541344747353,1.3346263176189614,1.0
39,NALCN_code_potential_somatic,ENSG00000125347,39,-1.0,1.611497411513231,0.48126647560416536,4.081585598377184e-33,-3.7884657122793333,1.591915591862021,1.0
1427,NALCN_code_potential_somatic,ENSG00000116035,1427,1.0,1.5637782162160436,-0.1487223451758979,0.00047763546936537357,-3.4061763782923675,1.494559068069438,1.0
1839,NALCN_code_potential_somatic,ENSG00000112658,1839,-1.0,2.6132001587735565,0.43930433182194023,2.919581539654522e-27,-5.675863364415914,3.1303718490910883,1.0
