,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2500,NEFM_code_potential_somatic,ENSG00000184058,2500,-1.0,1.4440557660522078,-0.4294196751368483,5.36936576208349e-26,5.539678128594332,3.0687467507456163,1.0
2494,NEFM_code_potential_somatic,ENSG00000184058,2494,-1.0,1.4440557660522078,-0.26336599037643516,3.7995491372470845e-10,3.2713913735619053,1.7983381221686967,1.0
2502,NEFM_code_potential_somatic,ENSG00000184058,2502,-1.0,1.4440557660522078,0.3455937492616955,8.10554305993789e-17,-4.877801800633573,2.8944949633495116,1.0
2496,NEFM_code_potential_somatic,ENSG00000184058,2496,-1.0,1.4440557660522078,-0.18651243897039507,1.1087687294694841e-05,3.8976981967520112,1.8042133936325742,1.0
2497,NEFM_code_potential_somatic,ENSG00000184058,2497,-1.0,1.4440557660522078,0.3833071213626891,1.2726591206046816e-20,-2.939672990187543,1.3652063798158238,1.0
3068,NEFM_code_potential_somatic,ENSG00000111206,3068,-1.0,1.5573764995344315,-0.28459015518413994,1.1391442020903926e-11,3.3945586934746848,1.506056438669889,1.0
3523,NEFM_code_potential_somatic,ENSG00000153234,3523,-1.0,1.6905762887643079,0.12843859818371767,0.0025928454275054203,-2.9099084362735095,1.3691059528650427,0.5
1531,NEFM_code_potential_somatic,ENSG00000113916,1531,1.0,1.3601929179768315,0.31463397151358885,4.666481870643881e-14,4.830365670512634,2.318674346530646,1.0
1533,NEFM_code_potential_somatic,ENSG00000113916,1533,1.0,1.3601929179768315,-0.19397182568233826,4.787112997302301e-06,-2.9027985838686803,1.5313858738088713,1.0
1529,NEFM_code_potential_somatic,ENSG00000113916,1529,1.0,1.3601929179768315,0.2930879228038076,2.566260578578119e-12,3.04072981773178,1.422305446488011,1.0
1772,NEFM_code_potential_somatic,ENSG00000197063,1772,1.0,2.147411985610222,0.5323513032858711,1.976415977689214e-41,3.622921252833098,2.09729453840354,1.0
1776,NEFM_code_potential_somatic,ENSG00000197063,1776,1.0,2.147411985610222,0.3325867880739723,1.2786095802454146e-15,4.174665617418876,2.3417053401270906,1.0
1722,NEFM_code_potential_somatic,ENSG00000170365,1722,1.0,1.856239318989659,0.45593395925589614,1.7451918718574865e-29,5.594028944379561,3.62639818013439,1.0
1712,NEFM_code_potential_somatic,ENSG00000170365,1712,1.0,1.856239318989659,0.3742934964153359,1.1483934217396214e-19,2.888335278844,1.3899974597073814,1.0
1705,NEFM_code_potential_somatic,ENSG00000170365,1705,1.0,1.856239318989659,0.33002324586474235,2.168798463495684e-15,3.030159993632251,1.9802980501109035,1.0
3365,NEFM_code_potential_somatic,ENSG00000105516,3365,1.0,1.4562289677135605,0.05393333754805457,0.20745957620216546,9.378615485090512,4.517925650324131,1.0
3363,NEFM_code_potential_somatic,ENSG00000105516,3363,1.0,1.4562289677135605,0.40384926552648986,6.51105186434234e-23,6.328479014483678,2.6371100216349324,1.0
1107,NEFM_code_potential_somatic,ENSG00000176887,1107,-1.0,1.5200968575864109,-0.1746978617289968,3.9242353738663085e-05,3.1248919485572033,1.402322072760455,1.0
1683,NEFM_code_potential_somatic,ENSG00000105997,1683,-1.0,1.4567152762984172,-0.3613915756893783,2.3794402024027917e-18,3.7039614193676513,1.5735180387769003,1.0
1702,NEFM_code_potential_somatic,ENSG00000105997,1702,-1.0,1.4567152762984172,-0.20144017772721945,1.9978626431559333e-06,2.2338568660593556,1.4248396883263774,1.0
1692,NEFM_code_potential_somatic,ENSG00000105997,1692,-1.0,1.4567152762984172,-0.19580218237023253,3.876084948608755e-06,5.366976712236541,2.5252739342816755,1.0
1694,NEFM_code_potential_somatic,ENSG00000105997,1694,-1.0,1.4567152762984172,-0.364496726142171,1.161643841211422e-18,4.194816330680435,2.071734890725279,1.0
1696,NEFM_code_potential_somatic,ENSG00000105997,1696,-1.0,1.4567152762984172,-0.254596013334257,1.4826184992271661e-09,3.6423037284258903,1.807849786998776,1.0
1693,NEFM_code_potential_somatic,ENSG00000105997,1693,-1.0,1.4567152762984172,-0.23666181614901446,2.0549527266679992e-08,3.505057819260276,1.6104923879137398,1.0
1695,NEFM_code_potential_somatic,ENSG00000105997,1695,-1.0,1.4567152762984172,-0.18650682022363238,1.1094567778049381e-05,3.685812164612382,1.5821110573229362,1.0
1701,NEFM_code_potential_somatic,ENSG00000105997,1701,-1.0,1.4567152762984172,-0.18737072924918127,1.0083049484000519e-05,4.9398093879406355,2.038973147710102,1.0
1691,NEFM_code_potential_somatic,ENSG00000105997,1691,-1.0,1.4567152762984172,-0.26528270834956247,2.8026596874461253e-10,6.359120880463161,3.045042365699264,1.0
954,NEFM_code_potential_somatic,ENSG00000001167,954,-1.0,2.225780478650573,0.18282184628561654,1.6599030319722517e-05,-3.8808783829983367,1.7173514498875393,0.6666666666666666
946,NEFM_code_potential_somatic,ENSG00000001167,946,-1.0,2.225780478650573,0.3569742005829587,6.510849095546955e-18,-2.952290425745287,1.34885056347519,0.6666666666666666
2938,NEFM_code_potential_somatic,ENSG00000198807,2938,-1.0,2.0680879874913476,-0.3008922971788895,6.244955425181483e-13,4.319838360322369,2.6986944986203842,1.0
