,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3532,NF1_code_potential_somatic,ENSG00000143437,3532,1.0,1.5910884294062442,0.21110277160214172,6.138372932581186e-07,2.4503052593888603,1.6920544901450256,1.0
1313,NF1_code_potential_somatic,ENSG00000125952,1313,1.0,1.8311154783514534,0.6383058949876683,4.830752998599309e-64,2.8702127575617506,2.133656365108896,1.0
1311,NF1_code_potential_somatic,ENSG00000125952,1311,1.0,1.8311154783514534,0.4344864971050772,1.2215048897877538e-26,4.498783236508228,4.016740117113651,1.0
1308,NF1_code_potential_somatic,ENSG00000125952,1308,1.0,1.8311154783514534,0.293091131242117,2.5647925652965465e-12,3.2118224029180147,2.492192888960353,1.0
1317,NF1_code_potential_somatic,ENSG00000125952,1317,1.0,1.8311154783514534,0.2754762215709579,5.331152556561886e-11,2.63304333188207,1.8512915840517499,1.0
1321,NF1_code_potential_somatic,ENSG00000125952,1321,1.0,1.8311154783514534,0.2524084251548272,2.0659450496917834e-09,2.7863085943975174,2.0305014936208563,1.0
1307,NF1_code_potential_somatic,ENSG00000125952,1307,1.0,1.8311154783514534,0.3594368228235468,3.721926650177375e-18,4.095038390808139,3.4988341348153056,1.0
1310,NF1_code_potential_somatic,ENSG00000125952,1310,1.0,1.8311154783514534,0.1946859219633426,4.409687713544408e-06,4.730764408717192,4.1970915976884,1.0
1037,NF1_code_potential_somatic,ENSG00000137203,1037,-1.0,1.4836803991497025,0.188860127183953,8.542161780917127e-06,-3.5334163549037223,2.8802948852104615,1.0
3508,NF1_code_potential_somatic,ENSG00000111145,3508,1.0,5.036108632477775,0.3742587869463521,1.158009875598377e-19,2.6181902288690626,1.852821900413808,1.0
1596,NF1_code_potential_somatic,ENSG00000185811,1596,1.0,1.743992163980476,0.29259323995173636,2.8027125371516682e-12,3.2358018756047193,2.514836103565481,1.0
1594,NF1_code_potential_somatic,ENSG00000185811,1594,1.0,1.743992163980476,0.4067356203810794,3.010990387751692e-23,3.98805179157794,3.415806773461126,1.0
1588,NF1_code_potential_somatic,ENSG00000185811,1588,1.0,1.743992163980476,0.3550750238609369,9.988427254548676e-18,2.8752254254159864,2.116334782049451,1.0
