,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2728,NIPBL_code_potential_somatic,ENSG00000130726,2728,1.0,1.3236134367386538,0.4123955972351137,6.4915270866524605e-24,3.985116711549909,1.7323251910701694,1.0
1810,NIPBL_code_potential_somatic,ENSG00000281306,1810,-1.0,1.5424737875468812,0.5363910187936461,3.768390707530011e-42,-6.844509161109822,4.723421417608843,0.5
902,NIPBL_code_potential_somatic,ENSG00000105672,902,-1.0,1.4812422346364793,0.20568911530740816,1.1973037297252491e-06,-4.521728283812381,1.5042643513308671,1.0
2281,NIPBL_code_potential_somatic,ENSG00000118689,2281,1.0,4.722539129139739,0.6482331677122894,1.2416596535060004e-66,6.77845429411232,2.3111863724493333,1.0
2291,NIPBL_code_potential_somatic,ENSG00000118689,2291,1.0,4.722539129139739,-0.33896458008068786,3.3604576610767404e-16,-5.131173242397926,1.7078732884035523,1.0
2289,NIPBL_code_potential_somatic,ENSG00000118689,2289,1.0,4.722539129139739,0.6409212826432166,1.0255208479425349e-64,5.901432450503811,2.8927225929340423,1.0
3610,NIPBL_code_potential_somatic,ENSG00000166478,3610,-1.0,1.5727281412803535,0.23715704073192645,1.916333259445287e-08,-4.551158220375674,3.2158405856451497,0.3333333333333333
1661,NIPBL_code_potential_somatic,ENSG00000143190,1661,1.0,2.293906743534673,-0.25581979718732256,1.2297942417200733e-09,-5.6763750979398235,2.0406718308526797,1.0
1667,NIPBL_code_potential_somatic,ENSG00000143190,1667,1.0,2.293906743534673,0.6538399865770609,3.871989707205816e-68,5.571467448023491,1.9449190844123152,1.0
975,NIPBL_code_potential_somatic,ENSG00000066136,975,-1.0,1.3553540210444783,0.45642149604082355,1.495516009088608e-29,-4.158442928515515,1.5043722056219138,1.0
3088,NIPBL_code_potential_somatic,ENSG00000119725,3088,-1.0,8.242836327405735,0.36014712731382187,3.1646230020277296e-18,-4.020331549298046,1.5852628455181406,1.0
2353,NIPBL_code_potential_somatic,ENSG00000155959,2353,-1.0,1.545736198074625,0.5774814882224429,4.679188468862829e-50,-3.8894727855656357,1.389471329993304,0.5
