,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
107,NUP210L_code_potential_somatic,ENSG00000057657,107,-1.0,1.4386697181878378,0.4791201762132656,8.518674804720277e-33,-2.4390996760351964,1.3731542788618722,1.0
103,NUP210L_code_potential_somatic,ENSG00000057657,103,-1.0,1.4386697181878378,0.45062778564452827,9.218547571241051e-29,-2.794753070400116,1.471254194070785,1.0
109,NUP210L_code_potential_somatic,ENSG00000057657,109,-1.0,1.4386697181878378,0.38778133355384053,4.162238320481003e-21,-4.528076151741,2.7267118727169413,1.0
1646,NUP210L_code_potential_somatic,ENSG00000138795,1646,-1.0,3.0470087852451755,0.4449703609573309,5.265831785172236e-28,-3.1743128541226593,1.6767396993320447,1.0
2683,NUP210L_code_potential_somatic,ENSG00000102034,2683,-1.0,2.1152109080223713,0.6078213305259013,1.1804992873636761e-56,-3.4890680143397996,1.90981772516053,1.0
2693,NUP210L_code_potential_somatic,ENSG00000102034,2693,-1.0,2.1152109080223713,0.5151152904018638,1.8199173483127427e-38,-4.575075412498346,3.560889978472326,1.0
3711,NUP210L_code_potential_somatic,ENSG00000163435,3711,-1.0,1.4412339221352244,0.1713368767617699,5.540195542884278e-05,-3.512858393769039,1.9356459056845434,1.0
3716,NUP210L_code_potential_somatic,ENSG00000163435,3716,-1.0,1.4412339221352244,0.1722850432012573,5.029882446997653e-05,-4.575075412498346,3.560889978472326,1.0
67,NUP210L_code_potential_somatic,ENSG00000166888,67,-1.0,1.6387111975831978,0.22734286545771254,7.431307884206914e-08,-3.5625867656232497,2.2400671030160755,1.0
1474,NUP210L_code_potential_somatic,ENSG00000087510,1474,-1.0,1.460398824074277,0.1242875076783873,0.0035664792313555723,-3.5241111045039313,1.8973361657365624,1.0
1470,NUP210L_code_potential_somatic,ENSG00000087510,1470,-1.0,1.460398824074277,0.22247778739014765,1.4228685801076825e-07,-4.656307904951776,3.0804904768482464,1.0
1478,NUP210L_code_potential_somatic,ENSG00000087510,1478,-1.0,1.460398824074277,0.18597004834244504,1.1770953620639454e-05,-2.7776766066787153,1.5572699205417322,1.0
1467,NUP210L_code_potential_somatic,ENSG00000087510,1467,-1.0,1.460398824074277,0.3621860031536285,1.9821152866970234e-18,-2.510636266892067,1.3040081786453923,1.0
36,NUP210L_code_potential_somatic,ENSG00000125347,36,-1.0,3.370094246947421,0.3043316761020275,3.3044246213372823e-13,-2.82765045791097,1.4982343118250732,1.0
493,NUP210L_code_potential_somatic,ENSG00000068305,493,-1.0,1.3944685147051583,0.5455885905600307,7.95616765330567e-44,-4.014474817447925,2.1888837032422086,1.0
500,NUP210L_code_potential_somatic,ENSG00000068305,500,-1.0,1.3944685147051583,0.40121105420751324,1.3090178053946188e-22,-3.4841839130561274,1.931684017960108,1.0
502,NUP210L_code_potential_somatic,ENSG00000068305,502,-1.0,1.3944685147051583,0.23859733785664802,1.562696822756122e-08,-2.5698907483043185,1.4038905336293783,1.0
1236,NUP210L_code_potential_somatic,ENSG00000110777,1236,-1.0,2.046291578365896,0.3683191597506944,4.753848317408781e-19,-4.124725913559902,2.1926874880389375,1.0
411,NUP210L_code_potential_somatic,ENSG00000109320,411,-1.0,1.5125824288613794,0.7727425956718023,7.149457807593363e-110,-4.647424920243791,2.606979647581261,1.0
421,NUP210L_code_potential_somatic,ENSG00000109320,421,-1.0,1.5125824288613794,0.4586968621546253,7.251386700201355e-30,-4.575075412498346,3.560889978472326,1.0
1619,NUP210L_code_potential_somatic,ENSG00000181690,1619,-1.0,2.4468818766769465,0.21888053649755354,2.2785839168686105e-07,-3.7073389408092097,2.010102092050851,1.0
