,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1312,OR2H1_code_potential_somatic,ENSG00000125952,1312,-1.0,2.095079258223324,0.18527542656369622,1.2704645156366256e-05,-4.029513629336667,1.3782057825457337,1.0
1307,OR2H1_code_potential_somatic,ENSG00000125952,1307,-1.0,2.095079258223324,0.3594368228235468,3.721926650177375e-18,-6.067114660988761,1.6837782448084608,1.0
2413,OR2H1_code_potential_somatic,ENSG00000198815,2413,-1.0,4.4539498857900135,0.22846676681369338,6.382464698239084e-08,-8.84217082551529,2.495877682536298,1.0
2414,OR2H1_code_potential_somatic,ENSG00000198815,2414,-1.0,4.4539498857900135,0.5548471955733468,1.4485774081206976e-45,-6.753974722093236,1.828157119490482,1.0
2404,OR2H1_code_potential_somatic,ENSG00000198815,2404,-1.0,4.4539498857900135,0.23495940632807583,2.6094891426374387e-08,-4.315896955779652,1.5914829000232515,1.0
1065,OR2H1_code_potential_somatic,ENSG00000146592,1065,-1.0,1.6607272259574635,0.47229604668627756,8.539892242276056e-32,-4.2031582853276666,1.337859788025984,1.0
3751,OR2H1_code_potential_somatic,ENSG00000163666,3751,-1.0,2.3964610359267513,0.24013607570222692,1.2548504380198814e-08,-10.78273667363225,3.1886963373169355,1.0
2811,OR2H1_code_potential_somatic,ENSG00000277615,2811,-1.0,2.4089230292798907,0.24881767225321408,3.537595533144135e-09,-5.897764448569175,1.64702569159976,0.8
2810,OR2H1_code_potential_somatic,ENSG00000277615,2810,-1.0,2.4089230292798907,0.3974048984248537,3.546085412454889e-22,-4.496258795780657,1.4638940059632106,0.8
2818,OR2H1_code_potential_somatic,ENSG00000277615,2818,-1.0,2.4089230292798907,0.19634840344099175,3.6380346839514152e-06,-4.087364502659719,1.313182817982889,0.8
2815,OR2H1_code_potential_somatic,ENSG00000277615,2815,-1.0,2.4089230292798907,0.1397222382036479,0.0010401139477505266,-4.708332779456676,1.4438134910416789,0.8
3418,OR2H1_code_potential_somatic,ENSG00000100393,3418,-1.0,1.670110821220757,0.4573433387023632,1.1161228377162261e-29,-8.47545270217572,3.325676242167262,1.0
84,OR2H1_code_potential_somatic,ENSG00000213928,84,-1.0,2.841298934355337,0.41823663209647305,1.29186083823815e-24,-6.9579520390029215,2.4045028486264366,1.0
899,OR2H1_code_potential_somatic,ENSG00000154727,899,-1.0,5.441506176896091,0.3362756900202329,5.925380504056038e-16,-4.962338284449566,1.543262429463451,1.0
897,OR2H1_code_potential_somatic,ENSG00000154727,897,-1.0,5.441506176896091,0.2641254231036872,3.3689461255496257e-10,-2.989274361680215,1.3266902317873333,1.0
893,OR2H1_code_potential_somatic,ENSG00000154727,893,-1.0,5.441506176896091,0.5249383524100513,3.9047549213421055e-40,-5.596407669112465,1.5933038828769632,1.0
834,OR2H1_code_potential_somatic,ENSG00000152284,834,1.0,1.863666825758596,-0.22092015531466508,1.7463831148306196e-07,-3.4933115871160823,1.502358249626229,0.5
514,OR2H1_code_potential_somatic,ENSG00000120690,514,-1.0,1.9071420306048932,0.720242482100378,9.169289141148163e-89,-4.75605722585043,1.4820743505314233,1.0
507,OR2H1_code_potential_somatic,ENSG00000120690,507,-1.0,1.9071420306048932,0.5498461152775842,1.280646954745424e-44,-3.7951032104189797,1.4528562998161187,1.0
517,OR2H1_code_potential_somatic,ENSG00000120690,517,-1.0,1.9071420306048932,0.2836962405197029,1.328643090097679e-11,-7.241696401017794,2.2902620845760335,1.0
523,OR2H1_code_potential_somatic,ENSG00000120690,523,-1.0,1.9071420306048932,0.40953542032036705,1.4147287578135794e-23,-6.171611019898557,1.8689808519291562,1.0
508,OR2H1_code_potential_somatic,ENSG00000120690,508,-1.0,1.9071420306048932,0.20662371880313293,1.0682225059638864e-06,-4.614577532473119,1.4593390408460871,1.0
526,OR2H1_code_potential_somatic,ENSG00000120690,526,-1.0,1.9071420306048932,0.2089590243780789,8.01437166323556e-07,-3.8690038466560015,1.3493423630480672,1.0
2280,OR2H1_code_potential_somatic,ENSG00000118689,2280,-1.0,1.308374946931746,0.23757034592142234,1.8076150531486775e-08,-3.857657917317212,1.342434708174088,1.0
2281,OR2H1_code_potential_somatic,ENSG00000118689,2281,-1.0,1.308374946931746,0.6482331677122894,1.2416596535060004e-66,-7.152159301602695,2.2046548578490044,1.0
2283,OR2H1_code_potential_somatic,ENSG00000118689,2283,-1.0,1.308374946931746,0.4234887726899481,2.943910781491026e-25,-5.642305680771663,1.6246790534396516,1.0
2279,OR2H1_code_potential_somatic,ENSG00000118689,2279,-1.0,1.308374946931746,0.1440087117850387,0.0007219641993435677,-4.401508394116725,1.7215383000834852,1.0
2286,OR2H1_code_potential_somatic,ENSG00000118689,2286,-1.0,1.308374946931746,0.3691780061262213,3.882791659267247e-19,-6.256175772025107,1.7411152298113592,1.0
870,OR2H1_code_potential_somatic,ENSG00000244405,870,-1.0,1.3277341396822806,0.3044180851792245,3.2516492814834757e-13,-4.53234459821768,1.4505289349499206,1.0
3579,OR2H1_code_potential_somatic,ENSG00000134138,3579,-1.0,2.2213079144244214,0.31516730146347816,4.2079561259888874e-14,-4.9848885792969515,1.7510695675521177,1.0
3581,OR2H1_code_potential_somatic,ENSG00000134138,3581,-1.0,2.2213079144244214,0.35668215977774864,6.955033033573604e-18,-14.444300235165802,30.650150381248253,1.0
3577,OR2H1_code_potential_somatic,ENSG00000134138,3577,-1.0,2.2213079144244214,0.6019454657365405,2.5430605829568647e-55,-10.580713002289988,7.659030041779277,1.0
3560,OR2H1_code_potential_somatic,ENSG00000025156,3560,-1.0,2.0319399563977933,0.33988306846581307,2.765075481280327e-16,-4.40201136010192,1.3692444421793457,1.0
3433,OR2H1_code_potential_somatic,ENSG00000172845,3433,-1.0,1.4152325234421397,0.43254101678472634,2.1631187477965329e-26,-8.480560542157614,2.3097714841885635,1.0
2594,OR2H1_code_potential_somatic,ENSG00000185630,2594,-1.0,2.142795304536028,0.4522632870727573,5.53633587571199e-29,-7.413209096885901,1.9538765294685374,1.0
2589,OR2H1_code_potential_somatic,ENSG00000185630,2589,-1.0,2.142795304536028,0.283648041026009,1.3396920577205093e-11,-4.09402943127598,1.3981452775715597,1.0
335,OR2H1_code_potential_somatic,ENSG00000134532,335,-1.0,1.554378634412607,0.4231308859803424,3.2587484611528784e-25,-6.015442259653413,1.8434788226633818,1.0
3188,OR2H1_code_potential_somatic,ENSG00000176165,3188,-1.0,2.364442692034176,0.23484361087272657,2.652062970533431e-08,-7.023907702448866,3.035700273841461,1.0
3179,OR2H1_code_potential_somatic,ENSG00000176165,3179,-1.0,2.364442692034176,0.5844367991248547,1.654511029519718e-51,-4.957634106006664,1.5219116417003287,1.0
2488,OR2H1_code_potential_somatic,ENSG00000106511,2488,-1.0,1.6946873453781113,0.4415516970195869,1.4857751504158297e-27,-4.116770281677354,1.3725675202753043,1.0
2481,OR2H1_code_potential_somatic,ENSG00000106511,2481,-1.0,1.6946873453781113,0.38656628338225113,5.647822511674906e-21,-4.602963368968758,1.4487750197929303,1.0
1512,OR2H1_code_potential_somatic,ENSG00000177426,1512,-1.0,1.3266902317873333,-0.11612286189488766,0.006501171865858564,4.710619844087743,1.513981445716038,1.0
1516,OR2H1_code_potential_somatic,ENSG00000177426,1516,-1.0,1.3266902317873333,0.1936452212462493,4.9698406586946705e-06,-3.750771285699264,1.4093580821094842,1.0
3119,OR2H1_code_potential_somatic,ENSG00000156273,3119,-1.0,1.6327968266927937,0.4579719738538529,9.137558301042453e-30,-4.875887106090523,1.5767814838237697,1.0
3126,OR2H1_code_potential_somatic,ENSG00000156273,3126,-1.0,1.6327968266927937,0.43720630484378664,5.460383802447342e-27,-6.920734472580889,2.1656726562012785,1.0
1981,OR2H1_code_potential_somatic,ENSG00000179348,1981,1.0,1.4299319034333182,-0.19839903303502882,2.863126731538309e-06,-8.511074880968795,14.47248539435477,1.0
3656,OR2H1_code_potential_somatic,ENSG00000102908,3656,-1.0,1.6616001822302584,0.29923835320486897,8.455934493594522e-13,-3.4922295785192548,1.6773900966655937,1.0
