,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1408,OR2T3_code_potential_somatic,ENSG00000170689,1408,1.0,1.7746389317469993,-0.3006966149213196,6.473617378200403e-13,-4.827662625836947,1.7535818701966581,1.0
1813,OR2T3_code_potential_somatic,ENSG00000281306,1813,1.0,1.3298058072078531,0.5686354592080978,2.928966155671868e-48,8.142007197879344,7.740584203045904,1.0
1803,OR2T3_code_potential_somatic,ENSG00000281306,1803,1.0,1.3298058072078531,0.3945743266454167,7.3790697005791225e-22,4.748603803295141,1.5759076292075254,1.0
371,OR2T3_code_potential_somatic,ENSG00000112561,371,-1.0,4.871257023795777,0.3455223363089412,8.232171146233444e-17,-4.079028125759889,1.417718650247416,1.0
2448,OR2T3_code_potential_somatic,ENSG00000082641,2448,-1.0,1.4805566888718613,0.08596551060071664,0.04426942031161877,-3.5880078161030684,1.693069886451681,1.0
2447,OR2T3_code_potential_somatic,ENSG00000082641,2447,-1.0,1.4805566888718613,-0.09410553734888347,0.02760784457292977,5.363917521563109,3.4721316600550978,1.0
7,OR2T3_code_potential_somatic,ENSG00000126351,7,-1.0,4.29924923413737,0.5924389359447688,3.1973683806405464e-53,-6.008394797846147,2.107039360164367,0.3333333333333333
719,OR2T3_code_potential_somatic,ENSG00000168310,719,-1.0,1.4095318987922494,0.440857288882754,1.831614056765395e-27,-4.1109062818449305,1.4781667166170858,1.0
720,OR2T3_code_potential_somatic,ENSG00000168310,720,-1.0,1.4095318987922494,0.4530880744754368,4.276555181063284e-29,-7.37853499464878,3.265374194873029,1.0
716,OR2T3_code_potential_somatic,ENSG00000168310,716,-1.0,1.4095318987922494,0.532708314966847,1.708690346240468e-41,-3.8913914576720354,1.4134018391460628,1.0
718,OR2T3_code_potential_somatic,ENSG00000168310,718,-1.0,1.4095318987922494,0.38637399584084314,5.926628586168527e-21,-3.4751729364617527,1.4101262215839565,1.0
721,OR2T3_code_potential_somatic,ENSG00000168310,721,-1.0,1.4095318987922494,0.29651482659448264,1.3870363683253478e-12,-6.685484364624876,2.31327657612392,1.0
1253,OR2T3_code_potential_somatic,ENSG00000089220,1253,-1.0,1.3865875402491816,0.2657955610818475,2.582430391060707e-10,-4.894992207580025,1.6243008407676591,1.0
2830,OR2T3_code_potential_somatic,ENSG00000126456,2830,-1.0,3.254159021273437,0.5963904193990348,4.371680359735945e-54,-5.208480959222253,6.3074246089511306,0.6666666666666666
2845,OR2T3_code_potential_somatic,ENSG00000126456,2845,-1.0,3.254159021273437,0.3138394455176914,5.441759331843158e-14,-3.9723250665021625,1.4620904140846138,0.6666666666666666
381,OR2T3_code_potential_somatic,ENSG00000168610,381,-1.0,2.157907476681786,0.6895553864603211,1.539030800573697e-78,-2.572389674891749,1.4221368995884576,1.0
400,OR2T3_code_potential_somatic,ENSG00000168610,400,-1.0,2.157907476681786,-0.3085248553800964,1.5035098990997522e-13,7.44136708632808,3.0821177358429908,1.0
382,OR2T3_code_potential_somatic,ENSG00000168610,382,-1.0,2.157907476681786,0.5271250585653939,1.6319322723879584e-40,-3.7545693266728155,1.7484218161889775,1.0
