,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2200,OR4N4_code_potential_somatic,ENSG00000169083,2200,-1.0,5.081123758777526,0.4223688818818541,4.044150961655349e-25,-7.1898692517547875,1.979480042962204,1.0
2207,OR4N4_code_potential_somatic,ENSG00000169083,2207,-1.0,5.081123758777526,0.40309790760966463,7.948869748237142e-23,-3.9406172458282582,1.422684380875561,1.0
2816,OR4N4_code_potential_somatic,ENSG00000277615,2816,1.0,1.591589055913862,0.4503918195906806,9.920017737330212e-29,18.596707179421127,11.874365640236721,1.0
2607,OR4N4_code_potential_somatic,ENSG00000196482,2607,-1.0,3.3180597077869862,0.4543449801831537,2.881577974829384e-29,-3.5517358429768895,1.321796953123983,1.0
2957,OR4N4_code_potential_somatic,ENSG00000099326,2957,1.0,1.4965123789804753,0.41592837948999983,2.4543388813726996e-24,4.525282406932057,1.501477028466235,1.0
2950,OR4N4_code_potential_somatic,ENSG00000099326,2950,1.0,1.4965123789804753,0.3406215926294005,2.3626796039625614e-16,3.3684332658219116,1.5502487126915663,1.0
2952,OR4N4_code_potential_somatic,ENSG00000099326,2952,1.0,1.4965123789804753,0.6748517573892705,4.433728282902681e-74,7.184914942414941,2.0238885403005487,1.0
874,OR4N4_code_potential_somatic,ENSG00000132005,874,1.0,11.578645550895004,-0.11189720280327088,0.008749162168533282,-3.8310932466187313,1.560549782007803,1.0
876,OR4N4_code_potential_somatic,ENSG00000132005,876,1.0,11.578645550895004,-0.09294612441434152,0.029588479842845808,-5.104589522579838,1.9069277793079216,1.0
1253,OR4N4_code_potential_somatic,ENSG00000089220,1253,-1.0,1.736786553568073,0.2657955610818475,2.582430391060707e-10,-4.05113017473497,2.5843060006186884,1.0
3486,OR4N4_code_potential_somatic,ENSG00000129654,3486,-1.0,2.0919262553437603,-0.2375131044652201,1.8223077992117732e-08,6.863401540135619,2.1313765969908527,1.0
2220,OR4N4_code_potential_somatic,ENSG00000187140,2220,1.0,11.578645550895004,-0.30682851893321017,2.0707013152406406e-13,-14.032934526717717,15.371057169890186,1.0
2218,OR4N4_code_potential_somatic,ENSG00000187140,2218,1.0,11.578645550895004,-0.33403129091008305,9.472778577955283e-16,-4.4979433828025055,1.5846972283456862,1.0
853,OR4N4_code_potential_somatic,ENSG00000113580,853,-1.0,3.7783008723028915,0.31486920837691157,4.4584968996371126e-14,-4.297885795715962,1.3899761111466522,1.0
