,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
960,OR5D13_code_potential_somatic,ENSG00000101412,960,-1.0,1.4203855970646888,0.6491518019355196,7.070099083657812e-67,-3.9842480444167747,1.8126128916499715,0.8
963,OR5D13_code_potential_somatic,ENSG00000101412,963,-1.0,1.4203855970646888,0.6513661348023898,1.8046161375597924e-67,-5.204091798119226,2.281734806187208,0.8
959,OR5D13_code_potential_somatic,ENSG00000101412,959,-1.0,1.4203855970646888,0.7769628587535349,8.154332160431679e-112,-4.22794209140905,1.9169763064097929,0.8
961,OR5D13_code_potential_somatic,ENSG00000101412,961,-1.0,1.4203855970646888,0.49108575521205333,1.3174129972347378e-34,-3.4351117858765736,1.588944682827598,0.8
1094,OR5D13_code_potential_somatic,ENSG00000176887,1094,-1.0,1.623733639641559,-0.39989625077212165,1.849640344098444e-22,3.7623920220326057,1.6573295804471466,1.0
1887,OR5D13_code_potential_somatic,ENSG00000185697,1887,-1.0,1.8175424550797608,0.4812984870682071,4.036880256481482e-33,-4.844647081979454,2.134976512050595,1.0
948,OR5D13_code_potential_somatic,ENSG00000001167,948,-1.0,1.689216127039375,0.33278359659663453,1.2275265310019254e-15,-3.6257155868583477,1.5761980167046958,0.8333333333333334
946,OR5D13_code_potential_somatic,ENSG00000001167,946,-1.0,1.689216127039375,0.3569742005829587,6.510849095546955e-18,-3.03707527577653,1.3290787289027959,0.8333333333333334
949,OR5D13_code_potential_somatic,ENSG00000001167,949,-1.0,1.689216127039375,0.3478501312214809,4.9565070544709605e-17,-4.272417039320732,1.7773919982463737,0.8333333333333334
955,OR5D13_code_potential_somatic,ENSG00000001167,955,-1.0,1.689216127039375,0.4370086212924946,5.790887624293305e-27,-4.354556767356225,1.8015935122941673,0.8333333333333334
947,OR5D13_code_potential_somatic,ENSG00000001167,947,-1.0,1.689216127039375,0.48470650482428806,1.2414565535090387e-33,-3.170604754999022,1.4386888363555688,0.8333333333333334
197,OR5D13_code_potential_somatic,ENSG00000125820,197,-1.0,1.8712222843856177,0.28945443933743714,4.883454663200465e-12,-3.798140951334923,1.9463142471457702,0.6666666666666666
194,OR5D13_code_potential_somatic,ENSG00000125820,194,-1.0,1.8712222843856177,0.4138550720706393,4.349577352480442e-24,-4.259708853963352,2.0160691350045212,0.6666666666666666
238,OR5D13_code_potential_somatic,ENSG00000177606,238,1.0,1.7716293386054194,0.5242632678221274,5.105164133303365e-40,3.6031954823739554,1.619206772331291,1.0
257,OR5D13_code_potential_somatic,ENSG00000177606,257,1.0,1.7716293386054194,0.47048590412734237,1.5603952636220468e-31,5.003183222900709,2.3322740834333864,1.0
251,OR5D13_code_potential_somatic,ENSG00000177606,251,1.0,1.7716293386054194,0.7020705437872713,1.4989788859365892e-82,3.2052952131183803,2.190931320420781,1.0
239,OR5D13_code_potential_somatic,ENSG00000177606,239,1.0,1.7716293386054194,0.36573265381526704,8.713214957431152e-19,2.9498616413023035,1.3093712054723468,1.0
250,OR5D13_code_potential_somatic,ENSG00000177606,250,1.0,1.7716293386054194,0.5698915628062372,1.6402869014388916e-48,3.6074333407724426,1.6519282980545418,1.0
2158,OR5D13_code_potential_somatic,ENSG00000124766,2158,-1.0,1.9611452890009407,0.7488274069467211,1.3197331325854062e-99,-3.1399998874045547,1.3762449948975,0.6666666666666666
2175,OR5D13_code_potential_somatic,ENSG00000124766,2175,-1.0,1.9611452890009407,-0.4322701954237899,2.3415405788698333e-26,3.0981322415823764,1.3302802932002906,0.6666666666666666
3637,OR5D13_code_potential_somatic,ENSG00000076604,3637,-1.0,1.6858769104316857,0.35197939132571,1.9942041758595182e-17,-3.2594344026462156,1.733017732750436,1.0
3635,OR5D13_code_potential_somatic,ENSG00000076604,3635,-1.0,1.6858769104316857,-0.2935314894000855,2.3709099573033634e-12,4.313460082947328,1.817111428544439,1.0
3638,OR5D13_code_potential_somatic,ENSG00000076604,3638,-1.0,1.6858769104316857,-0.32362707825680004,7.932812879565234e-15,4.021016103668965,1.8095652189777227,1.0
2157,OR5D13_code_potential_somatic,ENSG00000125798,2157,-1.0,1.3716532646130246,-0.251187213062911,2.482956044051137e-09,5.275238251465613,2.4110850832966686,1.0
2146,OR5D13_code_potential_somatic,ENSG00000125798,2146,-1.0,1.3716532646130246,-0.2926898166048336,2.75493550702079e-12,4.24383584220832,1.794269895874858,1.0
2152,OR5D13_code_potential_somatic,ENSG00000125798,2152,-1.0,1.3716532646130246,-0.3761456356537762,7.348602172471379e-20,3.589392860242634,2.525380050744473,1.0
2149,OR5D13_code_potential_somatic,ENSG00000125798,2149,-1.0,1.3716532646130246,-0.30174028854271473,5.342117285127169e-13,3.1820612007929,1.406217968225282,1.0
3589,OR5D13_code_potential_somatic,ENSG00000100219,3589,1.0,1.3337425025683443,0.5402038831291346,7.72438309390268e-43,6.582178551389847,4.92149411831109,1.0
1433,OR5D13_code_potential_somatic,ENSG00000116035,1433,-1.0,1.4861970853372706,-0.25469210404061243,1.4610639466557211e-09,6.3760311696228555,5.010593425188029,0.5
