,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2408,OR5P2_code_potential_somatic,ENSG00000198815,2408,-1.0,1.3503765874253455,0.6558470105777108,1.0989746058201963e-68,-5.369467534913092,1.6477733804288726,1.0
2423,OR5P2_code_potential_somatic,ENSG00000198815,2423,-1.0,1.3503765874253455,0.33707831003095634,5.005455565380171e-16,-4.992658108477463,1.9543692339839456,1.0
2613,OR5P2_code_potential_somatic,ENSG00000196482,2613,-1.0,1.6821296694669332,-0.219451930192841,2.1154992723809475e-07,3.525663420724154,2.1355819360270027,1.0
2611,OR5P2_code_potential_somatic,ENSG00000196482,2611,-1.0,1.6821296694669332,0.11045515562128966,0.009661715435626637,-8.139869220924751,2.3842726523977893,1.0
1072,OR5P2_code_potential_somatic,ENSG00000163848,1072,-1.0,8.232535727404843,-0.3644669978212517,1.169689169460119e-18,3.807050354172197,1.536614347468943,0.6666666666666666
1080,OR5P2_code_potential_somatic,ENSG00000163848,1080,-1.0,8.232535727404843,0.44276098658602986,1.030827146531104e-27,-11.347442584859664,15.49374910482354,0.6666666666666666
1446,OR5P2_code_potential_somatic,ENSG00000007372,1446,-1.0,1.8171828862770631,0.3243926553888602,6.803227275682828e-15,-4.115790678744551,1.3368455551503702,1.0
1531,OR5P2_code_potential_somatic,ENSG00000113916,1531,-1.0,2.0587901879709967,0.31463397151358885,4.666481870643881e-14,-4.107117538709619,1.5220547063177632,1.0
1534,OR5P2_code_potential_somatic,ENSG00000113916,1534,-1.0,2.0587901879709967,0.4626668670482229,2.0240576697670936e-30,-3.8679746474258354,1.3017627668597924,1.0
1524,OR5P2_code_potential_somatic,ENSG00000113916,1524,-1.0,2.0587901879709967,0.3396648946607722,2.8963415857080924e-16,-5.146565226112865,1.6850717080397275,1.0
1527,OR5P2_code_potential_somatic,ENSG00000113916,1527,-1.0,2.0587901879709967,0.3568985106064773,6.6232152464849385e-18,-3.9822694267980885,1.3105465127578944,1.0
1538,OR5P2_code_potential_somatic,ENSG00000113916,1538,-1.0,2.0587901879709967,0.6841581243819654,7.158883160947051e-77,-4.992658108477463,1.9543692339839456,1.0
2293,OR5P2_code_potential_somatic,ENSG00000118689,2293,-1.0,1.4258515538956607,0.392797362255363,1.1647381014347199e-21,-6.029054112076665,1.834622659872132,1.0
2301,OR5P2_code_potential_somatic,ENSG00000118689,2301,-1.0,1.4258515538956607,0.5932008671242047,2.183214141928799e-53,-6.15518943374814,2.0204807088571233,1.0
2289,OR5P2_code_potential_somatic,ENSG00000118689,2289,-1.0,1.4258515538956607,0.6409212826432166,1.0255208479425349e-64,-4.998147775182718,1.5221001908401526,1.0
3109,OR5P2_code_potential_somatic,ENSG00000184486,3109,-1.0,9.25725717734321,0.3534299700368322,1.4437006066480604e-17,-7.414135248853254,2.060115942909867,1.0
3110,OR5P2_code_potential_somatic,ENSG00000184486,3110,-1.0,9.25725717734321,0.26887580769699976,1.573844320577644e-10,-3.620211997423829,1.3341419502103016,1.0
3112,OR5P2_code_potential_somatic,ENSG00000184486,3112,-1.0,9.25725717734321,-0.22947261222369789,5.56624537586132e-08,3.649301419863669,1.4763913689956365,1.0
3743,OR5P2_code_potential_somatic,ENSG00000089225,3743,1.0,2.612860954424965,-0.22227289089859237,1.4618606527009674e-07,-12.27395381612812,2.659272201103427,1.0
2710,OR5P2_code_potential_somatic,ENSG00000065970,2710,-1.0,1.326428205337331,0.5400250126933841,8.324348036105775e-43,-4.174224264798949,1.3405820691297141,1.0
2716,OR5P2_code_potential_somatic,ENSG00000065970,2716,-1.0,1.326428205337331,0.47390179714109193,4.987891305714436e-32,-11.821145411561215,3.723596994855572,1.0
2709,OR5P2_code_potential_somatic,ENSG00000065970,2709,-1.0,1.326428205337331,0.3962788824163508,4.750283301144896e-22,-4.413077508889247,1.4303565310689148,1.0
2697,OR5P2_code_potential_somatic,ENSG00000065970,2697,-1.0,1.326428205337331,0.5235408587691396,6.796685341725451e-40,-6.112176755034697,1.8287374353560146,1.0
2718,OR5P2_code_potential_somatic,ENSG00000065970,2718,-1.0,1.326428205337331,0.27307660139171847,7.928952680369978e-11,-4.992658108477463,1.9543692339839456,1.0
2558,OR5P2_code_potential_somatic,ENSG00000175745,2558,-1.0,1.7131603506220487,0.2940616109116653,2.1564585201837476e-12,-4.691730206460553,1.5974157158048425,1.0
2564,OR5P2_code_potential_somatic,ENSG00000175745,2564,-1.0,1.7131603506220487,0.15659359229659794,0.00023312506815869127,-4.671870038619363,1.4727496585860627,1.0
2555,OR5P2_code_potential_somatic,ENSG00000263001,2555,-1.0,2.8251345586319196,0.3912295297078418,1.738316443998018e-21,-5.659210835745762,2.050299735091752,1.0
2550,OR5P2_code_potential_somatic,ENSG00000263001,2550,-1.0,2.8251345586319196,-0.3096636630579757,1.2113737294209151e-13,8.646264914952312,6.027732966829924,1.0
2855,OR5P2_code_potential_somatic,ENSG00000116132,2855,-1.0,2.027726216879842,0.43253109979358806,2.1694085954301656e-26,-4.767716340863393,1.486945553329772,0.6666666666666666
2849,OR5P2_code_potential_somatic,ENSG00000116132,2849,-1.0,2.027726216879842,0.2183685718300429,2.43494282758526e-07,-3.5314985578303912,2.371241077309727,0.6666666666666666
852,OR5P2_code_potential_somatic,ENSG00000113580,852,-1.0,1.6683503321724338,0.33480957955093094,8.053936466756273e-16,-4.560895801180718,1.5847796809764254,0.6666666666666666
847,OR5P2_code_potential_somatic,ENSG00000113580,847,-1.0,1.6683503321724338,0.4165721818044068,2.0531154719808354e-24,-5.922998682683836,1.7611808837760923,0.6666666666666666
3119,OR5P2_code_potential_somatic,ENSG00000156273,3119,-1.0,1.4819550987070533,0.4579719738538529,9.137558301042453e-30,-7.980640453770075,5.303335523476266,1.0
