,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
831,OR5W2_code_potential_somatic,ENSG00000152284,831,-1.0,2.1581307512696717,-0.21493284483401695,3.7854450030709187e-07,4.060604829174904,1.359079174779998,1.0
3318,OR5W2_code_potential_somatic,ENSG00000091831,3318,-1.0,1.3753895674718055,-0.3783348161422657,4.3194077751375884e-20,4.226400321389566,1.6736183803963174,1.0
371,OR5W2_code_potential_somatic,ENSG00000112561,371,-1.0,2.1650199189959802,0.3455223363089412,8.232171146233444e-17,-4.850412632977704,1.5430310169446129,1.0
7,OR5W2_code_potential_somatic,ENSG00000126351,7,-1.0,1.6080514727593074,0.5924389359447688,3.1973683806405464e-53,-5.15092019512648,2.972787152152765,1.0
255,OR5W2_code_potential_somatic,ENSG00000177606,255,1.0,1.533539607266586,0.46501566264787897,9.438461489358275e-31,4.320769345707215,1.3890937816197788,1.0
257,OR5W2_code_potential_somatic,ENSG00000177606,257,1.0,1.533539607266586,0.47048590412734237,1.5603952636220468e-31,12.835936609157972,6.116465573599594,1.0
236,OR5W2_code_potential_somatic,ENSG00000177606,236,1.0,1.533539607266586,0.5406569292022357,6.389904688620846e-43,3.922145770866885,1.410308232549466,1.0
2716,OR5W2_code_potential_somatic,ENSG00000065970,2716,1.0,2.0139882407214094,0.47390179714109193,4.987891305714436e-32,4.476285318792395,1.5122538019381508,0.75
2709,OR5W2_code_potential_somatic,ENSG00000065970,2709,1.0,2.0139882407214094,0.3962788824163508,4.750283301144896e-22,4.35316297761012,1.4956717125072714,0.75
2713,OR5W2_code_potential_somatic,ENSG00000065970,2713,1.0,2.0139882407214094,0.30637822222912525,2.2535509515045503e-13,7.571397992256955,3.919574728847733,0.75
878,OR5W2_code_potential_somatic,ENSG00000132005,878,1.0,1.3014209552599474,-0.1643523982383632,0.00011112654023269386,-4.471603361001623,1.502284019523732,0.5
2514,OR5W2_code_potential_somatic,ENSG00000128652,2514,-1.0,1.4894351852345917,-0.3205498800089534,1.4644230664859973e-14,3.46441315300199,1.3671028956494278,1.0
2509,OR5W2_code_potential_somatic,ENSG00000128652,2509,-1.0,1.4894351852345917,-0.2848819037821037,1.0832176815210206e-11,6.726436204272391,5.646227518239726,1.0
2511,OR5W2_code_potential_somatic,ENSG00000128652,2511,-1.0,1.4894351852345917,-0.19095853121833672,6.7473736561759085e-06,4.855190781551359,1.9633913110816161,1.0
783,OR5W2_code_potential_somatic,ENSG00000115415,783,-1.0,1.946184171092534,0.72549804988932,1.1812802619047889e-90,-4.567991775700075,1.6888229551072247,0.3333333333333333
3432,OR5W2_code_potential_somatic,ENSG00000172845,3432,-1.0,2.0275794042048916,0.4350301815604196,1.0405173738930242e-26,-6.365736745712088,9.022194336125224,0.5
1554,OR5W2_code_potential_somatic,ENSG00000182568,1554,-1.0,1.3124438051982832,-0.439099429284452,3.104269743167222e-27,4.914088616340078,1.770005928721512,1.0
1570,OR5W2_code_potential_somatic,ENSG00000182568,1570,-1.0,1.3124438051982832,0.5369513287929557,2.989233645983186e-42,-3.189527416745874,1.3830228217565148,1.0
2219,OR5W2_code_potential_somatic,ENSG00000187140,2219,1.0,1.3014209552599474,-0.2906428790864573,3.960698973542819e-12,-6.458976085110535,2.320163639767291,0.6666666666666666
2225,OR5W2_code_potential_somatic,ENSG00000187140,2225,1.0,1.3014209552599474,-0.27753099919708624,3.783178836781041e-11,-5.581539015482136,2.117116305157617,0.6666666666666666
3194,OR5W2_code_potential_somatic,ENSG00000176165,3194,1.0,1.4713075388977797,0.3617291790765779,2.2018247943940607e-18,9.868195450724407,3.668424029228592,0.8571428571428571
3184,OR5W2_code_potential_somatic,ENSG00000176165,3184,1.0,1.4713075388977797,0.3179894875518792,2.4259084268250033e-14,3.8880226028520473,1.9520108335322555,0.8571428571428571
3187,OR5W2_code_potential_somatic,ENSG00000176165,3187,1.0,1.4713075388977797,0.402624881716182,9.010448837223377e-23,2.844933411044432,1.5439427178393765,0.8571428571428571
3183,OR5W2_code_potential_somatic,ENSG00000176165,3183,1.0,1.4713075388977797,-0.2757609704709193,5.084543056135608e-11,-5.561828474021263,1.8533348870412631,0.8571428571428571
3197,OR5W2_code_potential_somatic,ENSG00000176165,3197,1.0,1.4713075388977797,-0.15063865787525402,0.00040237676553424946,-5.794595611467552,1.8323344953479344,0.8571428571428571
3179,OR5W2_code_potential_somatic,ENSG00000176165,3179,1.0,1.4713075388977797,0.5844367991248547,1.654511029519718e-51,4.966109006269608,1.7209130528534489,0.8571428571428571
672,OR5W2_code_potential_somatic,ENSG00000130675,672,-1.0,1.7346326800659442,-0.3895335841014475,2.6741879376738822e-21,3.6281156962039516,1.4236302288734162,1.0
2133,OR5W2_code_potential_somatic,ENSG00000175592,2133,1.0,4.982159334936531,0.6836078772118992,1.0539597238896441e-76,4.601383010335147,1.5528587536947778,1.0
2140,OR5W2_code_potential_somatic,ENSG00000175592,2140,1.0,4.982159334936531,0.7417272058870178,8.857405543262781e-97,6.68226610864136,1.9669754438691118,1.0
2129,OR5W2_code_potential_somatic,ENSG00000175592,2129,1.0,4.982159334936531,0.5905505512425152,8.195221638736938e-53,4.350866802798847,1.4109535392766694,1.0
2130,OR5W2_code_potential_somatic,ENSG00000175592,2130,1.0,4.982159334936531,0.5778557817188581,3.9169126126867335e-50,3.2810758434855587,1.3344306419722431,1.0
186,OR5W2_code_potential_somatic,ENSG00000007866,186,1.0,1.8465921732440667,0.5363189747697891,3.8821898238458e-42,4.150354658704156,1.7928539434556094,1.0
183,OR5W2_code_potential_somatic,ENSG00000007866,183,1.0,1.8465921732440667,-0.16986697450173865,6.429015551285007e-05,-4.142885439828458,1.4432534298671522,1.0
180,OR5W2_code_potential_somatic,ENSG00000007866,180,1.0,1.8465921732440667,0.5138902409296537,2.9129729113115976e-38,5.24221954030548,1.8797241029966696,1.0
