,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1078,OR9G4_code_potential_somatic,ENSG00000163848,1078,-1.0,1.4619843646106891,0.3741183448512623,1.1977369672127587e-19,-5.405547245396225,1.6251302473372446,0.8
1087,OR9G4_code_potential_somatic,ENSG00000163848,1087,-1.0,1.4619843646106891,0.3098986082450886,1.158430640154019e-13,-11.941226456579308,2.8911510740152484,0.8
1089,OR9G4_code_potential_somatic,ENSG00000163848,1089,-1.0,1.4619843646106891,0.43989147603256473,2.448426008212381e-27,-4.732957692467392,1.6979118194157867,0.8
1090,OR9G4_code_potential_somatic,ENSG00000163848,1090,-1.0,1.4619843646106891,0.14308198354698254,0.0007819283360198235,-4.282194198435027,1.392783486567135,0.8
3749,OR9G4_code_potential_somatic,ENSG00000242265,3749,-1.0,1.5696875737955818,0.23550542419309783,2.417490932206348e-08,-5.567953764417534,1.663207889564843,1.0
1094,OR9G4_code_potential_somatic,ENSG00000176887,1094,-1.0,1.4313992501434107,-0.39989625077212165,1.849640344098444e-22,5.4137110298193205,2.1822073541917195,1.0
1103,OR9G4_code_potential_somatic,ENSG00000176887,1103,-1.0,1.4313992501434107,-0.34866755379985925,4.1434742678126196e-17,8.067390348543505,2.8588644162097623,1.0
1100,OR9G4_code_potential_somatic,ENSG00000176887,1100,-1.0,1.4313992501434107,0.5747518364116476,1.6996917970202137e-49,-9.917754204902483,3.1209813916422013,1.0
3577,OR9G4_code_potential_somatic,ENSG00000134138,3577,-1.0,2.0930120136620523,0.6019454657365405,2.5430605829568647e-55,-4.448727739523245,1.4611220602483883,1.0
195,OR9G4_code_potential_somatic,ENSG00000125820,195,-1.0,1.3593512560059238,0.38131078851236166,2.0839315407084115e-20,-4.043350617914535,1.781893177054305,1.0
196,OR9G4_code_potential_somatic,ENSG00000125820,196,-1.0,1.3593512560059238,0.6110351173052444,2.1427077529094173e-57,-4.226706451278327,1.4089614535260226,1.0
192,OR9G4_code_potential_somatic,ENSG00000125820,192,-1.0,1.3593512560059238,0.3581231131739425,5.0187136753240924e-18,-4.0190029315368045,1.3178640707456424,1.0
197,OR9G4_code_potential_somatic,ENSG00000125820,197,-1.0,1.3593512560059238,0.28945443933743714,4.883454663200465e-12,-4.789887844815584,1.9324877204495057,1.0
2912,OR9G4_code_potential_somatic,ENSG00000109381,2912,-1.0,2.8849842061510955,0.28459905130854335,1.1373979078807612e-11,-4.509633471020593,1.4758054659863642,1.0
2897,OR9G4_code_potential_somatic,ENSG00000109381,2897,-1.0,2.8849842061510955,0.6838262697740976,9.040613206213917e-77,-5.1421876965558155,1.5855039942774387,1.0
1556,OR9G4_code_potential_somatic,ENSG00000182568,1556,-1.0,1.8497873358933723,-0.5310556046422311,3.3471227735996806e-41,6.396420131377487,3.1865347024833834,1.0
1794,OR9G4_code_potential_somatic,ENSG00000147421,1794,-1.0,1.301127239130059,0.41206512808924306,7.105661105142054e-24,-5.00694530557214,1.5013692432877142,1.0
1798,OR9G4_code_potential_somatic,ENSG00000147421,1798,-1.0,1.301127239130059,0.5141627394287974,2.6240212468825756e-38,-4.63230081272398,1.408446447993378,1.0
1792,OR9G4_code_potential_somatic,ENSG00000147421,1792,-1.0,1.301127239130059,-0.16912181470437487,6.929447878742394e-05,5.89003416671171,3.108578540464054,1.0
2589,OR9G4_code_potential_somatic,ENSG00000185630,2589,-1.0,1.8586935799839706,0.283648041026009,1.3396920577205093e-11,-4.621215023537434,1.479234478409164,1.0
2585,OR9G4_code_potential_somatic,ENSG00000185630,2585,-1.0,1.8586935799839706,-0.3822805389913852,1.6407049316884827e-20,5.1948021789192245,2.0691356364605342,1.0
337,OR9G4_code_potential_somatic,ENSG00000134532,337,-1.0,2.3359730166254904,0.5428653556258544,2.5245084904888723e-43,-5.439103236789472,1.6573296669072617,1.0
327,OR9G4_code_potential_somatic,ENSG00000134532,327,-1.0,2.3359730166254904,-0.38251956764543726,1.546603173600788e-20,6.075916947929296,3.334569621663032,1.0
3733,OR9G4_code_potential_somatic,ENSG00000124813,3733,1.0,1.608457134845524,-0.3057120337656048,2.553411961339597e-13,-4.0179751501271905,1.3026567534519418,1.0
