,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2818,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000277615,2818,1.0,1.3147052462913564,0.19634840344099175,3.6380346839514152e-06,2.419971994847347,1.6955754234639173,1.0
366,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,366,-1.0,2.292202740825462,0.2894018731355593,4.928790824080555e-12,-4.002480010692751,3.7305993158248087,1.0
363,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,363,-1.0,2.292202740825462,-0.26567493056812325,2.632663727496636e-10,2.19162339175942,1.465037764192677,1.0
234,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000135363,234,1.0,1.7502838783849763,-0.31197279069307887,7.794265670481288e-14,-2.687888371991791,1.999390822023967,1.0
494,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,494,1.0,1.4071512992773956,0.43361540610406846,1.5784080008314714e-26,2.8096569585853337,2.1150590049814335,1.0
501,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,501,1.0,1.4071512992773956,-0.4576396817316701,1.0157288404906929e-29,-4.248389541056955,4.150798140294307,1.0
804,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,804,1.0,1.4357694462718724,-0.17788063253194566,2.8140438561071734e-05,-4.124469727261141,3.9249559471184328,1.0
795,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,795,1.0,1.4357694462718724,0.5945296710176737,1.119601462237606e-53,2.3899969705983226,1.6622813787106723,1.0
799,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,799,1.0,1.4357694462718724,0.37370467506650407,1.3227228291549273e-19,2.3885702221598843,1.6641188240891867,1.0
811,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,811,1.0,1.4357694462718724,0.4894512746505592,2.3512004949770813e-34,2.327384153210016,1.5965275853811816,1.0
3399,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3399,-1.0,3.6019944218760798,0.12252588389376366,0.004071887528659675,-3.198812799511475,2.671707470413108,1.0
3398,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3398,-1.0,3.6019944218760798,0.19005162450158916,7.473825507774001e-06,-4.067969461835735,3.7944389570869967,1.0
3393,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3393,-1.0,3.6019944218760798,0.1356500737175161,0.0014577784066699124,-2.1545901432771797,1.44397685604908,1.0
693,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000188786,693,1.0,1.4216369304027427,-0.3278619251490302,3.373042685106883e-15,-4.248389541056955,4.150798140294307,1.0
851,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,851,1.0,1.3380168191351398,-0.33467030416068094,8.291506310731383e-16,-2.89721462617693,2.2736874463698413,1.0
3126,PAR1_MEDIATED_THROMBIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000156273,3126,1.0,1.4741035983146182,0.43720630484378664,5.460383802447342e-27,2.9656974725679146,2.296456139012982,1.0
