,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3750,PCDHB13_code_potential_somatic,ENSG00000163666,3750,-1.0,2.2792412012691363,0.19375642280129188,4.9068906131440965e-06,-3.0866481908795267,1.6012364052980053,1.0
2318,PCDHB13_code_potential_somatic,ENSG00000135457,2318,-1.0,1.5733066917221812,0.36490429337901564,1.0566881936261309e-18,-3.0918172723415784,1.4326123180845374,0.4
2320,PCDHB13_code_potential_somatic,ENSG00000135457,2320,-1.0,1.5733066917221812,0.6147789272980276,2.8631235837696392e-58,-5.247183954782581,2.0300100703377373,0.4
1079,PCDHB13_code_potential_somatic,ENSG00000163848,1079,-1.0,1.708715791719091,0.3841071612561824,1.043439722072115e-20,-5.185364035980606,2.2184049614204473,0.6666666666666666
1089,PCDHB13_code_potential_somatic,ENSG00000163848,1089,-1.0,1.708715791719091,0.43989147603256473,2.448426008212381e-27,-6.587255918910562,3.016265146236623,0.6666666666666666
2890,PCDHB13_code_potential_somatic,ENSG00000125482,2890,-1.0,2.0941300762401176,0.30328317304631813,4.0156445295827555e-13,-3.6846733075360234,1.5550395594400557,1.0
3209,PCDHB13_code_potential_somatic,ENSG00000171634,3209,-1.0,1.3849946295168778,0.5099230069600507,1.3189623842349486e-37,-5.146584489900835,1.9395491923184454,0.8
3211,PCDHB13_code_potential_somatic,ENSG00000171634,3211,-1.0,1.3849946295168778,0.6699666913060146,1.179309769641744e-72,-10.5441001037091,4.475739624422237,0.8
3214,PCDHB13_code_potential_somatic,ENSG00000171634,3214,-1.0,1.3849946295168778,0.7117582774244728,8.383930012079178e-86,-3.1545628059727524,1.3228286892036771,0.8
3203,PCDHB13_code_potential_somatic,ENSG00000171634,3203,-1.0,1.3849946295168778,0.5135587509170483,3.307287696480564e-38,-6.917626043397885,2.7880689581673312,0.8
3579,PCDHB13_code_potential_somatic,ENSG00000134138,3579,-1.0,1.456256811991635,0.31516730146347816,4.2079561259888874e-14,-4.459128440066403,1.7976560580316072,1.0
3577,PCDHB13_code_potential_somatic,ENSG00000134138,3577,-1.0,1.456256811991635,0.6019454657365405,2.5430605829568647e-55,-4.655196907760302,1.8502740418560315,1.0
3344,PCDHB13_code_potential_somatic,ENSG00000102974,3344,-1.0,1.4250631911498488,-0.17166326244070132,5.359249316019668e-05,4.9028139046067025,1.989860411190484,0.4
3349,PCDHB13_code_potential_somatic,ENSG00000102974,3349,-1.0,1.4250631911498488,0.41531658863963455,2.9070053851603305e-24,-3.555548177661394,1.4421896891234376,0.4
956,PCDHB13_code_potential_somatic,ENSG00000129173,956,1.0,1.439365924445545,0.7719811749257338,1.5861341031969156e-109,5.602960140680239,6.515031120988673,1.0
714,PCDHB13_code_potential_somatic,ENSG00000168310,714,1.0,1.7462987348430996,0.5354803327471371,5.485993446753296e-42,3.7162071164019763,1.5539198864671109,0.3333333333333333
715,PCDHB13_code_potential_somatic,ENSG00000168310,715,1.0,1.7462987348430996,0.4714871556370402,1.1184774131906604e-31,3.123895284441975,1.674948815456364,0.3333333333333333
1664,PCDHB13_code_potential_somatic,ENSG00000143190,1664,-1.0,1.3899990756272131,0.5191114638448744,3.871341650279736e-39,-3.232528820807072,1.3487241440483615,1.0
1671,PCDHB13_code_potential_somatic,ENSG00000143190,1671,-1.0,1.3899990756272131,0.6283377875936546,1.5506344681529434e-61,-6.089062406124012,2.2120309592976777,1.0
1662,PCDHB13_code_potential_somatic,ENSG00000143190,1662,-1.0,1.3899990756272131,0.49261829493817083,7.631470075785453e-35,-5.871017748104252,3.1131693281926838,1.0
1665,PCDHB13_code_potential_somatic,ENSG00000143190,1665,-1.0,1.3899990756272131,0.32183975936129333,1.133541093086075e-14,-3.7690046332374094,1.5958831335717725,1.0
1678,PCDHB13_code_potential_somatic,ENSG00000143190,1678,-1.0,1.3899990756272131,0.49206090170096095,9.310791978854605e-35,-4.465505279144111,1.8434579790411814,1.0
1660,PCDHB13_code_potential_somatic,ENSG00000143190,1660,-1.0,1.3899990756272131,0.5337222543916776,1.1290583056142487e-41,-3.0193312641012935,1.3088453151465296,1.0
1663,PCDHB13_code_potential_somatic,ENSG00000143190,1663,-1.0,1.3899990756272131,0.2601805023641451,6.266784753188795e-10,-6.1950436339863515,2.3210711778784447,1.0
