,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
214,PCDHGB2_code_potential_somatic,ENSG00000136826,214,-1.0,1.3094039954756462,0.2645969906161201,3.1258888782178924e-10,-10.181096545801639,6.733236028256971,1.0
3678,PCDHGB2_code_potential_somatic,ENSG00000106689,3678,1.0,2.0692205705156663,-0.16334946959045818,0.00012252904168881456,-2.6355113992476515,1.4466024290951554,1.0
1888,PCDHGB2_code_potential_somatic,ENSG00000185697,1888,1.0,2.6134131383926142,0.31975916003668414,1.712332318809168e-14,4.151935458495175,2.157505745256625,1.0
3717,PCDHGB2_code_potential_somatic,ENSG00000163435,3717,-1.0,1.463974993797279,0.32730183390687817,3.779874815497097e-15,-4.29458077809596,1.7729830351837896,1.0
3711,PCDHGB2_code_potential_somatic,ENSG00000163435,3711,-1.0,1.463974993797279,0.1713368767617699,5.540195542884278e-05,-3.7128872376922852,1.5561971713975618,1.0
3275,PCDHGB2_code_potential_somatic,ENSG00000137309,3275,1.0,1.7236472549907556,-0.25240930018345703,2.0656721801998677e-09,-6.365440586049826,3.0876881461536727,1.0
1253,PCDHGB2_code_potential_somatic,ENSG00000089220,1253,-1.0,1.7585073493735561,0.2657955610818475,2.582430391060707e-10,-5.091074906239603,2.373543006632472,1.0
1424,PCDHGB2_code_potential_somatic,ENSG00000141448,1424,-1.0,1.3577069363462997,-0.23720064820241984,1.9045702823346864e-08,2.6301271844073226,1.3692327545013228,0.75
1425,PCDHGB2_code_potential_somatic,ENSG00000141448,1425,-1.0,1.3577069363462997,0.26666125119340894,2.2483415820679631e-10,-3.281063968256298,1.8197523559361901,0.75
1416,PCDHGB2_code_potential_somatic,ENSG00000141448,1416,-1.0,1.3577069363462997,0.4673902354113108,4.338315352878638e-31,-11.898584931423798,16.644946711590297,0.75
