,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2201,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2201,1.0,1.6653681070012372,0.3049596549820448,2.9391888289980374e-13,2.064456550712341,1.3882356344424231,1.0
2204,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2204,1.0,1.6653681070012372,0.1620925638827412,0.00013837408926734533,2.009887214110036,1.3339623441609036,1.0
3750,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163666,3750,1.0,1.6093204287222178,0.19375642280129188,4.9068906131440965e-06,2.072767602016943,1.399079185072592,1.0
1590,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000185811,1590,1.0,1.3781690604249026,0.5350057755535523,6.668825680741697e-42,2.987534095598781,2.479541792886453,0.75
1586,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000185811,1586,1.0,1.3781690604249026,0.6233205921872924,2.6175272440063035e-60,2.238749492178504,1.5710632224365848,0.75
1587,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000185811,1587,1.0,1.3781690604249026,0.31388436365402334,5.394745960784327e-14,3.189379601821025,2.7541789749808823,0.75
1238,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000151702,1238,1.0,1.4566392473745953,0.6335156236726455,7.943540603589842e-63,2.391904052115166,1.7393850588536772,1.0
1242,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000151702,1242,1.0,1.4566392473745953,0.562027315914576,5.939088929213614e-47,2.962555208296097,2.443481082292734,1.0
221,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000020633,221,1.0,1.370622857821255,0.6379715611320159,5.8828214436437776e-64,2.0637878812563013,1.387557494387918,1.0
230,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000020633,230,1.0,1.370622857821255,0.4287268399062932,6.561586503023197e-26,2.248079683539044,1.5813318262301035,1.0
344,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000159216,344,1.0,1.3703915806565918,0.46056329822208036,3.988216844167444e-30,2.061499774005908,1.385162286227699,0.6666666666666666
348,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000159216,348,1.0,1.3703915806565918,0.3131232345841649,6.247962558606434e-14,2.5701122928685023,1.9475851782553615,0.6666666666666666
2095,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2095,1.0,2.3659931982417546,0.305855830137109,2.4855471270809603e-13,1.999295482045362,1.3226899697514334,1.0
2098,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2098,1.0,2.3659931982417546,0.38110100039835687,2.1943428122448814e-20,1.9791524934905456,1.304201599019232,1.0
167,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000178573,167,1.0,1.4767437614642847,0.3452116282262944,8.80613792687681e-17,2.3333323532036196,1.6754271990846883,1.0
170,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000178573,170,1.0,1.4767437614642847,0.4816011740550803,3.6374284235023134e-33,3.4318748998247015,3.1044303107679503,1.0
154,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000178573,154,1.0,1.4767437614642847,0.6056710459662019,3.657733594393192e-56,1.9840409492291495,1.3071318876016182,1.0
164,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000178573,164,1.0,1.4767437614642847,0.38102057068346373,2.238185444011674e-20,2.0251231057564065,1.3498347257194359,1.0
156,PDGFR_BETA_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000178573,156,1.0,1.4767437614642847,0.32717787151765043,3.8762285888200216e-15,2.398415907781991,1.7473990036314708,1.0
