,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,PIK3CA_code_potential_somatic,ENSG00000125952,1313,1.0,1.4569919737634325,0.6383058949876683,4.830752998599309e-64,2.5859441200153026,1.8527734985508388,1.0
1307,PIK3CA_code_potential_somatic,ENSG00000125952,1307,1.0,1.4569919737634325,0.3594368228235468,3.721926650177375e-18,2.187067289070053,1.446149078932417,1.0
3704,PIK3CA_code_potential_somatic,ENSG00000162772,3704,1.0,1.5540200786295089,0.45884780459327323,6.91007472223235e-30,2.5803308862333627,1.8517539142108197,1.0
2459,PIK3CA_code_potential_somatic,ENSG00000071794,2459,1.0,1.926857182580908,0.2560222204770262,1.1922324735613492e-09,2.8436384543243554,2.1576954817038745,1.0
1522,PIK3CA_code_potential_somatic,ENSG00000113916,1522,1.0,1.3096595666232396,0.20905214200810465,7.922529811932706e-07,2.1893085675501167,1.447938414405907,1.0
1530,PIK3CA_code_potential_somatic,ENSG00000113916,1530,1.0,1.3096595666232396,0.28051507393590874,2.2871989319564442e-11,2.6064331212918894,1.8808188902509357,1.0
1523,PIK3CA_code_potential_somatic,ENSG00000113916,1523,1.0,1.3096595666232396,0.323287421310316,8.491104504296732e-15,2.146642273041741,1.4071993253563362,1.0
1526,PIK3CA_code_potential_somatic,ENSG00000113916,1526,1.0,1.3096595666232396,0.2997373382810369,7.718583792617932e-13,2.2424275084514895,1.5014101325515166,1.0
1529,PIK3CA_code_potential_somatic,ENSG00000113916,1529,1.0,1.3096595666232396,0.2930879228038076,2.566260578578119e-12,2.448902644663289,1.7123554043526084,1.0
1524,PIK3CA_code_potential_somatic,ENSG00000113916,1524,1.0,1.3096595666232396,0.3396648946607722,2.8963415857080924e-16,2.2480147429607915,1.5083539353815745,1.0
1538,PIK3CA_code_potential_somatic,ENSG00000113916,1538,1.0,1.3096595666232396,0.6841581243819654,7.158883160947051e-77,2.048590023500674,1.3166914857798149,1.0
955,PIK3CA_code_potential_somatic,ENSG00000001167,955,1.0,1.3235373501385177,0.4370086212924946,5.790887624293305e-27,2.1786541164133353,1.4434835261333843,1.0
2270,PIK3CA_code_potential_somatic,ENSG00000165030,2270,1.0,1.8135256312332841,0.21792216139071804,2.579673791628369e-07,2.6585680766544164,1.9183185785957084,1.0
2903,PIK3CA_code_potential_somatic,ENSG00000109381,2903,1.0,1.4286012257510963,0.26694644248724847,2.1477997803033957e-10,2.0419237172565268,1.3105974592371503,1.0
2909,PIK3CA_code_potential_somatic,ENSG00000109381,2909,1.0,1.4286012257510963,0.16654602209432706,8.957196838137522e-05,2.0773716690086474,1.3450498723079682,1.0
2902,PIK3CA_code_potential_somatic,ENSG00000109381,2902,1.0,1.4286012257510963,0.36776643910817963,5.413469517792808e-19,2.3188411090175163,1.5775744834544991,1.0
2897,PIK3CA_code_potential_somatic,ENSG00000109381,2897,1.0,1.4286012257510963,0.6838262697740976,9.040613206213917e-77,2.2797642182830233,1.54133811683016,1.0
1050,PIK3CA_code_potential_somatic,ENSG00000005889,1050,1.0,2.124887986296049,0.3807808857579393,2.3740252103854845e-20,2.1502457953563776,1.4108604595681238,1.0
