,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1722,PITX2_code_potential_somatic,ENSG00000170365,1722,1.0,1.3993664235314847,0.45593395925589614,1.7451918718574865e-29,3.318804915522761,1.336782701220676,1.0
3363,PITX2_code_potential_somatic,ENSG00000105516,3363,1.0,2.5153709801988264,0.40384926552648986,6.51105186434234e-23,5.0784289136962695,1.8394996739312768,1.0
956,PITX2_code_potential_somatic,ENSG00000129173,956,-1.0,3.391381553419516,0.7719811749257338,1.5861341031969156e-109,-5.550277575218439,2.1782203066070447,1.0
957,PITX2_code_potential_somatic,ENSG00000129173,957,-1.0,3.391381553419516,0.656211387082988,8.734534768759101e-69,-10.859890876412573,12.120233110154974,1.0
916,PITX2_code_potential_somatic,ENSG00000101057,916,-1.0,9.860333155171343,0.8137042900539069,9.46897652452271e-131,-5.384004803737417,2.198000094608058,1.0
941,PITX2_code_potential_somatic,ENSG00000112242,941,-1.0,1.306217234927376,0.5505707119021468,9.360156667283042e-45,-10.131153743505427,11.641053994423366,0.5
392,PITX2_code_potential_somatic,ENSG00000168610,392,1.0,3.09681614505172,0.4967861382774592,1.7047492011622336e-35,3.905022033967746,2.013635122157954,0.5
390,PITX2_code_potential_somatic,ENSG00000168610,390,1.0,3.09681614505172,0.4318538719662096,2.644574074210169e-26,6.331846262900608,1.9860356643833013,0.5
1350,PITX2_code_potential_somatic,ENSG00000182944,1350,-1.0,1.4615058691130867,-0.15887909415869536,0.000188074797926858,4.332325582161889,1.5663952370430425,1.0
1875,PITX2_code_potential_somatic,ENSG00000118513,1875,-1.0,1.378612962856279,0.37999052307517084,2.8821468727292314e-20,-5.614258202022583,2.6997653092358522,1.0
1885,PITX2_code_potential_somatic,ENSG00000118513,1885,-1.0,1.378612962856279,-0.43684591039046755,6.0777015077199534e-27,7.829211496060163,3.8029488205765274,1.0
